year,season,league_name,week,team_1,team_2,Blue,Red,MH,set_number
2017.0,spring,OPL,2,,,Av,SIN,http://matchhistory.oce.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/30908?gameHash=bca1302ed6ea2b6b&tab=overview,2.0
2017.0,spring,OPL,2,LGC,ABY,LGC,ABY,http://matchhistory.oce.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/30909?gameHash=0c1830ffada9dd43&tab=overview,1.0
2017.0,spring,OPL,2,,,ABY,LGC,http://matchhistory.oce.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/30920?gameHash=2d13753646472fe1&tab=overview,2.0
2017.0,spring,OPL,2,X5,DW,X5,DW,http://matchhistory.oce.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/20952?gameHash=f4885ade75d2e437&tab=overview,1.0
2017.0,spring,OPL,2,,,DW,X5,http://matchhistory.oce.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/20959?gameHash=a45732a7f24d80d0&tab=overview,2.0
2017.0,spring,OPL,2,TM,CHF,TM,CHF,http://matchhistory.oce.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/20960?gameHash=46b2ce8ef1de7c23&tab=overview,1.0
2017.0,spring,OPL,2,,,CHF,TM,http://matchhistory.oce.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/20972?gameHash=d6f2f8db77c13588&tab=overview,2.0
2017.0,spring,OPL,3,SIN,LGC,SIN,LGC,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/50009?gameHash=a4407d72f340f922&tab=overview,1.0
2017.0,spring,OPL,3,,,LGC,SIN,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/50015?gameHash=9c8ec9e42bf7663a&tab=overview,2.0
2017.0,spring,OPL,3,,,SIN,LGC,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/50016?gameHash=176a1e42b23e029b&tab=overview,3.0
2017.0,spring,OPL,3,ABY,Av,ABY,Av,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/50017?gameHash=f8f3b2d2512fd070&tab=overview,1.0
2017.0,spring,OPL,3,,,Av,ABY,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/50032?gameHash=262aa5daa290a144&tab=overview,2.0
2017.0,spring,OPL,3,CHF,X5,CHF,X5,http://matchhistory.oce.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/50097?gameHash=bdf0702a0517cf87&tab=overview,1.0
2017.0,spring,OPL,3,,,X5,CHF,http://matchhistory.oce.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/50103?gameHash=123ddc9b8d86b83a&tab=overview,2.0
2017.0,spring,OPL,3,DW,TM,TM,DW,http://matchhistory.oce.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/50104?gameHash=3c6bf78a807edc04&tab=overview,1.0
2017.0,spring,OPL,3,,,DW,TM,http://matchhistory.oce.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/50116?gameHash=4b6b307c1cab27cb&tab=overview,2.0
2017.0,spring,OPL,4,X5,Av,Av,X5,http://matchhistory.oce.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/50295?gameHash=8a517e2b662a792e&tab=overview,1.0
2017.0,spring,OPL,4,,,X5,Av,http://matchhistory.oce.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/50307?gameHash=48539a136d46050c&tab=overview,2.0
2017.0,spring,OPL,4,LGC,DW,DW,LGC,http://matchhistory.oce.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/50308?gameHash=5cf957a210514dac&tab=overview,1.0
2017.0,spring,OPL,4,,,LGC,DW,http://matchhistory.oce.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/50316?gameHash=a4c4ebcba5d949ca&tab=overview,2.0
2017.0,spring,OPL,4,,,DW,LGC,http://matchhistory.oce.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/50317?gameHash=4a5048825b3c0e5d&tab=overview,3.0
2017.0,spring,OPL,4,SIN,TM,SIN,TM,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/50378?gameHash=5c8c64de739dcbf6&tab=overview,1.0
2017.0,spring,OPL,4,,,TM,SIN,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/50387?gameHash=d73cd27d23c59c8a&tab=overview,2.0
2017.0,spring,OPL,4,,,SIN,TM,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/50388?gameHash=3f095b9e20ef0de0&tab=overview,3.0
2017.0,spring,OPL,4,ABY,CHF,ABY,CHF,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/50389?gameHash=1e0afbf48fb2a2b2&tab=overview,1.0
2017.0,spring,OPL,4,,,CHF,ABY,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/50399?gameHash=ae0eefdebf6fb7e2&tab=overview,2.0
2017.0,spring,OPL,5,TM,ABY,TM,ABY,http://matchhistory.oce.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/60010?gameHash=a367496a4382d2c8&tab=overview,1.0
2017.0,spring,OPL,5,,,ABY,TM,http://matchhistory.oce.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/60023?gameHash=935fea91fb50969e&tab=overview,2.0
2017.0,spring,OPL,5,,,TM,ABY,http://matchhistory.oce.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/60024?gameHash=7127814dc93895f5&tab=overview,3.0
2017.0,spring,OPL,5,Av,CHF,CHF,Av,http://matchhistory.oce.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/60025?gameHash=7fa8ddecd25cacfb&tab=overview,1.0
2017.0,spring,OPL,5,,,Av,CHF,http://matchhistory.oce.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/60031?gameHash=0016710a48fdd46d&tab=overview,2.0
2017.0,spring,OPL,5,LGC,X5,LGC,X5,http://matchhistory.oce.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/70069?gameHash=32a07b36f7ecd03a&tab=overview,1.0
2017.0,spring,OPL,5,,,X5,LGC,http://matchhistory.oce.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/70082?gameHash=319efde21fe6f864&tab=overview,2.0
2017.0,spring,OPL,5,DW,SIN,SIN,DW,http://matchhistory.oce.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/70083?gameHash=0bde394f8397a5bb&tab=overview,1.0
2017.0,spring,OPL,5,,,DW,SIN,http://matchhistory.oce.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/70090?gameHash=1fece454ad2836e1&tab=overview,2.0
2017.0,spring,OPL,5,,,SIN,DW,http://matchhistory.oce.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/70091?gameHash=2bb2121927b5817a&tab=overview,3.0
2017.0,spring,OPL,6,DW,ABY,ABY,DW,http://matchhistory.oce.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/110011?gameHash=27b775f1620efb11&tab=overview,1.0
2017.0,spring,OPL,6,,,DW,ABY,http://matchhistory.oce.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/110016?gameHash=81f0179c93cb6e16&tab=overview,2.0
2017.0,spring,OPL,6,X5,SIN,X5,SIN,http://matchhistory.oce.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/110017?gameHash=6d160e4c3e94f038&tab=overview,1.0
2017.0,spring,OPL,6,,,SIN,X5,http://matchhistory.oce.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/110024?gameHash=8d431bdd47c6c431&tab=overview,2.0
2017.0,spring,OPL,6,TM,Av,Av,TM,http://matchhistory.oce.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/110091?gameHash=a324afcce487521b&tab=overview,1.0
