year,season,league_name,week,team_1,team_2,Blue,Red,MH,PB,Start,HL,set_number
2020.0,spring,TPL_a,4,BJK.A,5R.A,5R.A,BJK.A,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1170046?gameHash=96076c2fa8f3242e&tab=overview,https://youtu.be/z6MSlP8n9T4?t=1,https://youtu.be/z6MSlP8n9T4?t=399,https://www.youtube.com/watch?v=TeACNPM4Me0,1.0
2020.0,spring,TPL_a,4,RY.A,DP.A,DP.A,RY.A,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1170061?gameHash=81d8745dc9f67ca5&tab=overview,https://youtu.be/__odwstPCKA?t=1,https://youtu.be/__odwstPCKA?t=397,https://www.youtube.com/watch?v=GnFCRRX3ZmI,1.0
2020.0,spring,TPL_a,4,FB.A,IWC.A,IWC.A,FB.A,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1170071?gameHash=59bbaa3f9536876c&tab=overview,https://youtu.be/aoq9PHfdDAM?t=1,https://youtu.be/aoq9PHfdDAM?t=512,https://www.youtube.com/watch?v=DuEyPyoRqcc,1.0
2020.0,spring,TPL_a,4,BJK.A,GAL.A,GAL.A,BJK.A,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1170080?gameHash=e3a3aa84314e5b1f&tab=overview,https://youtu.be/OuSC3aVWK5c?t=1,https://www.youtube.com/watch?v=OuSC3aVWK5c?#t=0h6m5s,https://www.youtube.com/watch?v=sMF-yupAQCI,1.0
2020.0,spring,TPL_a,4,IWC.A,DP.A,DP.A,IWC.A,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1170089?gameHash=882acbf87c60a794&tab=overview,https://youtu.be/4SusB9CsA5Y?t=1,https://youtu.be/4SusB9CsA5Y?t=414,https://www.youtube.com/watch?v=C2hNf8TuNWY,1.0
2020.0,spring,TPL_a,4,5R.A,FB.A,5R.A,FB.A,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1170092?gameHash=c7c1530fb295f184&tab=overview,https://youtu.be/0QKceCiq4aA?t=1,https://youtu.be/0QKceCiq4aA?t=518,https://www.youtube.com/watch?v=-naga5ebdzw,1.0
2020.0,spring,TPL_a,4,SUP.A,RY.A,RY.A,SUP.A,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1170105?gameHash=6be8d0a44606e77d&tab=overview,https://youtu.be/wilUNNC24is?t=1,https://youtu.be/wilUNNC24is?t=382,https://www.youtube.com/watch?v=RBjTwrpiLr0,1.0
2020.0,spring,TPL_a,5,GAL.A,DP.A,GAL.A,DP.A,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1160490?gameHash=67e0b92a5895139d&tab=overview,https://youtu.be/0G3vd_Yxrkg?t=1,https://youtu.be/0G3vd_Yxrkg?t=479,https://www.youtube.com/watch?v=mSaiYuu1k-g,1.0
2020.0,spring,TPL_a,5,5R.A,IWC.A,5R.A,IWC.A,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1160497?gameHash=13ee25e0170def7f&tab=overview,https://youtu.be/isCrnGZGhgE?t=1,https://youtu.be/isCrnGZGhgE?t=494,https://www.youtube.com/watch?v=EbYsOPtpbfU,1.0
2020.0,spring,TPL_a,5,BJK.A,SUP.A,SUP.A,BJK.A,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1160499?gameHash=6ac9791419c8c07f&tab=overview,https://youtu.be/r4fsFNR8zNU?t=1,https://youtu.be/r4fsFNR8zNU?t=371,https://www.youtube.com/watch?v=Ct2SMuzmZ8E,1.0
2020.0,spring,TPL_a,5,AUR.A,RY.A,RY.A,AUR.A,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1160522?gameHash=6d96ee6208cc7802&tab=overview,https://youtu.be/zLMugBVOZBE?t=1,https://youtu.be/zLMugBVOZBE?t=389,https://www.youtube.com/watch?v=-rAu27ylQnE,1.0
2020.0,spring,TPL_a,5,FB.A,AUR.A,AUR.A,FB.A,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1160540?gameHash=373e7ae6b3c9f90b,https://youtu.be/DFbiUGrVyDM?t=1,https://youtu.be/DFbiUGrVyDM?t=386,https://www.youtube.com/watch?v=QoV_Fzyqaos,1.0
2020.0,spring,TPL_a,5,DP.A,SUP.A,DP.A,SUP.A,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1160544?gameHash=460b3498a66d2859,https://youtu.be/I3MLtDI1onQ?t=1,https://youtu.be/I3MLtDI1onQ?t=352,https://www.youtube.com/watch?v=DIYdgs1Is6M,1.0
2020.0,spring,TPL_a,5,GAL.A,5R.A,5R.A,GAL.A,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1160548?gameHash=15a9e8e969553668,https://youtu.be/s67H7ngd-v4?t=1,https://youtu.be/s67H7ngd-v4?t=483,https://www.youtube.com/watch?v=n8LxfTQyp0w,1.0
2020.0,spring,TPL_a,5,BJK.A,RY.A,RY.A,BJK.A,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1160552?gameHash=6d0cc5ad74e29149&tab=overview,https://youtu.be/VBtuyKezeoY?t=1,https://youtu.be/VBtuyKezeoY?t=478,https://www.youtube.com/watch?v=EzGav8qHyiA,1.0
2020.0,spring,TPL_a,6,RY.A,IWC.A,IWC.A,RY.A,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT04/1140068?gameHash=dfa78cd13386cb78&tab=overview,https://youtu.be/g_nQICPsxRU?t=1,https://youtu.be/g_nQICPsxRU?t=511,https://www.youtube.com/watch?v=ncM-jJCnxWo,1.0
2020.0,spring,TPL_a,6,DP.A,5R.A,5R.A,DP.A,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT04/1140073?gameHash=025f87fcff823a54&tab=overview,https://youtu.be/A1CPSXHJCWg?t=1,https://youtu.be/A1CPSXHJCWg?t=457,https://www.youtube.com/watch?v=bD1ilnsGPj0,1.0
2020.0,spring,TPL_a,6,SUP.A,AUR.A,AUR.A,SUP.A,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT04/1140074?gameHash=f3cbda15d90a9330&tab=overview,https://youtu.be/Al_KIU8mxM0?t=1,https://youtu.be/Al_KIU8mxM0?t=371,https://www.youtube.com/watch?v=5HWiQKEyShw,1.0
2020.0,spring,TPL_a,6,FB.A,GAL.A,GAL.A,FB.A,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT04/1140077?gameHash=e6922be59f673b3d&tab=overview,https://youtu.be/IlzK22AqF7Q?t=1,https://youtu.be/IlzK22AqF7Q?t=444,https://www.youtube.com/watch?v=PljYBQfzGaQ,1.0
