year,season,league_name,week,team_1,team_2,MVP,Blue,Red,MH,PB,Start,set_number
2018.0,summer,Challengers Korea,1,RGA,ESS,Bless,RGA,ESS,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/730069?gameHash=2ca9a48aaf852de5&tab=overview,https://youtube.com/watch?v=0NjsHWTx-uM&t=926,https://youtube.com/watch?v=0NjsHWTx-uM&t=1388,1.0
2018.0,summer,Challengers Korea,1,,,,ESS,RGA,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/730088?gameHash=12c87dd8f6589380&tab=overview,https://youtube.com/watch?v=wVmqqh0-cnc&t=369,https://youtube.com/watch?v=wVmqqh0-cnc&t=842,2.0
2018.0,summer,Challengers Korea,1,GCB,APK,reM,GCB,APK,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/730098?gameHash=dba00fb235442ef0&tab=overview,https://youtube.com/watch?v=uwsVCppuSow&t=296,https://youtube.com/watch?v=uwsVCppuSow&t=1026,1.0
2018.0,summer,Challengers Korea,1,,,,APK,GCB,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/730125?gameHash=19c480e786e17f18&tab=overview,https://youtube.com/watch?v=VKWaIEzV8QQ&t=60,https://youtube.com/watch?v=VKWaIEzV8QQ&t=565,2.0
2018.0,summer,Challengers Korea,1,APK,KDM,SSol,APK,KDM,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/720420?gameHash=cef735e71e1a8cee&tab=overview,https://youtube.com/watch?v=BW2h7FoO71k&t=609,https://youtube.com/watch?v=BW2h7FoO71k&t=1040,1.0
2018.0,summer,Challengers Korea,1,,,,KDM,APK,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/720428?gameHash=f9608b2c1b3cef8d&tab=overview,https://youtube.com/watch?v=cYaymHxPDbw&t=59,https://youtube.com/watch?v=cYaymHxPDbw&t=549,2.0
2018.0,summer,Challengers Korea,1,DWG,ESS,Nuclear,DWG,ESS,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/720434?gameHash=430a4277ab7d6b06&tab=overview,https://youtube.com/watch?v=KReFBR9iNKc&t=240,https://youtube.com/watch?v=KReFBR9iNKc&t=635,1.0
2018.0,summer,Challengers Korea,1,,,,ESS,DWG,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/720472?gameHash=93048bb1edc62956&tab=overview,https://youtube.com/watch?v=9EXOQJ55fFE&t=104,https://youtube.com/watch?v=9EXOQJ55fFE&t=608,2.0
2018.0,summer,Challengers Korea,1,WNS,RGA,Lucifer,WNS,RGA,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/730519?gameHash=f480f4c6b8c573e1&tab=overview,https://youtube.com/watch?v=X4PB0eEld9E&t=391,https://youtube.com/watch?v=X4PB0eEld9E&t=829,1.0
2018.0,summer,Challengers Korea,1,,,,RGA,WNS,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/730528?gameHash=ea58bc1dcac0a700&tab=overview,https://youtube.com/watch?v=qFohpxEil6E&t=79,https://youtube.com/watch?v=qFohpxEil6E&t=550,2.0
