year,season,league_name,week,team_1,team_2,Blue,Red,MH,PB,Start,HL,MVP,set_number
2019.0,spring,VCS,1,FTV,CR,FTV,CR,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1031477?gameHash=05dc9b272ad3b18a&tab=overview,https://youtu.be/3BxklpdCJWE?t=227,https://youtu.be/3BxklpdCJWE?t=804,https://youtu.be/k4vxT-SlAJk?t=8,Rika,1.0
2019.0,spring,VCS,1,,,CR,FTV,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1031512?gameHash=3a89a2e7ead21642&tab=overview,https://youtu.be/JCdMJAblhm0?t=759,https://youtu.be/JCdMJAblhm0?t=1235,https://youtu.be/ibEQUN0yGfc?t=8,Kuroko,2.0
2019.0,spring,VCS,1,SGD,GAM,SGD,GAM,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1031550?gameHash=e5e81d846abc0698&tab=overview,https://youtu.be/eLQQwWEssaA?t=740,https://youtu.be/eLQQwWEssaA?t=1211,https://youtu.be/a0PZkucA8-Q?t=8,Slayder,1.0
2019.0,spring,VCS,1,,,GAM,SGD,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1031553?gameHash=a0f67c14202a394a&tab=overview,https://youtu.be/6D1Y7z5wHJY?t=166,https://youtu.be/6D1Y7z5wHJY?t=710,https://youtu.be/YjH_ImuO_sQ?t=8,Blazes,2.0
2019.0,spring,VCS,1,,,SGD,GAM,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1031574?gameHash=ff07be5a15e29f01&tab=overview,https://youtu.be/J8P4X_x758Y?t=528,https://youtu.be/J8P4X_x758Y?t=1014,https://youtu.be/psUA9YPFuE0?t=8,Spot,3.0
2019.0,spring,VCS,1,PVB,CES,PVB,CES,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/990619?gameHash=cc0bab1ad9c4f057&tab=overview,https://youtu.be/DYtdpKbYGDs?t=394,https://youtu.be/DYtdpKbYGDs?t=949,https://youtu.be/Fd0CJ0V0Vkk?t=8,Naul,1.0
2019.0,spring,VCS,1,,,CES,PVB,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1031740?gameHash=c33554609acf226e&tab=overview,https://youtu.be/U2gF9Ztk8YY?t=93,https://youtu.be/U2gF9Ztk8YY?t=585,https://youtu.be/I5IaEPaeiSw?t=8,Palette,2.0
2019.0,spring,VCS,1,FFQ,EVS,FFQ,EVS,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1031776?gameHash=7f455b5e84bb94b7&tab=overview,https://youtu.be/Lb-1xOSmNrc?t=219,https://youtu.be/Lb-1xOSmNrc?t=818,https://youtu.be/Px-X6NAutdg?t=8,KingJ,1.0
2019.0,spring,VCS,1,,,EVS,FFQ,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/990633?gameHash=095e5e0ba850a2f1&tab=overview,https://youtu.be/9wQlX2czh3M?t=214,https://youtu.be/9wQlX2czh3M?t=794,https://youtu.be/xUrZfSVqih4?t=8,Artifact,2.0
2019.0,spring,VCS,1,CES,FTV,CES,FTV,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1041907?gameHash=c94f479242902b60&tab=overview,https://youtu.be/qqp4tacb3qg?t=260,https://youtu.be/qqp4tacb3qg?t=723,https://youtu.be/xiysFwZF_Js?t=8,EasyLove,1.0
