year,season,league_name,week,team_1,team_2,Blue,Red,MH,PB,Start,Post,MVP,set_number
2019.0,spring,LMS,2,,,HKA,MAD,https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/991431?gameHash=1799d7c4851e45ce&tab=overview,https://youtu.be/iS-IdTweZj8?t=5126,https://youtu.be/iS-IdTweZj8?t=5668,https://youtu.be/iS-IdTweZj8?t=7362,Gemini,2.0
2019.0,spring,LMS,2,,,MAD,HKA,https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1033261?gameHash=5d1a1adab17b50b8&tab=overview,https://youtu.be/iS-IdTweZj8?t=8585,https://youtu.be/iS-IdTweZj8?t=9239,https://youtu.be/iS-IdTweZj8?t=10951,MnM,3.0
2019.0,spring,LMS,2,ahq,GRX,ahq,GRX,https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/991896?gameHash=205c4b36cecfff45&tab=overview,https://youtu.be/WPLEwNd4g0s?t=920,https://youtu.be/WPLEwNd4g0s?t=1488,https://youtu.be/WPLEwNd4g0s?t=3277,Alex,1.0
2019.0,spring,LMS,2,,,GRX,ahq,https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1000552?gameHash=20e8f0ceee8e5923,https://youtu.be/WPLEwNd4g0s?t=5038,https://youtu.be/WPLEwNd4g0s?t=5642,https://youtu.be/WPLEwNd4g0s?t=8211,PK,2.0
2019.0,spring,LMS,2,,,ahq,GRX,https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/991993?gameHash=d3dd53b4f70dfb1b&tab=overview,https://youtu.be/WPLEwNd4g0s?t=9505,https://youtu.be/WPLEwNd4g0s?t=9978,https://youtu.be/WPLEwNd4g0s?t=11598,Alex,3.0
2019.0,spring,LMS,2,JT,ALF,JT,ALF,https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/992016?gameHash=dce0b8917019dab8&tab=overview,https://youtu.be/E0bSUj157ng?t=1064,https://youtu.be/E0bSUj157ng?t=1685,https://youtu.be/E0bSUj157ng?t=3906,WSY,1.0
2019.0,spring,LMS,2,,,JT,ALF,https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1000596?gameHash=61792c0367554066&tab=overview,https://youtu.be/E0bSUj157ng?t=5472,https://youtu.be/E0bSUj157ng?t=6132,https://youtu.be/E0bSUj157ng?t=8753,Koala,2.0
2019.0,spring,LMS,2,,,ALF,JT,https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/981988?gameHash=afc5bdfbcb15d540&tab=overview,https://youtu.be/E0bSUj157ng?t=9885,https://youtu.be/E0bSUj157ng?t=10495,https://youtu.be/E0bSUj157ng?t=12136,WSY,3.0
2019.0,spring,LMS,2,DG,GRX,DG,GRX,https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/982306?gameHash=cc751bb0d579e3f4&tab=overview,https://youtu.be/o8FiEsSnBb4?t=979,https://youtu.be/o8FiEsSnBb4?t=1616,https://youtu.be/o8FiEsSnBb4?t=3681,Raise,1.0
2019.0,spring,LMS,2,,,DG,GRX,https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1010622?gameHash=cc1b14ec6ad89662&tab=overview,https://youtu.be/o8FiEsSnBb4?t=5121,https://youtu.be/o8FiEsSnBb4?t=5624,https://youtu.be/o8FiEsSnBb4?t=7072,2188,2.0
2019.0,spring,LMS,2,,,DG,GRX,https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/992526?gameHash=8e566a49df5aa0f7&tab=overview,https://youtu.be/o8FiEsSnBb4?t=8318,https://youtu.be/o8FiEsSnBb4?t=8755,https://youtu.be/o8FiEsSnBb4?t=10638,Bruce,3.0
2019.0,spring,LMS,2,HKA,ALF,HKA,ALF,https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/982399?gameHash=63c80de018d390c6&tab=overview,https://youtu.be/1ZTcP6DvNOo?t=1052,https://youtu.be/1ZTcP6DvNOo?t=1604,https://youtu.be/1ZTcP6DvNOo?t=3416,Crash,1.0
2019.0,spring,LMS,2,,,ALF,HKA,https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1000687?gameHash=952c27bdbe689e55&tab=overview,https://youtu.be/1ZTcP6DvNOo?t=4698,https://youtu.be/1ZTcP6DvNOo?t=5245,https://youtu.be/1ZTcP6DvNOo?t=7453,M1ssion,2.0
2019.0,spring,LMS,3,MAD,ALF,MAD,ALF,https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1053794?gameHash=a73e015ced371f15&tab=overview,https://youtu.be/Av2cdreFem4?t=2634,https://youtu.be/Av2cdreFem4?t=4790,https://youtu.be/Av2cdreFem4?t=7338,WSY,1.0
2019.0,spring,LMS,3,,,MAD,ALF,https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1053795?gameHash=9743815fbdd02f54&tab=overview,https://youtu.be/Av2cdreFem4?t=8654,https://youtu.be/Av2cdreFem4?t=9154,https://youtu.be/Av2cdreFem4?t=11386,Kongyue,2.0
2019.0,spring,LMS,3,,,MAD,ALF,https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1053796?gameHash=361e68da043b5f86&tab=overview,https://youtu.be/Av2cdreFem4?t=12605,https://youtu.be/Av2cdreFem4?t=13075,https://youtu.be/Av2cdreFem4?t=14702,Rock,3.0
2019.0,spring,LMS,3,JT,HKA,JT,HKA,https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1053800?gameHash=d22fcf7041126a19&tab=overview,https://youtu.be/vIDZQR9Of8c?t=954,https://youtu.be/vIDZQR9Of8c?t=1430,https://youtu.be/vIDZQR9Of8c?t=4499,Koala,1.0
2019.0,spring,LMS,3,,,HKA,JT,https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1053819?gameHash=db3cc8d8a88bf8e4&tab=overview,https://youtu.be/vIDZQR9Of8c?t=5889,https://youtu.be/vIDZQR9Of8c?t=6674,https://youtu.be/vIDZQR9Of8c?t=8512,M1ssion,2.0
2019.0,spring,LMS,3,,,HKA,JT,https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1053822?gameHash=d68f545d835d00d8&tab=overview,https://youtu.be/vIDZQR9Of8c?t=9962,https://youtu.be/vIDZQR9Of8c?t=10636,https://youtu.be/vIDZQR9Of8c?t=12944,Koala,3.0
2019.0,spring,LMS,3,GRX,MAD,GRX,MAD,https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1053887?gameHash=07d13f121f1697fd&tab=overview,https://youtu.be/lum3aiHQAh0?t=2585,https://youtu.be/lum3aiHQAh0?t=3052,https://youtu.be/lum3aiHQAh0?t=5017,Breeze,1.0
2019.0,spring,LMS,3,,,MAD,GRX,https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1053889?gameHash=0b7ca1c17ebf4639&tab=overview,https://youtu.be/lum3aiHQAh0?t=6429,https://youtu.be/lum3aiHQAh0?t=6815,https://youtu.be/lum3aiHQAh0?t=8750,PK,2.0
2019.0,spring,LMS,3,,,GRX,MAD,https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1053890?gameHash=1c4cf64e515d8505&tab=overview,https://youtu.be/lum3aiHQAh0?t=9924,https://youtu.be/lum3aiHQAh0?t=10324,https://youtu.be/lum3aiHQAh0?t=12498,Uniboy,3.0
2019.0,spring,LMS,3,DG,JT,DG,JT,https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1053892?gameHash=c6fdbb8640db448e&tab=overview,https://youtu.be/6ebARRAVfnE?t=1652,https://youtu.be/6ebARRAVfnE?t=2077,https://youtu.be/6ebARRAVfnE?t=3583,Hana,1.0
2019.0,spring,LMS,3,,,JT,DG,https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1053905?gameHash=7313895d47397117&tab=overview,https://youtu.be/6ebARRAVfnE?t=4685,https://youtu.be/6ebARRAVfnE?t=5147,https://youtu.be/6ebARRAVfnE?t=6670,Koala,2.0
2019.0,spring,LMS,3,HKA,DG,HKA,DG,https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1053966?gameHash=bda548f43daf12ff&tab=overview,https://youtu.be/H2tKb0rhPxs?t=2243,https://youtu.be/H2tKb0rhPxs?t=2612,https://youtu.be/H2tKb0rhPxs?t=4450,Kaiwing,1.0
2019.0,spring,LMS,3,,,HKA,DG,https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1053970?gameHash=ffc1d6fb07d1d344&tab=overview,https://youtu.be/H2tKb0rhPxs?t=5847,https://youtu.be/H2tKb0rhPxs?t=6196,https://youtu.be/H2tKb0rhPxs?t=8233,3z,2.0
2019.0,spring,LMS,3,FW,ahq,FW,ahq,https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1053972?gameHash=111f1d784f405bb6&tab=overview,https://youtu.be/iLpOwUus1_4?t=681,https://youtu.be/iLpOwUus1_4?t=1088,https://youtu.be/iLpOwUus1_4?t=3364,Hanabi,1.0
2019.0,spring,LMS,3,,,FW,ahq,https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1053982?gameHash=bf25d6e862b0ea07&tab=overview,https://youtu.be/iLpOwUus1_4?t=4597,https://youtu.be/iLpOwUus1_4?t=5016,https://youtu.be/iLpOwUus1_4?t=7102,ShiauC,2.0
2019.0,spring,LMS,4,DG,ahq,DG,ahq,https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1013652?gameHash=c91c931bfefab208&tab=overview,https://youtu.be/ypOktr-wZyg?t=786,https://youtu.be/ypOktr-wZyg?t=1507,https://youtu.be/ypOktr-wZyg?t=3350,JGY,1.0
2019.0,spring,LMS,4,,,ahq,DG,https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1013664?gameHash=1827f3222a325cf9&tab=overview,https://youtu.be/ypOktr-wZyg?t=5435,https://youtu.be/ypOktr-wZyg?t=5965,https://youtu.be/ypOktr-wZyg?t=7981,Alex,2.0
2019.0,spring,LMS,4,,,DG,ahq,https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1013699?gameHash=50322be58b46eae7&tab=overview,https://youtu.be/ypOktr-wZyg?t=9123,https://youtu.be/ypOktr-wZyg?t=9533,https://youtu.be/ypOktr-wZyg?t=12046,Moonblack,3.0
2019.0,spring,LMS,4,GRX,FW,GRX,FW,https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1013708?gameHash=6b0afc79c449675a&tab=overview,https://youtu.be/UAzwHYA-cSE?t=494,https://youtu.be/UAzwHYA-cSE?t=956,https://youtu.be/UAzwHYA-cSE?t=3074,Bruce,1.0
2019.0,spring,LMS,4,,,FW,GRX,https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1013741?gameHash=3d59e1c55e32165e&tab=overview,https://youtu.be/UAzwHYA-cSE?t=4366,https://youtu.be/UAzwHYA-cSE?t=4840,https://youtu.be/UAzwHYA-cSE?t=6592,ShiauC,2.0
2019.0,spring,LMS,4,,,GRX,FW,https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1013762?gameHash=35989fd04365113b&tab=overview,https://youtu.be/UAzwHYA-cSE?t=7772,https://youtu.be/UAzwHYA-cSE?t=8199,https://youtu.be/UAzwHYA-cSE?t=10009,Bruce,3.0
2019.0,spring,LMS,4,ALF,FW,ALF,FW,https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1004054?gameHash=58922c0d799ac431&tab=overview,https://youtu.be/nqqnHF2TuZk?t=2073,https://youtu.be/nqqnHF2TuZk?t=2594,https://youtu.be/nqqnHF2TuZk?t=4450,Hanabi,1.0
2019.0,spring,LMS,4,,,FW,ALF,https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1004062?gameHash=a99740465da6f3ea&tab=overview,https://youtu.be/nqqnHF2TuZk?t=6820,https://youtu.be/nqqnHF2TuZk?t=7284,https://youtu.be/nqqnHF2TuZk?t=9018,ShiauC,2.0
2019.0,spring,LMS,4,GRX,HKA,GRX,HKA,https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1004100?gameHash=6ff8f6b343944671&tab=overview,https://youtu.be/ZjHk60CU-NY?t=672,https://youtu.be/ZjHk60CU-NY?t=1133,https://youtu.be/ZjHk60CU-NY?t=3033,Bruce,1.0
2019.0,spring,LMS,4,,,HKA,GRX,https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1004134?gameHash=24e9c49de1558d5b&tab=overview,https://youtu.be/ZjHk60CU-NY?t=4461,https://youtu.be/ZjHk60CU-NY?t=4909,https://youtu.be/ZjHk60CU-NY?t=6721,Crash,2.0
2019.0,spring,LMS,4,,,GRX,HKA,https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1004150?gameHash=ba0160b00a2c85cd&tab=overview,https://youtu.be/ZjHk60CU-NY?t=7915,https://youtu.be/ZjHk60CU-NY?t=8277,https://youtu.be/ZjHk60CU-NY?t=10049,M1ssion,3.0
2019.0,spring,LMS,4,MAD,JT,MAD,JT,https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1004474?gameHash=bf26d969fc6147c1&tab=overview,https://youtu.be/cUP_A45OyWs?t=3672,https://youtu.be/cUP_A45OyWs?t=5134,https://youtu.be/cUP_A45OyWs?t=7388,Uniboy,1.0
2019.0,spring,LMS,4,,,JT,MAD,https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1004486?gameHash=fadd65ca8f7577c2&tab=overview,https://youtu.be/cUP_A45OyWs?t=8453,https://youtu.be/cUP_A45OyWs?t=9033,https://youtu.be/cUP_A45OyWs?t=11320,FoFo,2.0
2019.0,spring,LMS,4,,,MAD,JT,https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1004506?gameHash=619765020ae13acc&tab=overview,https://youtu.be/cUP_A45OyWs?t=12594,https://youtu.be/cUP_A45OyWs?t=13073,https://youtu.be/cUP_A45OyWs?t=15858,Breeze,3.0
