year,season,league_name,week,team_1,team_2,Blue,Red,MH,PB,Start,Post,set_number
2019.0,spring,LJL,1,SG,AXZ,SG,AXZ,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1000235?gameHash=2c25f80326c7ac14&tab=overview,https://youtu.be/nq63dMm6Lpg?t=1739,https://youtu.be/nq63dMm6Lpg?t=2130,https://youtu.be/nq63dMm6Lpg?t=4459,1.0
2019.0,spring,LJL,1,RJ,AXZ,AXZ,RJ,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1010242?gameHash=9ee93a0c2a175828&tab=overview,https://youtu.be/J2jITZM4va0?t=425,https://youtu.be/J2jITZM4va0?t=896,https://youtu.be/J2jITZM4va0?t=2665,1.0
2019.0,spring,LJL,1,RJ,USG,USG,RJ,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1010247?gameHash=719e3f105f9e2346&tab=overview,https://youtu.be/Q4F49Z1BmBA?t=302,https://youtu.be/Q4F49Z1BmBA?t=713,https://youtu.be/Q4F49Z1BmBA?t=2925,1.0
2019.0,spring,LJL,1,SG,USG,SG,USG,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1010253?gameHash=41618a32cbc2f3d6&tab=overview,https://youtu.be/HAkaPLUx5vs?t=350,https://youtu.be/HAkaPLUx5vs?t=1074,https://youtu.be/HAkaPLUx5vs?t=3283,1.0
2019.0,spring,LJL,1,V3,BC,BC,V3,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1010263?gameHash=e5c8720df2e3a115&tab=overview,https://youtu.be/Jue9KxoCCaU?t=427,https://youtu.be/Jue9KxoCCaU?t=918,https://youtu.be/Jue9KxoCCaU?t=2411,1.0
2019.0,spring,LJL,1,V3,CGA,V3,CGA,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1010277?gameHash=a61c0bc3a54b842f&tab=overview,https://youtu.be/MgXgzNXN1gg?t=308,https://youtu.be/MgXgzNXN1gg?t=805,https://youtu.be/MgXgzNXN1gg?t=3180,1.0
2019.0,spring,LJL,1,DFM,CGA,DFM,CGA,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1010304?gameHash=65889c8ddd04bdf5&tab=overview,https://youtu.be/5t0A8ZdQbVg?t=369,https://youtu.be/5t0A8ZdQbVg?t=833,https://youtu.be/5t0A8ZdQbVg?t=2441,1.0
2019.0,spring,LJL,1,DFM,BC,DFM,BC,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1010317?gameHash=bbb183c42ae32a06&tab=overview,https://youtu.be/N45aEGE1BNw?t=383,https://youtu.be/N45aEGE1BNw?t=780,https://youtu.be/N45aEGE1BNw?t=3596,1.0
2019.0,spring,LJL,2,SG,V3,SG,V3,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1000530?gameHash=985baa89a1d9ae1a&tab=overview,https://youtu.be/04pUQYErCys?t=522,https://youtu.be/04pUQYErCys?t=925,https://youtu.be/04pUQYErCys?t=3007,1.0
2019.0,spring,LJL,2,AXZ,V3,V3,AXZ,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1000548?gameHash=2e30d9d043e37138&tab=overview,https://youtu.be/B2fFUUrWnxk?t=286,https://youtu.be/B2fFUUrWnxk?t=783,https://youtu.be/B2fFUUrWnxk?t=2531,1.0
