year,season,league_name,week,team_1,team_2,Blue,Red,MH,PB,Start,MVP,set_number
2018.0,summer,VCS,6,,,PVB,GAM,https://matchhistory.na.leagueoflegends.com/en/#match-details/TRTW/1730611?gameHash=5a831d4270b7df1d&tab=overview,https://youtu.be/S6MaVV6CiOc?t=152,https://youtu.be/S6MaVV6CiOc?t=688,Naul,3.0
2018.0,summer,VCS,6,EVS,ADN,EVS,ADN,https://matchhistory.na.leagueoflegends.com/en/#match-details/TRTW/1730618?gameHash=80d96ec5dcab37b4&tab=overview,https://youtu.be/quBhkyKUBZo?t=355,https://youtu.be/quBhkyKUBZo?t=829,EasyLove,1.0
2018.0,summer,VCS,6,,,ADN,EVS,https://matchhistory.na.leagueoflegends.com/en/#match-details/TRTW/1730637?gameHash=bf2ce6fc1e35d963&tab=overview,https://youtu.be/2--mYlO1Dus?t=238,https://youtu.be/2--mYlO1Dus?t=725,YiJin,2.0
2018.0,summer,VCS,6,,,EVS,ADN,https://matchhistory.na.leagueoflegends.com/en/#match-details/TRTW/1730642?gameHash=a7c4f99cb30857f7&tab=overview,https://youtu.be/Dvm_SSeA8uE?t=163,https://youtu.be/Dvm_SSeA8uE?t=651,Pake,3.0
2018.0,summer,VCS,6,FTV,PVB,FTV,PVB,https://matchhistory.na.leagueoflegends.com/en/#match-details/TRTW/1730650?gameHash=019397012fb6ab4e&tab=overview,https://youtu.be/5yyiqiuGowA?t=321,https://youtu.be/5yyiqiuGowA?t=748,Zeros,1.0
2018.0,summer,VCS,6,,,PVB,FTV,https://matchhistory.na.leagueoflegends.com/en/#match-details/TRTW/1730652?gameHash=b657b2d838ebd5f2&tab=overview,https://youtu.be/60wS6_pWVkM?t=200,https://youtu.be/60wS6_pWVkM?t=683,Meliodas,2.0
2018.0,summer,VCS,6,CR,Vikings,CR,Vikings,https://matchhistory.na.leagueoflegends.com/en/#match-details/TRTW/1730680?gameHash=3bf857346e70ad95&tab=overview,https://youtu.be/F2E-4xwp4zc?t=291,https://youtu.be/F2E-4xwp4zc?t=739,Zin,1.0
2018.0,summer,VCS,6,,,Vikings,CR,https://matchhistory.na.leagueoflegends.com/en/#match-details/TRTW/1730700?gameHash=6db2f9750435e8ac&tab=overview,https://youtu.be/GS3Wc493d7c?t=195,https://youtu.be/GS3Wc493d7c?t=772,Bear,2.0
2018.0,summer,VCS,6,,,CR,Vikings,https://matchhistory.na.leagueoflegends.com/en/#match-details/TRTW/1730734?gameHash=b8baa1d8604c73c3&tab=overview,https://youtu.be/SoyoTh4pXkY?t=147,https://youtu.be/SoyoTh4pXkY?t=574,CBL,3.0
2018.0,summer,VCS,6,FFQ,GAM,FFQ,GAM,https://matchhistory.na.leagueoflegends.com/en/#match-details/TRTW/1730755?gameHash=3d073626c4556ff2&tab=overview,https://youtu.be/CJPoadNHRKs?t=316,https://youtu.be/CJPoadNHRKs?t=760,KingJ,1.0
2018.0,summer,VCS,6,,,GAM,FFQ,https://matchhistory.na.leagueoflegends.com/en/#match-details/TRTW/1730775?gameHash=729d0294f8d8995d&tab=overview,https://youtu.be/WMG5RtfJPJg?t=196,https://youtu.be/WMG5RtfJPJg?t=658,DNK,2.0
2018.0,summer,VCS,7,FTV,FFQ,FTV,FFQ,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRTW/1750241?gameHash=41794136cea29fe0,https://youtu.be/8RaQA5_QLXw?t=275,https://youtu.be/8RaQA5_QLXw?t=782,Celebrity,1.0
2018.0,summer,VCS,7,,,FFQ,FTV,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRTW/1750259?gameHash=11c155c7d5b377bc,https://youtu.be/IE62_AXDpNg?t=284,https://youtu.be/IE62_AXDpNg?t=775,Manis,2.0
2018.0,summer,VCS,7,,,FTV,FFQ,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRTW/1750269?gameHash=bbe004ab44b2fdf6,https://youtu.be/rz4fq5CnDB8?t=125,https://youtu.be/rz4fq5CnDB8?t=620,Celebrity,3.0
2018.0,summer,VCS,7,PVB,Vikings,PVB,Vikings,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRTW/1750273?gameHash=aded3f876773c805,https://youtu.be/WNNGw4hpKn0?t=669,https://youtu.be/WNNGw4hpKn0?t=1299,Zeros,1.0
2018.0,summer,VCS,7,,,Vikings,PVB,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRTW/1740299?gameHash=e121ba4fb5800044,https://youtu.be/ZGJyiX300IE?t=157,https://youtu.be/ZGJyiX300IE?t=593,Hani,2.0
2018.0,summer,VCS,7,,,PVB,Vikings,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRTW/1740325?gameHash=861974319052c739,https://youtu.be/Vk2fSee2Lx0?t=234,https://youtu.be/Vk2fSee2Lx0?t=753,Zeros,3.0
2018.0,summer,VCS,7,ADN,CR,ADN,CR,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRTW/1740327?gameHash=1f71bf20a12b34a5,https://youtu.be/4Z64dsyzaTg?t=273,https://youtu.be/4Z64dsyzaTg?t=683,Bara,1.0
2018.0,summer,VCS,7,,,CR,ADN,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRTW/1740342?gameHash=2975230e3fb47665,https://youtu.be/V9VMq9x1cQQ?t=143,https://youtu.be/V9VMq9x1cQQ?t=613,Sorn,2.0
2018.0,summer,VCS,7,,,ADN,CR,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRTW/1740344?gameHash=06fe234448a0e7d5,https://youtu.be/EFL18TcB5nE?t=143,https://youtu.be/EFL18TcB5nE?t=628,Sorn,3.0
2018.0,summer,VCS,7,GAM,EVS,GAM,EVS,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRTW/1740362?gameHash=34cb7c2a38b19a16,https://youtu.be/FyYZR6KFWxo?t=601,https://youtu.be/FyYZR6KFWxo?t=1035,Blazes,1.0
2018.0,summer,VCS,7,,,EVS,GAM,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRTW/1740383?gameHash=aa1c2a0762421086,https://youtu.be/lonSZzL9oe8?t=156,https://youtu.be/lonSZzL9oe8?t=758,Blazes,2.0
2018.0,summer,VCS,7,PVB,ADN,PVB,ADN,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRTW/1740420?gameHash=21140c1bcbbb558c,https://youtu.be/_PgavSrP6-o?t=261,https://youtu.be/_PgavSrP6-o?t=737,Naul,1.0
2018.0,summer,VCS,7,,,ADN,PVB,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRTW/1740425?gameHash=f80416971dd566c2,https://youtu.be/myYw4CzFSVc?t=166,https://youtu.be/myYw4CzFSVc?t=607,Palette,2.0
2018.0,summer,VCS,7,GAM,Vikings,GAM,Vikings,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRTW/1740427?gameHash=d12e4745b4812d37,https://youtu.be/L0YEbnfabr8?t=179,https://youtu.be/L0YEbnfabr8?t=639,Kiaya,1.0
2018.0,summer,VCS,7,,,Vikings,GAM,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRTW/1740463?gameHash=ec46d117a432ea12,https://youtu.be/-EqkI_9lpFY?t=168,https://youtu.be/-EqkI_9lpFY?t=650,Spot,2.0
2018.0,summer,VCS,7,FTV,CR,FTV,CR,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRTW/1750436?gameHash=aaefd752ce072cba,https://youtu.be/Lq20tFI7Y_A?t=249,https://youtu.be/Lq20tFI7Y_A?t=661,Victory,1.0
2018.0,summer,VCS,7,,,CR,FTV,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRTW/1750448?gameHash=e6fc0c48129e3876,https://youtu.be/jGQzisECYQM?t=171,https://youtu.be/jGQzisECYQM?t=619,Zeroday,2.0
2018.0,summer,VCS,7,,,FTV,CR,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRTW/1750455?gameHash=ff03ed77d1f558d6,https://youtu.be/jbJA4rJ5Ke4?t=156,https://youtu.be/jbJA4rJ5Ke4?t=554,Victory,3.0
2018.0,summer,VCS,7,FFQ,EVS,FFQ,EVS,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRTW/1740493?gameHash=93eac82442abdc5e,https://youtu.be/sIwjTNnDQtk?t=672,https://youtu.be/sIwjTNnDQtk?t=1149,Artifact,1.0
2018.0,summer,VCS,7,,,EVS,FFQ,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRTW/1740502?gameHash=10ae23778a91e91b,https://youtu.be/1I3y0ZKVP98?t=180,https://youtu.be/1I3y0ZKVP98?t=672,Venus,2.0
