year,season,league_name,week,team_1,team_2,Blue,Red,MH,PB,set_number
2019.0,spring,LCL,2,DA,EPG,DA,EPG,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1015095?gameHash=d25c2db47131c963&tab=overview,https://frontend.vh.yandex.ru/player/4f80461abc4c77faba766b7da12cda15,1.0
2019.0,spring,LCL,2,VEG,M19,VEG,M19,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1015120?gameHash=e627ab4701a32256&tab=overview,https://frontend.vh.yandex.ru/player/49abfd4f682872e7b5d80ee54b5f0e59,1.0
2019.0,spring,LCL,3,VEG,EPG,VEG,EPG,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1021477?gameHash=cb17e68aca4abe46&tab=overview,https://frontend.vh.yandex.ru/player/4aee2cd428615a57a7196c8f311b254f,1.0
2019.0,spring,LCL,3,VS,TJ,VS,TJ,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1031419?gameHash=8b6892bb26de6e4d&tab=overview,https://frontend.vh.yandex.ru/player/456851c4330611f694f6e39ce1a85381,1.0
2019.0,spring,LCL,3,GMB,EPG,GMB,EPG,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1021511?gameHash=3445004c5f095ecf&tab=overview,https://frontend.vh.yandex.ru/player/44d472e058198078bbd97e91b6138651,1.0
2019.0,spring,LCL,3,M19,TJ,M19,TJ,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1021520?gameHash=bfb70cb907fe298d&tab=overview,https://frontend.vh.yandex.ru/player/4b4af9c0479ff71180c7ec6f7a8f2e87,1.0
2019.0,spring,LCL,3,RoX,GMB,RoX,GMB,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1021539?gameHash=d6dfabe7881c9c1a&tab=overview,https://frontend.vh.yandex.ru/player/4c3f430e0f7ee5e4a409f19fb0afbc61,1.0
2019.0,spring,LCL,3,M19,DA,M19,DA,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1021547?gameHash=f7606aece9b607b7&tab=overview,https://frontend.vh.yandex.ru/player/41d30b224e5ec95791c72f59b9e8ff12,1.0
2019.0,spring,LCL,3,VEG,VS,VEG,VS,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1031670?gameHash=01da1705b34182b7&tab=overview,https://frontend.vh.yandex.ru/player/4b3043fde54fadc18c3c8cae2c090dde,1.0
2019.0,spring,LCL,3,EPG,TJ,EPG,TJ,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1031697?gameHash=715916e2a4d70a67&tab=overview,https://frontend.vh.yandex.ru/player/406c3a0f2c7ec3b3935e4d591618c423,1.0
2019.0,spring,LCL,3,DA,VS,DA,VS,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1031704?gameHash=3842920ee11df8f8&tab=overview,https://frontend.vh.yandex.ru/player/481f8ab376b8e89aa87f2522fa01c169,1.0
2019.0,spring,LCL,3,VEG,RoX,VEG,RoX,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1031724?gameHash=d0ec619cda15bc1a&tab=overview,https://frontend.vh.yandex.ru/player/4760f39dc972f5b590bdad9e58c45276,1.0
2019.0,spring,LCL,3,GMB,M19,GMB,M19,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1031729?gameHash=1c4a588956578cf5&tab=overview,https://frontend.vh.yandex.ru/player/42eeaedc9c9b619a89203e180a9afac5,1.0
2019.0,spring,LCL,3,RoX,DA,RoX,DA,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1031737?gameHash=a36844032cdcf1e8&tab=overview,https://frontend.vh.yandex.ru/player/4ecdfca52b4d7d72bc789a98e5eb8e5b,1.0
2019.0,spring,LCL,4,TJ,DA,TJ,DA,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1081581?gameHash=ee6beb6ccf4b70ef&tab=overview,https://frontend.vh.yandex.ru/player/4474973d62f76cf48925e7a64b2281a9,1.0
2019.0,spring,LCL,4,RoX,EPG,RoX,EPG,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1081603?gameHash=a6e0e5863edf4ac4&tab=overview,https://frontend.vh.yandex.ru/player/45c3c4f078ba18c1883e4e90207ab4d2,1.0
2019.0,spring,LCL,4,VEG,DA,VEG,DA,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1081623?gameHash=8898f8372b348a10&tab=overview,https://frontend.vh.yandex.ru/player/450c539297f864ccaf8afc98e81292bd,1.0
2019.0,spring,LCL,4,GMB,TJ,GMB,TJ,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1081653?gameHash=29582a3bbe51db38&tab=overview,https://frontend.vh.yandex.ru/player/4d5bd1a4cf5fc4a38383349d3b087291,1.0
2019.0,spring,LCL,4,M19,VS,M19,VS,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1081670?gameHash=30bb6f739f0e6251&tab=overview,https://frontend.vh.yandex.ru/player/4d14ef48d79ab51ba26ffffc6a11a740,1.0
2019.0,spring,LCL,4,VEG,GMB,VEG,GMB,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1081694?gameHash=50f7004374af26c4&tab=overview,https://frontend.vh.yandex.ru/player/45196256c20c36198acdff92fb418af3,1.0
