year,season,league_name,week,team_1,team_2,PB,Start,set_number
2018.0,summer,OPL,4,,,https://youtube.com/watch?v=2Nvq5KskLrQ&t=14682,https://youtube.com/watch?v=2Nvq5KskLrQ&t=15109,2.0
2018.0,summer,OPL,4,MMM,ORD,https://youtube.com/watch?v=QORqxpK1U3c&t=4002,https://youtube.com/watch?v=QORqxpK1U3c&t=4411,1.0
2018.0,summer,OPL,4,,,https://youtube.com/watch?v=QORqxpK1U3c&t=7426,https://youtube.com/watch?v=QORqxpK1U3c&t=7873,2.0
2018.0,summer,OPL,4,,,https://youtube.com/watch?v=QORqxpK1U3c&t=10535,https://youtube.com/watch?v=QORqxpK1U3c&t=10894,3.0
2018.0,summer,OPL,4,AV,BMR,https://youtube.com/watch?v=QORqxpK1U3c&t=14123,https://youtube.com/watch?v=QORqxpK1U3c&t=14547,1.0
2018.0,summer,OPL,4,,,https://youtube.com/watch?v=QORqxpK1U3c&t=17232,https://youtube.com/watch?v=QORqxpK1U3c&t=17662,2.0
2018.0,summer,OPL,5,ORD,BMR,https://youtube.com/watch?v=XVAPAMDQqWc&t=588,https://youtube.com/watch?v=XVAPAMDQqWc&t=1168,1.0
2018.0,summer,OPL,5,,,https://youtube.com/watch?v=t-lJtXCtPxY&t=514,https://youtube.com/watch?v=t-lJtXCtPxY&t=937,2.0
2018.0,summer,OPL,5,CHF,DW,https://youtube.com/watch?v=ibgKZ6GNwxc&t=420,https://youtube.com/watch?v=ibgKZ6GNwxc&t=873,1.0
2018.0,summer,OPL,5,,,https://youtube.com/watch?v=0i9dt_9efXM&t=633,https://youtube.com/watch?v=0i9dt_9efXM&t=995,2.0
2018.0,summer,OPL,5,MMM,TTC,https://youtube.com/watch?v=swdOgXILLH4&t=2673,https://youtube.com/watch?v=swdOgXILLH4&t=3074,1.0
2018.0,summer,OPL,5,,,https://youtube.com/watch?v=tiaQf1xmHmg&t=599,https://youtube.com/watch?v=tiaQf1xmHmg&t=1243,2.0
2018.0,summer,OPL,5,LGC,AV,https://youtube.com/watch?v=TJ2UOvpGB4M&t=390,https://youtube.com/watch?v=TJ2UOvpGB4M&t=820,1.0
2018.0,summer,OPL,5,,,https://youtube.com/watch?v=SyS5WTTOW-0&t=601,https://youtube.com/watch?v=SyS5WTTOW-0&t=1064,2.0
2018.0,summer,OPL,6,TTC,LGC,https://youtube.com/watch?v=a35HNYAmK-c&t=642,https://youtube.com/watch?v=a35HNYAmK-c&t=1092,1.0
2018.0,summer,OPL,6,,,https://youtube.com/watch?v=QpjcYYj5GW8&t=643,https://youtube.com/watch?v=QpjcYYj5GW8&t=1080,2.0
2018.0,summer,OPL,6,AV,MMM,https://youtube.com/watch?v=01Yh81IVqSc&t=487,https://youtube.com/watch?v=01Yh81IVqSc&t=883,1.0
2018.0,summer,OPL,6,,,https://youtube.com/watch?v=8bJxu8uEiV8&t=555,https://youtube.com/watch?v=8bJxu8uEiV8&t=928,2.0
2018.0,summer,OPL,6,,,https://youtube.com/watch?v=YeNTTsy91ZU&t=27,https://youtube.com/watch?v=YeNTTsy91ZU&t=415,3.0
2018.0,summer,OPL,6,BMR,DW,https://youtube.com/watch?v=tSFe9yDCkPE&t=674,https://youtube.com/watch?v=tSFe9yDCkPE&t=1039,1.0
2018.0,summer,OPL,6,,,https://youtube.com/watch?v=U88Oj3F97VE&t=592,https://youtube.com/watch?v=U88Oj3F97VE&t=997,2.0
2018.0,summer,OPL,6,,,https://youtube.com/watch?v=Z6VT959m90g&t=106,https://youtube.com/watch?v=Z6VT959m90g&t=512,3.0
2018.0,summer,OPL,6,ORD,CHF,https://youtube.com/watch?v=r6k1tb68EXs&t=333,https://youtube.com/watch?v=r6k1tb68EXs&t=827,1.0
2018.0,summer,OPL,6,,,https://youtube.com/watch?v=y9wviGo2GUE&t=530,https://youtube.com/watch?v=y9wviGo2GUE&t=988,2.0
2018.0,summer,OPL,7,DW,MMM,https://youtube.com/watch?v=_6kqEbz1WC8&t=702,https://youtube.com/watch?v=_6kqEbz1WC8&t=1086,1.0
2018.0,summer,OPL,7,,,https://youtube.com/watch?v=aLm8EkDKcL8&t=615,https://youtube.com/watch?v=aLm8EkDKcL8&t=967,2.0
2018.0,summer,OPL,7,LGC,ORD,https://youtube.com/watch?v=q6nXBlbh2Pk&t=450,https://youtube.com/watch?v=q6nXBlbh2Pk&t=898,1.0
2018.0,summer,OPL,7,,,https://youtube.com/watch?v=JAgiHFltOk8&t=503,https://youtube.com/watch?v=JAgiHFltOk8&t=952,2.0
2018.0,summer,OPL,7,BMR,TTC,https://youtube.com/watch?v=ZZsYxb0aHLE&t=612,https://youtube.com/watch?v=ZZsYxb0aHLE&t=1048,1.0
2018.0,summer,OPL,7,,,https://youtube.com/watch?v=jnyoUdoAQx8&t=602,https://youtube.com/watch?v=jnyoUdoAQx8&t=1030,2.0
2018.0,summer,OPL,7,CHF,AV,https://youtube.com/watch?v=ZilwJ1yd5_Q&t=408,https://youtube.com/watch?v=ZilwJ1yd5_Q&t=811,1.0
2018.0,summer,OPL,7,,,https://www.twitch.tv/videos/290121806&t=04h15m09s,https://www.twitch.tv/videos/290121806&t=04h22m23s,2.0
2018.0,summer,OPL,8,TTC,DW,https://youtube.com/watch?v=-TcXzt8yCPI&t=4155,https://youtube.com/watch?v=-TcXzt8yCPI&t=4574,1.0
2018.0,summer,OPL,8,,,https://youtube.com/watch?v=-TcXzt8yCPI&t=7767,https://youtube.com/watch?v=-TcXzt8yCPI&t=8175,2.0
2018.0,summer,OPL,8,BMR,LGC,https://youtube.com/watch?v=-TcXzt8yCPI&t=10696,https://youtube.com/watch?v=-TcXzt8yCPI&t=11126,1.0
2018.0,summer,OPL,8,,,https://youtube.com/watch?v=-TcXzt8yCPI&t=14112,https://youtube.com/watch?v=-TcXzt8yCPI&t=14566,2.0
2018.0,summer,OPL,8,,,https://youtube.com/watch?v=-TcXzt8yCPI&t=17597,https://youtube.com/watch?v=-TcXzt8yCPI&t=17980,3.0
2018.0,summer,OPL,8,MMM,CHF,https://youtube.com/watch?v=59TguVC9rSY&t=4090,https://youtube.com/watch?v=59TguVC9rSY&t=4497,1.0
2018.0,summer,OPL,8,,,https://youtube.com/watch?v=59TguVC9rSY&t=7623,https://youtube.com/watch?v=59TguVC9rSY&t=8032,2.0
2018.0,summer,OPL,8,ORD,AV,https://youtube.com/watch?v=59TguVC9rSY&t=10613,https://youtube.com/watch?v=59TguVC9rSY&t=11080,1.0
2018.0,summer,OPL,8,,,https://youtube.com/watch?v=59TguVC9rSY&t=13598,https://youtube.com/watch?v=59TguVC9rSY&t=14065,2.0
2018.0,summer,OPL,8,,,https://youtube.com/watch?v=59TguVC9rSY&t=16578,https://youtube.com/watch?v=59TguVC9rSY&t=17038,3.0
2018.0,summer,OPL,9,DW,AV,https://youtube.com/watch?v=Cmsq0CuAGQs&t=4200,https://youtube.com/watch?v=Cmsq0CuAGQs&t=4579,1.0
2018.0,summer,OPL,9,,,https://youtube.com/watch?v=Cmsq0CuAGQs&t=7288,https://youtube.com/watch?v=Cmsq0CuAGQs&t=7691,2.0
2018.0,summer,OPL,9,LGC,CHF,https://youtube.com/watch?v=Cmsq0CuAGQs&t=10330,https://youtube.com/watch?v=Cmsq0CuAGQs&t=10739,1.0
2018.0,summer,OPL,9,,,https://youtube.com/watch?v=Cmsq0CuAGQs&t=12986,https://youtube.com/watch?v=Cmsq0CuAGQs&t=13381,2.0
2018.0,summer,OPL,9,TTC,ORD,https://youtube.com/watch?v=fAqXDDR4V4Q&t=4019,https://youtube.com/watch?v=fAqXDDR4V4Q&t=4437,1.0
2018.0,summer,OPL,9,,,https://youtube.com/watch?v=fAqXDDR4V4Q&t=7189,https://youtube.com/watch?v=fAqXDDR4V4Q&t=7592,2.0
2018.0,summer,OPL,9,BMR,MMM,https://youtube.com/watch?v=fAqXDDR4V4Q&t=9984,https://youtube.com/watch?v=fAqXDDR4V4Q&t=10369,1.0
2018.0,summer,OPL,9,,,https://youtube.com/watch?v=fAqXDDR4V4Q&t=13338,https://youtube.com/watch?v=fAqXDDR4V4Q&t=13791,2.0
2018.0,summer,OPL,9,,,https://youtube.com/watch?v=fAqXDDR4V4Q&t=16035,https://youtube.com/watch?v=fAqXDDR4V4Q&t=16468,3.0
2018.0,summer,OPL,10,AV,TTC,https://www.youtube.com/watch?v=yljP_YTWp24&t=1h04m24s,https://www.youtube.com/watch?v=yljP_YTWp24&t=1h11m54s,1.0
2018.0,summer,OPL,10,,,https://www.youtube.com/watch?v=yljP_YTWp24&t=1h57m31s,https://www.youtube.com/watch?v=yljP_YTWp24&t=2h05m17s,2.0
2018.0,summer,OPL,10,,,https://www.youtube.com/watch?v=yljP_YTWp24&t=2h52m53s,https://www.youtube.com/watch?v=yljP_YTWp24&t=2h59m00s,3.0
2018.0,summer,OPL,10,MMM,LGC,https://www.youtube.com/watch?v=yljP_YTWp24&t=3h45m15s,https://www.youtube.com/watch?v=yljP_YTWp24&t=3h51m13s,1.0
2018.0,summer,OPL,10,,,https://www.youtube.com/watch?v=yljP_YTWp24&t=5h05m39s,https://www.youtube.com/watch?v=yljP_YTWp24&t=5h11m50s,2.0
2018.0,summer,OPL,10,BMR,CHF,https://youtube.com/watch?v=lGqM0-Scp2s&t=4147,https://youtube.com/watch?v=lGqM0-Scp2s&t=4517,1.0
2018.0,summer,OPL,10,,,https://youtube.com/watch?v=lGqM0-Scp2s&t=7218,https://youtube.com/watch?v=lGqM0-Scp2s&t=7689,2.0
2018.0,summer,OPL,10,ORD,DW,https://youtube.com/watch?v=lGqM0-Scp2s&t=10873,https://youtube.com/watch?v=lGqM0-Scp2s&t=11164,1.0
2018.0,summer,OPL,10,,,https://youtube.com/watch?v=lGqM0-Scp2s&t=15020,https://youtube.com/watch?v=lGqM0-Scp2s&t=15390,2.0
2018.0,summer,OPL,10,,,https://youtube.com/watch?v=lGqM0-Scp2s&t=18215,https://youtube.com/watch?v=lGqM0-Scp2s&t=18517,3.0
