year,season,league_name,week,team_1,team_2,Blue,Red,MH,Vod,PB,Start,set_number
2017.0,summer,OPL,8,DW,ABY,DW,ABY,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/300228?gameHash=59281f9d90e7ed86&tab=overview,http://youtube.com/watch?v=joOag4o6aqw?t=9m46s,https://youtube.com/watch?v=joOag4o6aqw&t=9m46s,https://youtube.com/watch?v=joOag4o6aqw&t=15m59s,1.0
2017.0,summer,OPL,8,,,ABY,DW,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/300235?gameHash=d360a074f0f8e538&tab=overview,http://youtube.com/watch?v=H8pmDL6FWkY?t=21s,https://youtube.com/watch?v=H8pmDL6FWkY&t=21s,https://youtube.com/watch?v=H8pmDL6FWkY&t=7m6s,2.0
2017.0,summer,OPL,9,LGC,SIN,SIN,LGC,http://matchhistory.oce.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/340245?gameHash=7a16f5a23d1cc9bc&tab=overview,http://youtube.com/watch?v=fBERIzjGDFw?t=13m24s,https://youtube.com/watch?v=fBERIzjGDFw&t=13m24s,https://youtube.com/watch?v=fBERIzjGDFw&t=19m49s,1.0
2017.0,summer,OPL,9,,,LGC,SIN,http://matchhistory.oce.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/340254?gameHash=7ed59e2e1ced0887&tab=overview,http://youtube.com/watch?v=Lomu19dYtys?t=3m5s,https://youtube.com/watch?v=Lomu19dYtys&t=3m5s,https://youtube.com/watch?v=Lomu19dYtys&t=9m6s,2.0
2017.0,summer,OPL,9,,,SIN,LGC,http://matchhistory.oce.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/340255?gameHash=53cd6d63deabade9&tab=overview,http://youtube.com/watch?v=LjcIgqCA-B0?t=56s,https://youtube.com/watch?v=LjcIgqCA-B0&t=56s,https://youtube.com/watch?v=LjcIgqCA-B0&t=7m9s,3.0
2017.0,summer,OPL,9,RGC,ABY,RGC,ABY,http://matchhistory.oce.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/340266?gameHash=5cd699499c3cf449&tab=overview,http://youtube.com/watch?v=Fsfk1_DAgZ8?t=11m19s,https://youtube.com/watch?v=Fsfk1_DAgZ8&t=11m19s,https://youtube.com/watch?v=Fsfk1_DAgZ8&t=19m10s,1.0
2017.0,summer,OPL,9,,,ABY,RGC,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/340267?gameHash=1c5719180df107cf&tab=overview,http://youtube.com/watch?v=c8rxeMPx8vE?t=40s,https://youtube.com/watch?v=c8rxeMPx8vE&t=40s,https://youtube.com/watch?v=c8rxeMPx8vE&t=7m59s,2.0
2017.0,summer,OPL,9,tM,AV,tM,AV,http://matchhistory.oce.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/340302?gameHash=63239afbd16dc677&tab=overview,http://youtube.com/watch?v=yzm8_ZLNHpw?t=9m32s,https://youtube.com/watch?v=yzm8_ZLNHpw&t=9m32s,https://youtube.com/watch?v=yzm8_ZLNHpw&t=15m37s,1.0
2017.0,summer,OPL,9,,,AV,tM,http://matchhistory.oce.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/340306?gameHash=db40e71269e1e876&tab=overview,http://youtube.com/watch?v=N9cCc6GWtCc?t=38s,https://youtube.com/watch?v=N9cCc6GWtCc&t=38s,https://youtube.com/watch?v=N9cCc6GWtCc&t=8m15s,2.0
2017.0,summer,OPL,9,,,tM,AV,http://matchhistory.oce.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/340308?gameHash=3357ad0a1efbcfd7&tab=overview,http://youtube.com/watch?v=aqX2DY3mgjQ?t=29s,https://youtube.com/watch?v=aqX2DY3mgjQ&t=29s,https://youtube.com/watch?v=aqX2DY3mgjQ&t=7m55s,3.0
2017.0,summer,OPL,9,CHF,DW,CHF,DW,http://matchhistory.oce.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/340309?gameHash=a51560f4a4f20611&tab=overview,http://youtube.com/watch?v=_FYtfj8lnSk?t=9m10s,https://youtube.com/watch?v=_FYtfj8lnSk&t=9m10s,https://youtube.com/watch?v=_FYtfj8lnSk&t=17m17s,1.0
2017.0,summer,OPL,9,,,DW,CHF,http://matchhistory.oce.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/340313?gameHash=2838c3987d19db3c&tab=overview,http://youtube.com/watch?v=QMCe7ildOTY?t=47s,https://youtube.com/watch?v=QMCe7ildOTY&t=47s,https://youtube.com/watch?v=QMCe7ildOTY&t=47s,2.0
2017.0,summer,OPL,9,,,CHF,DW,http://matchhistory.oce.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/340314?gameHash=2a5224b23c1d8e28&tab=overview,http://youtube.com/watch?v=vwl9p9r-oYk?t=35s,https://youtube.com/watch?v=vwl9p9r-oYk&t=35s,https://youtube.com/watch?v=vwl9p9r-oYk&t=7m18s,3.0
