year,season,league_name,week,team_1,team_2,Blue,Red,MH,PB,Start,Post,HL,set_number
2020.0,summer,LJL,4,SHG,RJ,SHG,RJ,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1386328?gameHash=8b5793711baa9d24,https://youtu.be/Je9sqBVl2fY?t=884,https://youtu.be/Je9sqBVl2fY?t=1323,https://youtu.be/Je9sqBVl2fY?t=3242,https://youtu.be/Je9sqBVl2fY?t=3550,1.0
2020.0,summer,LJL,4,RJ,V3,V3,RJ,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1386331?gameHash=5638ebb332544019,https://youtu.be/mPPLqIDxR5Q?t=379,https://youtu.be/mPPLqIDxR5Q?t=1056,https://youtu.be/mPPLqIDxR5Q?t=2466,https://youtu.be/mPPLqIDxR5Q?t=2840,1.0
2020.0,summer,LJL,4,SHG,AXZ,SHG,AXZ,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1386339?gameHash=9cb494278810c13f,https://youtu.be/J4sqL_wOxvs?t=568,https://youtu.be/J4sqL_wOxvs?t=1007,https://youtu.be/J4sqL_wOxvs?t=2811,https://youtu.be/J4sqL_wOxvs?t=3137,1.0
2020.0,summer,LJL,4,AXZ,V3,AXZ,V3,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1386349?gameHash=eb99bd2d1d2efb58,https://youtu.be/BjfWWEDfijc?t=343,https://youtu.be/BjfWWEDfijc?t=804,https://youtu.be/BjfWWEDfijc?t=2538,https://youtu.be/BjfWWEDfijc?t=2965,1.0
2020.0,summer,LJL,4,BC,CGA,BC,CGA,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1386367?gameHash=44b4ac93b5bcbdde,https://youtu.be/_cW38dGZ2tE?t=357,https://youtu.be/_cW38dGZ2tE?t=732,https://youtu.be/_cW38dGZ2tE?t=2558,https://youtu.be/_cW38dGZ2tE?t=3169,1.0
2020.0,summer,LJL,4,BC,SG,BC,SG,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1386382?gameHash=ff7276eb166c8436,https://youtu.be/DBLWQx0JQJU?t=411,https://youtu.be/DBLWQx0JQJU?t=833,https://youtu.be/DBLWQx0JQJU?t=2764,https://youtu.be/DBLWQx0JQJU?t=3089,1.0
2020.0,summer,LJL,4,DFM,CGA,CGA,DFM,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1386408?gameHash=9bac3c3074fe21cf,https://youtu.be/xEHKFlkJG-Y?t=363,https://youtu.be/xEHKFlkJG-Y?t=847,https://youtu.be/xEHKFlkJG-Y?t=2706,https://youtu.be/xEHKFlkJG-Y?t=3091,1.0
2020.0,summer,LJL,4,SG,DFM,DFM,SG,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1386423?gameHash=43d3226412547b9a,https://youtu.be/Bc0nROkE_VQ?t=581,https://youtu.be/Bc0nROkE_VQ?t=1105,https://youtu.be/Bc0nROkE_VQ?t=3266,https://youtu.be/Bc0nROkE_VQ?t=4025,1.0
2020.0,summer,LJL,5,SG,AXZ,SG,AXZ,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1434733?gameHash=2bff023a93a60cd2,https://youtu.be/mEj9FfocVEQ?t=952,https://youtu.be/mEj9FfocVEQ?t=1610,https://youtu.be/mEj9FfocVEQ?t=4302,https://youtu.be/mEj9FfocVEQ?t=4844,1.0
2020.0,summer,LJL,5,RJ,SG,RJ,SG,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1434745?gameHash=0df1468ac53bc102,https://youtu.be/B9aPuibz-zA?t=320,https://youtu.be/B9aPuibz-zA?t=982,https://youtu.be/B9aPuibz-zA?t=2301,https://youtu.be/B9aPuibz-zA?t=2679,1.0
