year,season,league_name,week,team_1,team_2,Blue,Red,MH,Start,PB,set_number
2018.0,spring,LCS_a,8,OPT.A,100.A,OPT.A,100.A,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/550344?gameHash=87a43a6ec9bdbc08&tab=overview,https://www.youtube.com/watch?v=5N-4OdKQI30#t=88,https://www.youtube.com/watch?v=5N-4OdKQI30,1.0
2018.0,spring,LCS_a,8,OPT.A,C9.A,OPT.A,C9.A,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/560354?gameHash=5b80074cf8be31eb&tab=overview,https://www.youtube.com/watch?v=ridnmQ3W7NE#t=771,https://www.youtube.com/watch?v=ridnmQ3W7NE#t=373,1.0
2018.0,spring,LCS_a,8,FLY.A,CLG.A,FLY.A,CLG.A,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/550359?gameHash=5b696026b52ec0a5&tab=overview,https://www.youtube.com/watch?v=hUE3KPYc5NQ#t=474,,1.0
2018.0,spring,LCS_a,8,CG.A,FOX.A,CG.A,FOX.A,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/560356?gameHash=8421ad3274350954&tab=overview,https://www.youtube.com/watch?v=bACxbnAirlA#t=461,https://www.youtube.com/watch?v=bACxbnAirlA#t=147,1.0
2018.0,spring,LCS_a,8,TSM.A,TL.A,TSM.A,TL.A,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/550362?gameHash=d3fa5b0793e45f0f&tab=overview,https://www.youtube.com/watch?v=C2G5rESpuyE#t=500,https://www.youtube.com/watch?v=C2G5rESpuyE#t=118,1.0
2018.0,spring,LCS_a,8,100.A,GG.A,100.A,GG.A,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/560360?gameHash=4638b7f38a5feb8f&tab=overview,https://www.youtube.com/watch?v=-ncRtvquzEU#t=446,https://www.youtube.com/watch?v=-ncRtvquzEU#t=108,1.0
2018.0,spring,LCS_a,9,TL.A,OPT.A,TL.A,OPT.A,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/570086?gameHash=62caa8b5c13f42a2&tab=overview,https://www.youtube.com/watch?v=0U8dq2aabpo#t=73,https://www.youtube.com/watch?v=0U8dq2aabpo,1.0
2018.0,spring,LCS_a,9,GG.A,CG.A,GG.A,CG.A,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/570087?gameHash=0f0972701571116d&tab=overview,https://www.youtube.com/watch?v=bQftTfzmR5s#t=75,https://www.youtube.com/watch?v=bQftTfzmR5s,1.0
2018.0,spring,LCS_a,9,C9.A,FLY.A,C9.A,FLY.A,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/570092?gameHash=347fb5cabf483f49&tab=overview,https://www.youtube.com/watch?v=a6I6Jv9YHD0#t=71,https://www.youtube.com/watch?v=a6I6Jv9YHD0,1.0
2018.0,spring,LCS_a,9,FOX.A,100.A,FOX.A,100.A,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/580100?gameHash=6f1afa19e7a8bd12&tab=overview,https://www.youtube.com/watch?v=BE3j58LElbw#t=67,https://www.youtube.com/watch?v=BE3j58LElbw,1.0
2018.0,spring,LCS_a,9,CLG.A,TSM.A,TSM.A,CLG.A,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/570094?gameHash=7419c918a42d4625&tab=overview,https://www.youtube.com/watch?v=ATL2LeeZQcU#t=83,https://www.youtube.com/watch?v=ATL2LeeZQcU,1.0
2018.0,spring,LCS_a,9,CLG.A,OPT.A,CLG.A,OPT.A,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/570116?gameHash=c0f06166438224d6,https://www.youtube.com/watch?v=ElEaMC1t-ns#t=816,https://www.youtube.com/watch?v=ElEaMC1t-ns#t=412,1.0
2018.0,spring,LCS_a,9,TL.A,C9.A,TL.A,C9.A,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/580130?gameHash=3e52896965cf89b7,https://www.youtube.com/watch?v=eVCFJpg4DZ0#t=549,https://www.youtube.com/watch?v=eVCFJpg4DZ0#t=114,1.0
2018.0,spring,LCS_a,9,CG.A,100.A,CG.A,100.A,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/570119?gameHash=a873bfe0f0e48619,https://www.youtube.com/watch?v=HttqAlmo__M#t=473,https://www.youtube.com/watch?v=HttqAlmo__M#t=130,1.0
2018.0,spring,LCS_a,9,GG.A,TSM.A,GG.A,TSM.A,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/580134?gameHash=d5ff465efe4ce159,https://www.youtube.com/watch?v=BV9far_iekM#t=448,https://www.youtube.com/watch?v=BV9far_iekM#t=89,1.0
2018.0,spring,LCS_a,9,FLY.A,FOX.A,FLY.A,FOX.A,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/570126?gameHash=cecd9e6fe021d680,https://www.youtube.com/watch?v=2ViLdOUKSkQ#t=436,https://www.youtube.com/watch?v=2ViLdOUKSkQ#t=119,1.0
2018.0,spring,LCS_a,Tiebreakers,TL.A,C9.A,TL.A,C9.A,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/580138?gameHash=74d51148fdddda58,https://www.youtube.com/watch?v=8NRVaiWsJxA#t=420,https://www.youtube.com/watch?v=8NRVaiWsJxA#t=42,1.0
