year,season,league_name,week,team_1,team_2,Blue,Red,MH,PB,Start,Post,HL,MVP,set_number
2020.0,summer,LCK,1,AF,DYN,DYN,AF,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1415446?gameHash=c1b94b39cc476805,https://www.youtube.com/watch?v=-bYnqfRW1C4#t=4m19s,https://www.youtube.com/watch?v=-bYnqfRW1C4#t=11m8s,https://www.youtube.com/watch?v=-bYnqfRW1C4#t=48m56s,https://youtu.be/kJP7gq1oeUc?t=10,deokdam,1.0
2020.0,summer,LCK,1,,,AF,DYN,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1415469?gameHash=04440781a27b694a,https://www.youtube.com/watch?v=T9FHH4XeF6k#t=6m46s,https://www.youtube.com/watch?v=T9FHH4XeF6k#t=12m46s,https://www.youtube.com/watch?v=T9FHH4XeF6k#t=55m46s,https://youtu.be/IGoaTzr3Gnw?t=10,Mystic,2.0
2020.0,summer,LCK,1,,,DYN,AF,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1415487?gameHash=0700e5b969c7d6fc,https://www.youtube.com/watch?v=KL5_CHPvPbY#t=6m40s,https://www.youtube.com/watch?v=KL5_CHPvPbY#t=13m22s,https://www.youtube.com/watch?v=KL5_CHPvPbY#t=50m22s,https://youtu.be/iEjbODHOJes?t=10,Mystic,3.0
2020.0,summer,LCK,1,T1,HLE,T1,HLE,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1415502?gameHash=f936ac5a6ca18533,https://www.youtube.com/watch?v=nEttROFPwTQ#t=9m42s,https://www.youtube.com/watch?v=nEttROFPwTQ#t=16m40s,https://www.youtube.com/watch?v=nEttROFPwTQ#t=49m54s,https://youtu.be/9lsjU5k717w?t=10,Faker,1.0
2020.0,summer,LCK,1,,,HLE,T1,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1415533?gameHash=5e5b2defe55418e6,https://www.youtube.com/watch?v=Yo_MJ2mhfyM#t=5m51s,https://www.youtube.com/watch?v=Yo_MJ2mhfyM#t=12m41s,https://www.youtube.com/watch?v=Yo_MJ2mhfyM#t=43m20s,https://youtu.be/4-3gH7ZYnoA?t=10,DuDu,2.0
2020.0,summer,LCK,1,,,T1,HLE,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1415535?gameHash=02bc76313e59d025,https://www.youtube.com/watch?v=KmA6Adk-T_Y#t=6m48s,https://www.youtube.com/watch?v=KmA6Adk-T_Y#t=14m8s,https://www.youtube.com/watch?v=KmA6Adk-T_Y#t=46m20s,https://youtu.be/D0JHMFd6970?t=10,Effort,3.0
2020.0,summer,LCK,1,KT,GEN,KT,GEN,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1405601?gameHash=5637a3a2ff5fc937,https://youtu.be/OF7J8LoM-YY?t=474,https://youtu.be/OF7J8LoM-YY?t=871,https://youtu.be/OF7J8LoM-YY?t=3287,https://www.youtube.com/watch?v=sP_J9y0_afs#t=10s,Kuro,1.0
2020.0,summer,LCK,1,,,GEN,KT,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1405624?gameHash=fd494b4a91847059,https://youtu.be/CwBsqY87fJ4?t=428,https://youtu.be/CwBsqY87fJ4?t=836,https://youtu.be/CwBsqY87fJ4?t=2906,https://www.youtube.com/watch?v=HlHqoYqbuEk#t=10s,Kellin,2.0
2020.0,summer,LCK,1,,,KT,GEN,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1405637?gameHash=ba73492ccf208175,https://youtu.be/B7y3_aV2_uA?t=330,https://youtu.be/B7y3_aV2_uA?t=678,https://youtu.be/B7y3_aV2_uA?t=2681,https://youtu.be/wBz_vDjjDFg?t=10,Bdd,3.0
2020.0,summer,LCK,1,SP,DWG,SP,DWG,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1405646?gameHash=4008e4ae92036d3d,https://youtu.be/-JP7l7gPSu0?t=487,https://youtu.be/-JP7l7gPSu0?t=976,https://youtu.be/-JP7l7gPSu0?t=2556,https://youtu.be/KczJrveaoak?t=10,ShowMaker,1.0
2020.0,summer,LCK,1,,,DWG,SP,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1405650?gameHash=324b01436ed24207,https://youtu.be/Y10u_7KuIbo?t=326,https://youtu.be/Y10u_7KuIbo?t=873,https://youtu.be/Y10u_7KuIbo?t=2462,https://youtu.be/tpJvkYMnIAI?t=10,BeryL,2.0
2020.0,summer,LCK,2,DYN,SP,DYN,SP,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1393266?gameHash=aa345693eaf8d0b9,https://youtu.be/0bltVVoPBag?t=696,https://youtu.be/0bltVVoPBag?t=1112,https://youtu.be/0bltVVoPBag?t=2837,https://youtu.be/YmAW06QJkLg?t=10,Rich,1.0
2020.0,summer,LCK,2,,,SP,DYN,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1393296?gameHash=20f99688f4293003,https://youtu.be/wRUHDcZDX0w?t=339,https://youtu.be/wRUHDcZDX0w?t=796,https://youtu.be/wRUHDcZDX0w?t=2456,https://youtu.be/c61jPxPfKDw?t=10,ikssu,2.0
2020.0,summer,LCK,2,,,DYN,SP,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1393306?gameHash=890d491f74b3d1fd,https://youtu.be/vfAPhvnOLoE?t=367,https://youtu.be/vfAPhvnOLoE?t=822,https://youtu.be/vfAPhvnOLoE?t=2447,https://youtu.be/2L3oeXsif30?t=10,Rich,3.0
2020.0,summer,LCK,2,KT,HLE,HLE,KT,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1393318?gameHash=a855cab9fba3d970,https://youtu.be/dgoHKClXGpI?t=438,https://youtu.be/dgoHKClXGpI?t=852,https://youtu.be/dgoHKClXGpI?t=2989,https://youtu.be/CMDP4pZNnYU?t=10,TusiN,1.0
2020.0,summer,LCK,2,,,KT,HLE,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1393350?gameHash=e52cc9984acba26a,https://youtu.be/Mam1fZYXwKo?t=426,https://youtu.be/Mam1fZYXwKo?t=771,https://youtu.be/Mam1fZYXwKo?t=2509,https://youtu.be/FAFQhobS83M?t=10,Smeb,2.0
2020.0,summer,LCK,2,DRX,SB,DRX,SB,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1383936?gameHash=5d27dd14f5de27e0,https://youtu.be/_j4KbcTagzM?t=841,https://youtu.be/_j4KbcTagzM?t=1330,https://youtu.be/_j4KbcTagzM?t=3231,https://youtu.be/ZWm5jGJSENY?t=10,Deft,1.0
2020.0,summer,LCK,2,,,SB,DRX,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1383963?gameHash=83251da9e9008bb0,https://youtu.be/z6qWdOlPBNU?t=358,https://youtu.be/z6qWdOlPBNU?t=848,https://youtu.be/z6qWdOlPBNU?t=2551,https://youtu.be/3KelyWuvQWE?t=10,Route,2.0
2020.0,summer,LCK,2,,,DRX,SB,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1383967?gameHash=6c7fd18ddf29e214,https://youtu.be/Q1KiLKGrziE?t=346,https://youtu.be/Q1KiLKGrziE?t=834,https://youtu.be/Q1KiLKGrziE?t=2825,https://youtu.be/J5VWkllnSEU?t=10,Doran,3.0
2020.0,summer,LCK,2,DWG,GEN,GEN,DWG,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1383977?gameHash=159a85a362223ee1,https://youtu.be/zlhqy0bPFv0?t=457,https://youtu.be/zlhqy0bPFv0?t=940,https://youtu.be/zlhqy0bPFv0?t=2676,https://youtu.be/qTdDLnhhpnU?t=10,Rascal,1.0
