year,season,league_name,week,team_1,team_2,Blue,Red,MH,Vod,MVP,set_number
2020.0,summer,Challengers Korea,1,JAG,ASP,JAG,ASP,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1405100?gameHash=b51533995508163a,http://vod.afreecatv.com/PLAYER/STATION/58015799,Zzus,1.0
2020.0,summer,Challengers Korea,1,,,ASP,JAG,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1405122?gameHash=9c187bc3d64a47cc,http://vod.afreecatv.com/PLAYER/STATION/58017528,Yaharong,2.0
2020.0,summer,Challengers Korea,1,,,JAG,ASP,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1405130?gameHash=d2ebfd3485f3f041,http://vod.afreecatv.com/PLAYER/STATION/58019412,Yaharong,3.0
2020.0,summer,Challengers Korea,1,RNW,EM,RNW,EM,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1405146?gameHash=2c91ca4ee7a0adc5,http://vod.afreecatv.com/PLAYER/STATION/58021531,Slugger,1.0
2020.0,summer,Challengers Korea,1,,,EM,RNW,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1405155?gameHash=a5a03c678ffbfe1c,http://vod.afreecatv.com/PLAYER/STATION/58023617,Flare,2.0
2020.0,summer,Challengers Korea,1,GRF,BRB,GRF,BRB,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1405306?gameHash=332f6c2c4681818c,http://vod.afreecatv.com/PLAYER/STATION/58056430,Wizer,1.0
2020.0,summer,Challengers Korea,1,,,BRB,GRF,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1405318?gameHash=8027d238b8f30f96,http://vod.afreecatv.com/PLAYER/STATION/58058363,Croco,2.0
2020.0,summer,Challengers Korea,1,ESC,OZ,ESC,OZ,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1405328?gameHash=a7d8e690f5b4d68a&tab=overview,http://vod.afreecatv.com/PLAYER/STATION/58060525,BroCColi,1.0
2020.0,summer,Challengers Korea,1,,,OZ,ESC,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1405358?gameHash=ef4f1298dcd08003,http://vod.afreecatv.com/PLAYER/STATION/58062875,Gone,2.0
2020.0,summer,Challengers Korea,1,,,ESC,OZ,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1405367?gameHash=07117ba0788b1911,http://vod.afreecatv.com/PLAYER/STATION/58065524,Lapis,3.0
2020.0,summer,Challengers Korea,1,ASP,RNW,ASP,RNW,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1392457?gameHash=db2856a8e9c4e23a,http://vod.afreecatv.com/PLAYER/STATION/58184775,Mask,1.0
2020.0,summer,Challengers Korea,1,,,RNW,ASP,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1392465?gameHash=7585e3f6e65b7b42,http://vod.afreecatv.com/PLAYER/STATION/58186783,Mask,2.0
2020.0,summer,Challengers Korea,1,EM,OZ,EM,OZ,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1392471?gameHash=166e08ff90ef48a9,http://vod.afreecatv.com/PLAYER/STATION/58189403,Crown,1.0
