year,season,league_name,week,team_1,team_2,MVP,Blue,Red,MH,PB,Start,set_number
2019.0,spring,Challengers Korea,1,ESS,MVP,Kuzan,ESS,MVP,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1032394?gameHash=ce192be252e86ac2&tab=overview,https://youtu.be/DSJujkzME24?t=811,https://youtu.be/DSJujkzME24?t=1211,1.0
2019.0,spring,Challengers Korea,1,,,,MVP,ESS,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1032395?gameHash=4b422c6bb53a1b64&tab=overview,https://youtu.be/J76Qmls7P0w?t=121,https://youtu.be/J76Qmls7P0w?t=496,2.0
2019.0,spring,Challengers Korea,1,APK,VSG,Moo,APK,VSG,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1032412?gameHash=c2b211056d6568b4&tab=overview,https://youtu.be/ZrF641S78AQ?t=487,https://youtu.be/ZrF641S78AQ?t=921,1.0
2019.0,spring,Challengers Korea,1,,,,VSG,APK,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1032417?gameHash=c3fa19b04fffef37&tab=overview,https://youtu.be/qS116gHnczQ?t=354,https://youtu.be/qS116gHnczQ?t=838,2.0
2019.0,spring,Challengers Korea,1,ASR,VSG,Pure,ASR,VSG,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1033105?gameHash=2479b92437bc7271&tab=overview,https://youtu.be/SYv8P-xJVVs?t=550,https://youtu.be/SYv8P-xJVVs?t=1021,1.0
2019.0,spring,Challengers Korea,1,,,,VSG,ASR,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1033123?gameHash=7e7ded2f930a21fc&tab=overview,https://youtu.be/bZAmBvTrhq0?t=263,https://youtu.be/bZAmBvTrhq0?t=653,2.0
2019.0,spring,Challengers Korea,1,MVP,BRB,FATE,MVP,BRB,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1033187?gameHash=99287633c8d4ec19&tab=overview,https://youtu.be/k8eB0DcNOKI?t=464,https://youtu.be/k8eB0DcNOKI?t=841,1.0
2019.0,spring,Challengers Korea,1,,,,BRB,MVP,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1033205?gameHash=de853a953330e894&tab=overview,https://youtu.be/lgPnJMTE7S0?t=98,https://youtu.be/lgPnJMTE7S0?t=488,2.0
2019.0,spring,Challengers Korea,1,,,,MVP,BRB,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1033216?gameHash=057ee0fd3748970f&tab=overview,https://youtu.be/lNRaugvA9WU?t=104,https://youtu.be/lNRaugvA9WU?t=519,3.0
2019.0,spring,Challengers Korea,1,APK,WNS,Mickey,APK,WNS,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/981600?gameHash=1a64b4a2d72a0d59&tab=overview,https://youtu.be/iukmOE3weGw?t=650,https://youtu.be/iukmOE3weGw?t=1038,1.0
