year,season,league_name,week,team_1,team_2,Blue,Red,MH,Start,HL,PB,set_number
2019.0,spring,TPL_a,1,SUP.A,RY.A,SUP.A,RY.A,https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1000374?gameHash=f260004d9cc9fc64&tab=overview,https://youtu.be/YpWE-fMmkjk?t=22,https://www.youtube.com/watch?v=J95Unlz-qHU,,1.0
2019.0,spring,TPL_a,1,GS.A,DP.A,GS.A,DP.A,https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1000401?gameHash=408f09685ace1172&tab=overview,https://youtu.be/OBCyhBveq_0?t=15,https://www.youtube.com/watch?v=Fxgn_p7dakc,,1.0
2019.0,spring,TPL_a,1,HWA.A,FB.A,HWA.A,FB.A,https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1000421?gameHash=8fabe23baa7ca8fe&tab=overview,https://youtu.be/GmoHtcdaOV8?t=14,https://www.youtube.com/watch?v=SFHzHA0GJgc,,1.0
2019.0,spring,TPL_a,1,BS.A,GAL.A,GAL.A,BS.A,https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1000422?gameHash=1fcc792bc422dc41&tab=overview,https://youtu.be/inH0Qmjk3ds?t=41,https://www.youtube.com/watch?v=sy6jdDM_S0M,,1.0
2019.0,spring,TPL_a,1,BJK.A,AUR.A,AUR.A,BJK.A,https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1000427?gameHash=76b2d7c2ed72cf0d&tab=overview,https://youtu.be/quzOu17PFtc?t=35,https://www.youtube.com/watch?v=Xt5UJG1EF-4,,1.0
2019.0,spring,TPL_a,1,GAL.A,GS.A,GAL.A,GS.A,https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1000438?gameHash=9e7fce37ab322b20&tab=overview,https://youtu.be/FTCXiujggnI?t=13,https://www.youtube.com/watch?v=rsA1AhsMCag,,1.0
2019.0,spring,TPL_a,1,BJK.A,BS.A,BS.A,BJK.A,https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1000443?gameHash=671d90abf6ea1b34&tab=overview,https://youtu.be/dXotyHbdt_Y?t=12,https://www.youtube.com/watch?v=EmQc7LMYZzM,,1.0
2019.0,spring,TPL_a,1,DP.A,SUP.A,SUP.A,DP.A,https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1000445?gameHash=e12ada97d352ef0e&tab=overview,https://youtu.be/2H5USocSdxw?t=13,https://www.youtube.com/watch?v=Kjm7Pd6U_Z0,,1.0
2019.0,spring,TPL_a,1,AUR.A,HWA.A,HWA.A,AUR.A,https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1000449?gameHash=6ac4c18034ec89e9&tab=overview,https://youtu.be/ov5MfqPugbk?t=24,https://www.youtube.com/watch?v=OxbfVZmdnew,,1.0
2019.0,spring,TPL_a,1,FB.A,RY.A,RY.A,FB.A,https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1000454?gameHash=6cb62ab671c8ea52&tab=overview,https://youtu.be/DdZ5Z_5K9cA?t=12,https://www.youtube.com/watch?v=tqFla64oOZg,,1.0
2019.0,spring,TPL_a,1,SUP.A,FB.A,FB.A,SUP.A,https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1010471?gameHash=b9d969552adeae9e&tab=overview,https://youtu.be/46pOYeMWzec?t=13,https://www.youtube.com/watch?v=hnR4h4Ik02I,,1.0
2019.0,spring,TPL_a,1,DP.A,GAL.A,DP.A,GAL.A,https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1000490?gameHash=56b2970f270fd095&tab=overview,https://youtu.be/A_YS6SfmTIY?t=12,https://www.youtube.com/watch?v=UCz-TWSSKyA,,1.0
2019.0,spring,TPL_a,1,RY.A,AUR.A,RY.A,AUR.A,https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1000499?gameHash=579ba7acb32b4cda&tab=overview,https://youtu.be/YbBOyGNQDjc?t=1,https://www.youtube.com/watch?v=px89SnxAS3U,,1.0
2019.0,spring,TPL_a,1,HWA.A,BS.A,BS.A,HWA.A,https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1000502?gameHash=afd345a0fb963fe7&tab=overview,https://youtu.be/PqF_IcD38LM?t=12,https://www.youtube.com/watch?v=2RYAqMxtDRI,,1.0
2019.0,spring,TPL_a,1,GS.A,BJK.A,GS.A,BJK.A,https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1000503?gameHash=9162dd6a4361d553&tab=overview,https://youtu.be/rArltqaCFGw?t=11,https://www.youtube.com/watch?v=IZWstJKz1-A,,1.0
2019.0,spring,TPL_a,1,BJK.A,DP.A,BJK.A,DP.A,https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1000599?gameHash=16ded8275094e548&tab=overview,https://youtu.be/ppCa2AA7Cqg?t=2,https://www.youtube.com/watch?v=y7BD6LlPWEg,,1.0
2019.0,spring,TPL_a,1,AUR.A,FB.A,AUR.A,FB.A,https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1000607?gameHash=c9309637c4bc5dd2&tab=overview,https://youtu.be/wdgTxZ5fczo?t=22,https://www.youtube.com/watch?v=PiejKKxDKcs,,1.0
2019.0,spring,TPL_a,1,HWA.A,GS.A,GS.A,HWA.A,https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1000608?gameHash=335040970c433d47&tab=overview,https://youtu.be/5XjIZes6KnM?t=18,https://www.youtube.com/watch?v=-matvr1ctnA,,1.0
2019.0,spring,TPL_a,1,BS.A,RY.A,RY.A,BS.A,https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1000610?gameHash=964bec0bc5f122fa&tab=overview,https://youtu.be/47ai34dlakA?t=18,https://www.youtube.com/watch?v=685nqDGABCA,,1.0
2019.0,spring,TPL_a,1,GAL.A,SUP.A,SUP.A,GAL.A,https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1000612?gameHash=f130bad05ae20e8a&tab=overview,https://youtu.be/samIuXtTmpk?t=33,https://www.youtube.com/watch?v=wlfmslXU9Vo,,1.0
2019.0,spring,TPL_a,2,RY.A,GS.A,RY.A,GS.A,https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT04/880139?gameHash=182a1f09e610b315&tab=overview,https://youtu.be/f_RyNUQ7c88?t=58,https://www.youtube.com/watch?v=T1WeqGasuCo,,1.0
2019.0,spring,TPL_a,2,GAL.A,BJK.A,GAL.A,BJK.A,https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT04/880150?gameHash=6c854748a5aa189b&tab=overview,https://youtu.be/dTJ0uCy83dw?t=54,https://www.youtube.com/watch?v=2tZQ3YaEVDM,,1.0
2019.0,spring,TPL_a,2,FB.A,BS.A,FB.A,BS.A,https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT04/880173?gameHash=4a4a0f99101f0ae7&tab=overview,https://youtu.be/2elvJcs07II?t=65,https://www.youtube.com/watch?v=MTxg9r3wOLc,,1.0
2019.0,spring,TPL_a,2,SUP.A,AUR.A,SUP.A,AUR.A,https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT04/880183?gameHash=75f934faa8019987&tab=overview,https://youtu.be/sTq0aXof538?t=58,https://www.youtube.com/watch?v=_dbAwg-HhOQ,,1.0
2019.0,spring,TPL_a,2,DP.A,HWA.A,HWA.A,DP.A,https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT04/880191?gameHash=b961fb8369a5662f&tab=overview,https://youtu.be/3crkAnRcpPQ?t=62,https://www.youtube.com/watch?v=GJRLBpiCt7Y,,1.0
2019.0,spring,TPL_a,2,BS.A,AUR.A,BS.A,AUR.A,https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT04/880212?gameHash=a9adb6683b1c284f&tab=overview,https://youtu.be/br_0Xk80Wfg?t=52,https://www.youtube.com/watch?v=CHsKQEv9_b4,,1.0
2019.0,spring,TPL_a,2,BJK.A,SUP.A,BJK.A,SUP.A,https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT04/880215?gameHash=0b4557cd2563d92a&tab=overview,https://youtu.be/B_pk1QGYlsg?t=61,https://www.youtube.com/watch?v=Ra52SwfHvWA,,1.0
2019.0,spring,TPL_a,2,HWA.A,GAL.A,,,,,,,1.0
2019.0,spring,TPL_a,2,RY.A,DP.A,RY.A,DP.A,https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT04/880225?gameHash=a4c99dc7b6b0597a&tab=overview,https://youtu.be/bGM-oJJ7nWQ?t=59,https://www.youtube.com/watch?v=x3hr6f1NeFg,,1.0
2019.0,spring,TPL_a,2,GS.A,FB.A,FB.A,GS.A,https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT04/880239?gameHash=01c83c8f4eebedd6&tab=overview,https://youtu.be/zNlPT3jiYZI?t=58,https://www.youtube.com/watch?v=NcY3n3WXn_k,,1.0
2019.0,spring,TPL_a,3,BJK.A,HWA.A,BJK.A,HWA.A,https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT04/890695?gameHash=a508a86b64dec22c&tab=overview,https://youtu.be/npeG2HycHeE?t=503,https://www.youtube.com/watch?v=eIdfmXqG2Wo,https://youtu.be/npeG2HycHeE,1.0
2019.0,spring,TPL_a,3,FB.A,DP.A,FB.A,DP.A,https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT04/890705?gameHash=5421df4dde85142b&tab=overview,https://youtu.be/-xTi3DfyCOQ?t=314,https://www.youtube.com/watch?v=uVbAsV1NDR8,https://youtu.be/-xTi3DfyCOQ?t=1,1.0
2019.0,spring,TPL_a,3,AUR.A,GS.A,GS.A,AUR.A,https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT04/890718?gameHash=956c24e73f2d0556&tab=overview,https://youtu.be/U3nF7rlHpvA?t=457,https://www.youtube.com/watch?v=gYg5Pfx_BNE,https://youtu.be/U3nF7rlHpvA,1.0
2019.0,spring,TPL_a,3,GAL.A,RY.A,GAL.A,RY.A,https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT04/890727?gameHash=83429ba3176f8211&tab=overview,https://youtu.be/r6ICubKr43g?t=433,https://www.youtube.com/watch?v=24qTJCHyl44,https://youtu.be/r6ICubKr43g,1.0
2019.0,spring,TPL_a,3,SUP.A,BS.A,BS.A,SUP.A,https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT04/890747?gameHash=c1aea19b2a598823&tab=overview,https://youtu.be/TKrlZ9cFcWg?t=453,https://www.youtube.com/watch?v=2Ym44ix-Nss,https://youtu.be/TKrlZ9cFcWg,1.0
2019.0,spring,TPL_a,3,GS.A,BS.A,GS.A,BS.A,https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT04/880812?gameHash=e3dac35458d685c8&tab=overview,https://youtu.be/lKtEO75htRg?t=484,https://www.youtube.com/watch?v=P0ESITnZt1s,https://youtu.be/lKtEO75htRg,1.0
2019.0,spring,TPL_a,3,HWA.A,SUP.A,SUP.A,HWA.A,https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT04/880819?gameHash=fdbae994b445f726&tab=overview,https://youtu.be/ILPh8i8Or74?t=461,https://www.youtube.com/watch?v=QlMwbn5dQt4,https://youtu.be/ILPh8i8Or74,1.0
2019.0,spring,TPL_a,3,RY.A,BJK.A,RY.A,BJK.A,https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT04/880823?gameHash=d9e247721dade614&tab=overview,https://youtu.be/D0KJhU1oP5Y?t=531,https://www.youtube.com/watch?v=6sbMzNJkHE8,https://youtu.be/D0KJhU1oP5Y,1.0
2019.0,spring,TPL_a,3,FB.A,GAL.A,GAL.A,FB.A,https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT04/880840?gameHash=d778675a4cf71fec&tab=overview,https://youtu.be/uvIdW-DJ_jo?t=392,https://www.youtube.com/watch?v=U9i7g9CxKnc,https://youtu.be/uvIdW-DJ_jo,1.0
2019.0,spring,TPL_a,3,DP.A,AUR.A,DP.A,AUR.A,https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT04/880855?gameHash=d1f4955d10059580&tab=overview,https://youtu.be/dW696VkeJLE?t=447,https://www.youtube.com/watch?v=1yWih8ZsY2U,https://youtu.be/dW696VkeJLE,1.0
2019.0,spring,TPL_a,4,BS.A,DP.A,DP.A,BS.A,https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT05/1090147?gameHash=02fdc842e912af73&tab=overview,https://youtu.be/8Tq4u0lIfTk?t=198,https://www.youtube.com/watch?v=adhVLjPQgl4,https://youtu.be/8Tq4u0lIfTk,1.0
2019.0,spring,TPL_a,4,HWA.A,RY.A,RY.A,HWA.A,https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT05/1090152?gameHash=e864c858b8bd759a&tab=overview,https://youtu.be/ArmgpXgknLU?t=511,https://www.youtube.com/watch?v=VEt9FaMUrYc,https://youtu.be/ArmgpXgknLU,1.0
2019.0,spring,TPL_a,4,SUP.A,GS.A,,,,,,,1.0
2019.0,spring,TPL_a,4,AUR.A,GAL.A,GAL.A,AUR.A,https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT05/1090164?gameHash=07a1818cac0dbd12&tab=overview,https://youtu.be/E4J_WTXWy3g?t=330,https://www.youtube.com/watch?v=KizhbJresrk,https://youtu.be/E4J_WTXWy3g,1.0
