year,season,league_name,week,team_1,team_2,Blue,Red,MH,PB,Start,Post,set_number
2019.0,spring,ECS,3,,,KE,JII,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1000707?gameHash=bc659eaeedfea5c4&tab=overview,https://youtu.be/Zond6su8KNc?t=2966,https://youtu.be/Zond6su8KNc?t=3489,https://youtu.be/Zond6su8KNc?t=5496,2.0
2019.0,spring,ECS,3,MCX,FS,MCX,FS,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/993028?gameHash=9cc09d2480be5eb2&tab=overview,https://youtu.be/Zond6su8KNc?t=6559,https://youtu.be/Zond6su8KNc?t=7041,https://youtu.be/Zond6su8KNc?t=8817,1.0
2019.0,spring,ECS,3,,,FS,MCX,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1000710?gameHash=30462da8a6ad6afd&tab=overview,https://youtu.be/Zond6su8KNc?t=9715,https://youtu.be/Zond6su8KNc?t=10218,https://youtu.be/Zond6su8KNc?t=11920,2.0
2019.0,spring,ECS,3,FD,AF,FD,AF,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/993096?gameHash=c2496fdc45988018&tab=overview,https://youtu.be/Cal7NjbnJsM?t=1254,https://youtu.be/Cal7NjbnJsM?t=2020,https://youtu.be/Cal7NjbnJsM?t=4475,1.0
2019.0,spring,ECS,3,,,AF,FD,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1000716?gameHash=79d7f8de808ae7cd&tab=overview,https://youtu.be/Cal7NjbnJsM?t=5511,https://youtu.be/Cal7NjbnJsM?t=6093,https://youtu.be/Cal7NjbnJsM?t=8046,2.0
2019.0,spring,ECS,3,SE,GRI,SE,GRI,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/983056?gameHash=c8d2759a136d04bc&tab=overview,https://youtu.be/Cal7NjbnJsM?t=8785,https://youtu.be/Cal7NjbnJsM?t=9340,https://youtu.be/Cal7NjbnJsM?t=11860,1.0
2019.0,spring,ECS,3,,,GRI,SE,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1010663?gameHash=d140aca5913d1402&tab=overview,https://youtu.be/Cal7NjbnJsM?t=12704,https://youtu.be/Cal7NjbnJsM?t=13249,https://youtu.be/Cal7NjbnJsM?t=14917,2.0
2019.0,spring,ECS,4,AF,MCX,AF,MCX,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1053604?gameHash=d7d367d8a0545ac1&tab=overview,https://youtu.be/q6aVf_JDzKk?t=1855,https://youtu.be/q6aVf_JDzKk?t=2424,https://youtu.be/q6aVf_JDzKk?t=4495,1.0
2019.0,spring,ECS,4,,,MCX,AF,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1063530?gameHash=cc70e09fd199a9a1&tab=overview,https://youtu.be/q6aVf_JDzKk?t=5417,https://youtu.be/q6aVf_JDzKk?t=5945,https://youtu.be/q6aVf_JDzKk?t=8998,2.0
2019.0,spring,ECS,4,FS,FD,FS,FD,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1063539?gameHash=f512f077532e619d&tab=overview,https://youtu.be/q6aVf_JDzKk?t=9970,https://youtu.be/q6aVf_JDzKk?t=10533,https://youtu.be/q6aVf_JDzKk?t=12121,1.0
2019.0,spring,ECS,4,,,FD,FS,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1063540?gameHash=91aca4a709e68009&tab=overview,https://youtu.be/q6aVf_JDzKk?t=12845,https://youtu.be/q6aVf_JDzKk?t=13475,https://youtu.be/q6aVf_JDzKk?t=15887,2.0
2019.0,spring,ECS,4,GRI,KE,GRI,KE,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1053707?gameHash=e5d7c4d189e5ca89&tab=overview,https://youtu.be/UI6Ik4e8jxU?t=2157,https://youtu.be/UI6Ik4e8jxU?t=2647,https://youtu.be/UI6Ik4e8jxU?t=4255,1.0
2019.0,spring,ECS,4,,,KE,GRI,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1053711?gameHash=7f08bbe3b91cfca8&tab=overview,https://youtu.be/UI6Ik4e8jxU?t=5018,https://youtu.be/UI6Ik4e8jxU?t=5562,https://youtu.be/UI6Ik4e8jxU?t=7610,2.0
2019.0,spring,ECS,4,SE,JII,SE,JII,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1053713?gameHash=a577b450fdcbd6d5&tab=overview,https://youtu.be/UI6Ik4e8jxU?t=8505,https://youtu.be/UI6Ik4e8jxU?t=9069,https://youtu.be/UI6Ik4e8jxU?t=10960,1.0
2019.0,spring,ECS,4,,,JII,SE,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1053717?gameHash=3b03a4a4f3c0ba6a&tab=overview,https://youtu.be/UI6Ik4e8jxU?t=11806,https://youtu.be/UI6Ik4e8jxU?t=12308,https://youtu.be/UI6Ik4e8jxU?t=13866,2.0
2019.0,spring,ECS,5,FD,SE,FD,SE,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1002744?gameHash=bafff36e61a50ba2&tab=overview,https://youtu.be/y8pYvDQprIU?t=1992,https://youtu.be/y8pYvDQprIU?t=2576,https://youtu.be/y8pYvDQprIU?t=4919,1.0
2019.0,spring,ECS,5,,,SE,FD,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1002771?gameHash=6c36983448928131&tab=overview,https://youtu.be/y8pYvDQprIU?t=5713,https://youtu.be/y8pYvDQprIU?t=6269,https://youtu.be/y8pYvDQprIU?t=7838,2.0
2019.0,spring,ECS,5,KE,AF,KE,AF,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1002779?gameHash=a27a9a170db525e5&tab=overview,https://youtu.be/y8pYvDQprIU?t=9664,https://youtu.be/y8pYvDQprIU?t=10409,https://youtu.be/y8pYvDQprIU?t=12364,1.0
