year,season,league_name,week,team_1,team_2,Blue,Red,MH,PB,Start,set_number
2018.0,summer,LJL,3,BC,DFM,DFM,BC,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/760759?gameHash=6ed4e03627fa8931&tab=overview,https://youtu.be/_vnCOtHEJjU?t=325,https://youtu.be/_vnCOtHEJjU?t=700,1.0
2018.0,summer,LJL,3,,,BC,DFM,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/760778?gameHash=136163d663e1b311&tab=overview,https://youtu.be/jL6iGLhrkRY?t=158,https://youtu.be/jL6iGLhrkRY?t=660,2.0
2018.0,summer,LJL,4,DFM,V3,DFM,V3,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/771558?gameHash=fd5aec38edb66e65&tab=overview,https://youtu.be/_S8J7L1_IOY?t=282,https://youtu.be/_S8J7L1_IOY?t=723,1.0
2018.0,summer,LJL,4,,,V3,DFM,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/771590?gameHash=6352a8e4b66a9320&tab=overview,https://youtu.be/OZo2uaN6AYA?t=131,https://youtu.be/OZo2uaN6AYA?t=511,2.0
2018.0,summer,LJL,4,PGM,USG,PGM,USG,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/771518?gameHash=6a1425142e332e79&tab=overview,https://youtu.be/5tkDwhl7gyI?t=257,https://youtu.be/5tkDwhl7gyI?t=652,1.0
2018.0,summer,LJL,4,,,PGM,USG,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/771540?gameHash=4b2236ee8f72701d&tab=overview,https://youtu.be/Z5vVdVY-m-A?t=157,https://youtu.be/Z5vVdVY-m-A?t=561,2.0
2018.0,summer,LJL,4,CGA,BC,BC,CGA,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/771594?gameHash=4bf0f00d968170b3&tab=overview,https://youtu.be/cER1VGGxeoo?t=286,https://youtu.be/cER1VGGxeoo?t=705,1.0
2018.0,summer,LJL,4,,,CGA,BC,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/771626?gameHash=ee627d65917f46ac&tab=overview,https://youtu.be/Cg6D2QHTVjM?t=85,https://youtu.be/Cg6D2QHTVjM?t=481,2.0
2018.0,summer,LJL,4,,,CGA,BC,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/771640?gameHash=151dff5c1a0958bb&tab=overview,https://youtu.be/WdzvxIW_UUA?t=187,https://youtu.be/WdzvxIW_UUA?t=576,3.0
2018.0,summer,LJL,5,V3,CGA,V3,CGA,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/761539?gameHash=d3cab7bee206d172&tab=overview,https://youtu.be/qECZ2QmiLOw?t=312,https://youtu.be/qECZ2QmiLOw?t=763,1.0
2018.0,summer,LJL,5,,,CGA,V3,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/761558?gameHash=e70bf4d1074ef993&tab=overview,https://youtu.be/ei-4Or2fyRc?t=121,https://youtu.be/ei-4Or2fyRc?t=552,2.0
2018.0,summer,LJL,5,BC,PGM,BC,PGM,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/761575?gameHash=7a4db4501d1807f1&tab=overview,https://youtu.be/kH7c77PXE9U?t=292,https://youtu.be/kH7c77PXE9U?t=766,1.0
2018.0,summer,LJL,5,,,BC,PGM,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/761594?gameHash=e171840b21923419&tab=overview,https://youtu.be/b84iX_KmO-s?t=159,https://youtu.be/b84iX_KmO-s?t=609,2.0
2018.0,summer,LJL,5,,,BC,PGM,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/761596?gameHash=7cb7bea404a5426e&tab=overview,https://youtu.be/ZYL7SFSUpug?t=114,https://youtu.be/ZYL7SFSUpug?t=491,3.0
2018.0,summer,LJL,5,USG,DFM,DFM,USG,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/761599?gameHash=861f2c6b681c4e1e&tab=overview,https://youtu.be/iC3OLYwNt10?t=340,https://youtu.be/iC3OLYwNt10?t=759,1.0
2018.0,summer,LJL,5,,,DFM,USG,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/761634?gameHash=dedc1f6bcd6bf7a8&tab=overview,https://youtu.be/nelgI-s9DYo?t=161,https://youtu.be/nelgI-s9DYo?t=542,2.0
2018.0,summer,LJL,5,,,DFM,USG,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/761642?gameHash=3563341425d58037&tab=overview,https://youtu.be/-Lwqik2wH9o?t=78,https://youtu.be/-Lwqik2wH9o?t=479,3.0
2018.0,summer,LJL,6,BC,V3,V3,BC,https://matchhistory.jp.leagueoflegends.com/ja/#match-details/ESPORTSTMNT06/762304?gameHash=bafbcc09ae46e55b&tab=overview,https://youtu.be/SYIpP_N_ti8?t=279,https://youtu.be/SYIpP_N_ti8?t=736,1.0
2018.0,summer,LJL,6,,,V3,BC,https://matchhistory.jp.leagueoflegends.com/ja/#match-details/ESPORTSTMNT06/762327?gameHash=a27cae3ade5e6e85&tab=overview,https://youtu.be/AdziWheYhRQ?t=124,https://youtu.be/AdziWheYhRQ?t=508,2.0
2018.0,summer,LJL,6,,,V3,BC,https://matchhistory.jp.leagueoflegends.com/ja/#match-details/ESPORTSTMNT06/762335?gameHash=11f4fde5ce0230fb&tab=overview,https://youtu.be/BAtKKdVb-EI?t=81,https://youtu.be/BAtKKdVb-EI?t=524,3.0
