year,season,league_name,week,team_1,team_2,Blue,Red,MH,Start,HL,PB,set_number
2019.0,summer,TPL_a,4,GAL.A,DP.A,GAL.A,DP.A,https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1020218?gameHash=10b8fca03c73b19e&tab=overview,https://youtu.be/XNHesQWDt3I?t=436,https://www.youtube.com/watch?v=yLlAWcPbLwg,https://youtu.be/XNHesQWDt3I?t=1,1.0
2019.0,summer,TPL_a,4,SUP.A,FB.A,FB.A,SUP.A,https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1020220?gameHash=b1fb602aa0aec4f6&tab=overview,https://youtu.be/-kBDad9slMU?t=382,https://www.youtube.com/watch?v=gnE7ZejdlzQ,https://youtu.be/-kBDad9slMU?t=1,1.0
2019.0,summer,TPL_a,5,AUR.A,IWC.A,AUR.A,IWC.A,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1020554?gameHash=0bb7edc1c427785f,https://youtu.be/TbvMOhvS3xA?t=419,https://www.youtube.com/watch?v=6IDkIK6NjSg,https://youtu.be/TbvMOhvS3xA?t=1,1.0
2019.0,summer,TPL_a,5,SUP.A,RY.A,SUP.A,RY.A,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1020562?gameHash=394dd090b3d83c8d&tab=overview,https://youtu.be/3xb5U69Ta6c?t=379,https://www.youtube.com/watch?v=iDzcC8ltlIQ,https://youtu.be/3xb5U69Ta6c?t=1,1.0
2019.0,summer,TPL_a,5,BJK.A,GAL.A,BJK.A,GAL.A,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1020569?gameHash=2ebd6ffa28c5fade&tab=overview,https://youtu.be/2UE1-MSp4IU?t=401,https://www.youtube.com/watch?v=pSmnglhTw-o,https://youtu.be/2UE1-MSp4IU?t=1,1.0
2019.0,summer,TPL_a,5,FB.A,BS.A,FB.A,BS.A,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1020579?gameHash=0d528ec5c73f56be&tab=overview,https://youtu.be/mNWCIpFgfqU?t=456,https://www.youtube.com/watch?v=s15Ovc7jiVg,https://youtu.be/mNWCIpFgfqU?t=1,1.0
2019.0,summer,TPL_a,5,DP.A,GS.A,DP.A,GS.A,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1020586?gameHash=11afb1222c5cabbf&tab=overview,https://youtu.be/f3nkEKZgwSo?t=428,https://www.youtube.com/watch?v=WPYE813XZuY,https://youtu.be/f3nkEKZgwSo?t=1,1.0
2019.0,summer,TPL_a,5,IWC.A,SUP.A,SUP.A,IWC.A,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1030632?gameHash=48adeedf41f835a6&tab=overview,https://youtu.be/7y7ehIFymBs?t=468,https://www.youtube.com/watch?v=A_BP_DrVEBQ,https://youtu.be/7y7ehIFymBs?t=1,1.0
2019.0,summer,TPL_a,5,GAL.A,BS.A,GAL.A,BS.A,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1030638?gameHash=8a5e6dfea659c5d6&tab=overview,https://youtu.be/Uq3aw8vcuhU?t=398,https://www.youtube.com/watch?v=0mJGhEy6vOA,https://youtu.be/Uq3aw8vcuhU?t=1,1.0
2019.0,summer,TPL_a,5,DP.A,AUR.A,DP.A,AUR.A,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1030643?gameHash=83d1bbf11daf402d&tab=overview,https://youtu.be/9uF5uF49QrI?t=406,https://www.youtube.com/watch?v=jrI-E0mv_Zw,https://youtu.be/9uF5uF49QrI?t=1,1.0
2019.0,summer,TPL_a,5,GS.A,BJK.A,BJK.A,GS.A,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1030660?gameHash=aed4e341f163a04b&tab=overview,https://youtu.be/RFnnG5sDxTM?t=442,https://www.youtube.com/watch?v=Eo_77WNpQik,https://youtu.be/RFnnG5sDxTM?t=1,1.0
2019.0,summer,TPL_a,5,RY.A,FB.A,FB.A,RY.A,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1030666?gameHash=2abfc6b8b7a446f6&tab=overview,https://youtu.be/_KvgmbnByV4?t=507,https://www.youtube.com/watch?v=XFjbGEtTYs0,https://youtu.be/_KvgmbnByV4?t=1,1.0
2019.0,summer,TPL_a,6,BS.A,GS.A,,,,,,,1.0
2019.0,summer,TPL_a,6,RY.A,IWC.A,IWC.A,RY.A,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1021214?gameHash=b759b31ea47c7a04&tab=overview,https://youtu.be/OVNfUlzgoyk?t=473,https://www.youtube.com/watch?v=qilXT4x8tv8,https://youtu.be/OVNfUlzgoyk?t=1,1.0
2019.0,summer,TPL_a,6,BJK.A,AUR.A,BJK.A,AUR.A,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1021219?gameHash=fdc11c362a4cb684&tab=overview,https://youtu.be/sVGzftanhLw?t=402,https://www.youtube.com/watch?v=4L89m-l63m0,https://youtu.be/sVGzftanhLw?t=1,1.0
2019.0,summer,TPL_a,6,SUP.A,DP.A,DP.A,SUP.A,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1021226?gameHash=35a50c9f8946afb2&tab=overview,https://youtu.be/IMBEkPJONh8?t=470,https://www.youtube.com/watch?v=zATK2HdCFQY,https://youtu.be/IMBEkPJONh8?t=1,1.0
2019.0,summer,TPL_a,6,FB.A,GAL.A,GAL.A,FB.A,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1021230?gameHash=b3c04b0edf3daaae&tab=overview,https://youtu.be/_aehav772Go?t=411,https://www.youtube.com/watch?v=6ppT6zj9BI8,https://youtu.be/_aehav772Go?t=1,1.0
2019.0,summer,TPL_a,6,DP.A,RY.A,RY.A,DP.A,https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1031166?gameHash=ef8e131fb9d970fa&tab=overview,https://youtu.be/djQ9yl1zYQk?t=406,https://www.youtube.com/watch?v=S6QLEXg0cPM,https://youtu.be/djQ9yl1zYQk?t=1,1.0
2019.0,summer,TPL_a,6,BJK.A,SUP.A,BJK.A,SUP.A,https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1031175?gameHash=41a8f67f0f00ef52&tab=overview,https://youtu.be/secUBqkQzX8?t=400,https://www.youtube.com/watch?v=UhPiwBtkT_4,https://youtu.be/secUBqkQzX8?t=1,1.0
2019.0,summer,TPL_a,6,GS.A,GAL.A,GAL.A,GS.A,https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1031199?gameHash=375dd033581544e8&tab=overview,https://youtu.be/eYVcSIdvqd4?t=447,https://www.youtube.com/watch?v=3E5mnS4DPtc,https://youtu.be/eYVcSIdvqd4?t=1,1.0
2019.0,summer,TPL_a,6,IWC.A,FB.A,FB.A,IWC.A,https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1031202?gameHash=ac531128cc203b6f&tab=overview,https://youtu.be/yRc70tTxoBY?t=428,https://www.youtube.com/watch?v=N4eLJVJu4Xo,https://youtu.be/yRc70tTxoBY?t=1,1.0
