year,season,league_name,week,team_1,team_2,Blue,Red,MH,Start,Post,PB,set_number
2020.0,spring,LCS_a,3,CLG.A,IMT.A,CLG.A,IMT.A,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT04/1130793?gameHash=a3f6e45612b56302,https://youtu.be/VdEHffFRhj4?t=1103,https://youtu.be/VdEHffFRhj4?t=3139,https://youtu.be/VdEHffFRhj4?t=660,1.0
2020.0,spring,LCS_a,3,FLY.A,EG.A,FLY.A,EG.A,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1295356?gameHash=731afc76037bd245,https://youtu.be/E6ipTCM_VvA?t=592,https://youtu.be/E6ipTCM_VvA?t=2715,https://youtu.be/E6ipTCM_VvA?t=174,1.0
2020.0,spring,LCS_a,3,TL.A,GG.A,TL.A,GG.A,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1295369?gameHash=e743122ca08b77d8,https://youtu.be/E_8qcmfGs9A?t=871,https://youtu.be/E_8qcmfGs9A?t=3653,https://youtu.be/E_8qcmfGs9A?t=374,1.0
2020.0,spring,LCS_a,4,100.A,DIG.A,DIG.A,100.A,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1281030?gameHash=8e5be7948a5e4de1&tab=overview,https://www.youtube.com/watch?v=p0ksduXf8iY,,,1.0
2020.0,spring,LCS_a,4,GG.A,CLG.A,GG.A,CLG.A,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1291045?gameHash=04eac360215a3464,https://youtu.be/XQV1Jimm66E?t=383,,,1.0
2020.0,spring,LCS_a,4,TSM.A,FLY.A,TSM.A,FLY.A,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1281070?gameHash=b0409e5a2bd48a08&tab=overview,https://www.youtube.com/watch?v=F2CSCmOEejI,,,1.0
2020.0,spring,LCS_a,4,EG.A,C9.A,EG.A,C9.A,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1291071?gameHash=55baa1c9bd8a8142&tab=overview,https://www.youtube.com/watch?v=5vfVq7lgtdE,,,1.0
2020.0,spring,LCS_a,4,TL.A,IMT.A,TL.A,IMT.A,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1291091?gameHash=1d78c6cbe3521ce2&tab=overview,https://youtu.be/6m_cnLOuCHE?t=106,https://youtu.be/6m_cnLOuCHE?t=2086,,1.0
2020.0,spring,LCS_a,4,C9.A,TSM.A,TSM.A,C9.A,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1281338?gameHash=3df53c34849039b5&tab=overview,https://youtu.be/uYJNYwp2K-s?t=561,https://youtu.be/uYJNYwp2K-s?t=2946,https://youtu.be/uYJNYwp2K-s?t=98,1.0
2020.0,spring,LCS_a,4,FLY.A,100.A,FLY.A,100.A,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1281625?gameHash=4f6ce49ba4a65a8e&tab=overview,https://youtu.be/OOofc0bz0JI?t=516,https://youtu.be/OOofc0bz0JI?t=2119,https://youtu.be/OOofc0bz0JI?t=84,1.0
2020.0,spring,LCS_a,4,IMT.A,EG.A,EG.A,IMT.A,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1291892?gameHash=3db819973ff16a0d&tab=overview,https://youtu.be/Ciqt72hdcAw?t=224,https://youtu.be/Ciqt72hdcAw?t=1901,,1.0
2020.0,spring,LCS_a,4,DIG.A,GG.A,DIG.A,GG.A,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1291908?gameHash=ceb27fe315c324b0,https://youtu.be/yrqLgOmaKro?t=776,https://youtu.be/yrqLgOmaKro?t=2617,https://youtu.be/yrqLgOmaKro?t=379,1.0
2020.0,spring,LCS_a,4,CLG.A,TL.A,CLG.A,TL.A,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1291926?gameHash=2820c76e459af78e&tab=overview,https://youtu.be/Q9q_nd5SvE8?t=845,https://youtu.be/Q9q_nd5SvE8?t=3803,https://youtu.be/Q9q_nd5SvE8?t=362,1.0
