year,season,league_name,week,team_1,team_2,MVP,Blue,Red,MH,Vod,set_number
2020.0,spring,Challengers Korea,1,BRB,SRB,Wizer,BRB,SRB,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT04/1130488?gameHash=411522a3de69bb79&tab=overview,http://vod.afreecatv.com/PLAYER/STATION/52719320,1.0
2020.0,spring,Challengers Korea,1,,,,SRB,BRB,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT04/1130489?gameHash=51c4c81c13a484c7,http://vod.afreecatv.com/PLAYER/STATION/52720713,2.0
2020.0,spring,Challengers Korea,1,,,,BRB,SRB,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT04/1130496?gameHash=9575986535e4f4c2,http://vod.afreecatv.com/PLAYER/STATION/52722242,3.0
2020.0,spring,Challengers Korea,1,OZ,DYN,Rich,OZ,DYN,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT04/1120557?gameHash=f5bec07774ed5a5e,http://vod.afreecatv.com/PLAYER/STATION/52724236,1.0
2020.0,spring,Challengers Korea,1,,,,DYN,OZ,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT04/1130515?gameHash=548d7e528ef1f81e,http://vod.afreecatv.com/PLAYER/STATION/52725706,2.0
2020.0,spring,Challengers Korea,1,EM,JAG,TaNa,EM,JAG,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1293765?gameHash=53412e36eb2eab86,http://vod.afreecatv.com/PLAYER/STATION/52752243,1.0
2020.0,spring,Challengers Korea,1,,,,JAG,EM,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1293812?gameHash=48d825f1bb110b55,http://vod.afreecatv.com/PLAYER/STATION/52753662,2.0
2020.0,spring,Challengers Korea,1,ASR,SPG,Jaguar,ASR,SPG,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1293850?gameHash=0a29fdee10ed35d0,http://vod.afreecatv.com/PLAYER/STATION/52755351,1.0
2020.0,spring,Challengers Korea,1,,,,SPG,ASR,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1293897?gameHash=77ccf507e1eaa05c&tab=overview,http://vod.afreecatv.com/PLAYER/STATION/52756462,2.0
2020.0,spring,Challengers Korea,1,,,,ASR,SPG,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1293901?gameHash=f5fb660360f96ad6,http://vod.afreecatv.com/PLAYER/STATION/52758073,3.0
2020.0,spring,Challengers Korea,1,SRB,OZ,Nova,SRB,OZ,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1304884?gameHash=29e8f7f002108b46,http://vod.afreecatv.com/PLAYER/STATION/52855615,1.0
2020.0,spring,Challengers Korea,1,,,,OZ,SRB,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1304889?gameHash=7774d22665d9526d,http://vod.afreecatv.com/PLAYER/STATION/52857197,2.0
2020.0,spring,Challengers Korea,1,DYN,SPG,Winter,DYN,SPG,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1304894?gameHash=bac5c580914f7aaa,http://vod.afreecatv.com/PLAYER/STATION/52860021,1.0
2020.0,spring,Challengers Korea,1,,,,SPG,DYN,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1304928?gameHash=b8b029b3d4002fbc,http://vod.afreecatv.com/PLAYER/STATION/52862789,2.0
2020.0,spring,Challengers Korea,2,DYN,ASR,Kuzan,DYN,ASR,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1296009?gameHash=c6689c2fced51646,http://vod.afreecatv.com/PLAYER/STATION/52954950,1.0
2020.0,spring,Challengers Korea,2,,,,ASR,DYN,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1296022?gameHash=a135bfd265f337bc,http://vod.afreecatv.com/PLAYER/STATION/52956162,2.0
2020.0,spring,Challengers Korea,2,,,,DYN,ASR,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1296032?gameHash=b2740983af0ce56a,http://vod.afreecatv.com/PLAYER/STATION/52957510,3.0
2020.0,spring,Challengers Korea,2,EM,BRB,Doil,EM,BRB,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1296062?gameHash=37be531f84684144,http://vod.afreecatv.com/PLAYER/STATION/52959882,1.0
2020.0,spring,Challengers Korea,2,,,,BRB,EM,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1296088?gameHash=785a79598dfcd6cd,http://vod.afreecatv.com/PLAYER/STATION/52961627,2.0
2020.0,spring,Challengers Korea,2,,,,EM,BRB,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1296099?gameHash=6e4a37e32855b724,http://vod.afreecatv.com/PLAYER/STATION/52963501,3.0
2020.0,spring,Challengers Korea,2,JAG,OZ,Yaharong,JAG,OZ,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1306036?gameHash=39eb2dd9e1156f31,http://vod.afreecatv.com/PLAYER/STATION/52990416,1.0
2020.0,spring,Challengers Korea,2,,,,OZ,JAG,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1296291?gameHash=fdc59a92ccf08c84,http://vod.afreecatv.com/PLAYER/STATION/52991778,2.0
2020.0,spring,Challengers Korea,2,SPG,SRB,Thal,SPG,SRB,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1296303?gameHash=bf5b2a1326caed06,http://vod.afreecatv.com/PLAYER/STATION/52994235,1.0
2020.0,spring,Challengers Korea,2,,,,SRB,SPG,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1306110?gameHash=eebfb1d57eafc857,http://vod.afreecatv.com/PLAYER/STATION/52995433,2.0
2020.0,spring,Challengers Korea,2,,,,SPG,SRB,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1296344?gameHash=2382b2bb8e78d09f,http://vod.afreecatv.com/PLAYER/STATION/52997146,3.0
2020.0,spring,Challengers Korea,2,BRB,DYN,Feiz,BRB,DYN,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1306601?gameHash=1d8e917b1b4e668f,http://vod.afreecatv.com/PLAYER/STATION/53095322,1.0
2020.0,spring,Challengers Korea,2,,,,DYN,BRB,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1306604?gameHash=09a79a971df9a4fc,http://vod.afreecatv.com/PLAYER/STATION/53096707,2.0
2020.0,spring,Challengers Korea,2,,,,BRB,DYN,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1306606?gameHash=71a90bb34af72c1b,http://vod.afreecatv.com/PLAYER/STATION/53098225,3.0
2020.0,spring,Challengers Korea,2,SPG,EM,Scarlet,SPG,EM,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1306616?gameHash=c1c2b3822bc84c7d,http://vod.afreecatv.com/PLAYER/STATION/53101320,1.0
2020.0,spring,Challengers Korea,2,,,,EM,SPG,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1306625?gameHash=e3fde1654982fe9a,http://vod.afreecatv.com/PLAYER/STATION/53103289,2.0
2020.0,spring,Challengers Korea,2,,,,SPG,EM,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1306626?gameHash=961dc18db0dedf93,http://vod.afreecatv.com/PLAYER/STATION/53106467,3.0
2020.0,spring,Challengers Korea,3,JAG,DYN,GuGer,JAG,DYN,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1293082?gameHash=f1b83eea2c5f4734,http://vod.afreecatv.com/PLAYER/STATION/53192711,1.0
2020.0,spring,Challengers Korea,3,,,,DYN,JAG,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1293098?gameHash=1af9de59ce42eafb,http://vod.afreecatv.com/PLAYER/STATION/53193883,2.0
2020.0,spring,Challengers Korea,3,ASR,BRB,Doil,ASR,BRB,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1293131?gameHash=0b108c453e699a84,http://vod.afreecatv.com/PLAYER/STATION/53195622,1.0
2020.0,spring,Challengers Korea,3,,,,BRB,ASR,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1293141?gameHash=525482d4161a3085,http://vod.afreecatv.com/PLAYER/STATION/53197076,2.0
2020.0,spring,Challengers Korea,3,OZ,SPG,Destroy,OZ,SPG,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1283653?gameHash=1e346dfd164249d0,http://vod.afreecatv.com/PLAYER/STATION/53227991,1.0
2020.0,spring,Challengers Korea,3,,,,SPG,OZ,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1283670?gameHash=c5f18937b2317d06,http://vod.afreecatv.com/PLAYER/STATION/53229229,2.0
2020.0,spring,Challengers Korea,3,,,,OZ,SPG,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1283698?gameHash=62345fe201e8cc0e,http://vod.afreecatv.com/PLAYER/STATION/53231101,3.0
2020.0,spring,Challengers Korea,3,SRB,EM,Sangyoon,SRB,EM,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1283735?gameHash=8c690921c2aaa76c,http://vod.afreecatv.com/PLAYER/STATION/53233826,1.0
2020.0,spring,Challengers Korea,3,,,,EM,SRB,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1283754?gameHash=a91655ad69896e5b,http://vod.afreecatv.com/PLAYER/STATION/53235400,2.0
2020.0,spring,Challengers Korea,3,,,,SRB,EM,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1283764?gameHash=9096035da59246f8,http://vod.afreecatv.com/PLAYER/STATION/53237244,3.0
2020.0,spring,Challengers Korea,3,ASR,EM,Slugger,ASR,EM,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1285073?gameHash=b0adf803cc2b2c15,http://vod.afreecatv.com/PLAYER/STATION/53337315,1.0
2020.0,spring,Challengers Korea,3,,,,EM,ASR,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1295100?gameHash=1514654b31156583,http://vod.afreecatv.com/PLAYER/STATION/53339140,2.0
2020.0,spring,Challengers Korea,3,SRB,JAG,Sangyoon,SRB,JAG,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1295106?gameHash=2548f6f4879a49ce,http://vod.afreecatv.com/PLAYER/STATION/53341593,1.0
2020.0,spring,Challengers Korea,3,,,,JAG,SRB,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1295138?gameHash=92050dadeb08901e,http://vod.afreecatv.com/PLAYER/STATION/53344543,2.0
2020.0,spring,Challengers Korea,4,BRB,SPG,Jaguar,BRB,SPG,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1296115?gameHash=b5719955acf9961a,http://vod.afreecatv.com/PLAYER/STATION/53444348,1.0
2020.0,spring,Challengers Korea,4,,,,SPG,BRB,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1296131?gameHash=65a767fcfe1b4bf1,http://vod.afreecatv.com/PLAYER/STATION/53445648,2.0
2020.0,spring,Challengers Korea,4,,,,BRB,SPG,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1296150?gameHash=84dea0ad7a16b09a,http://vod.afreecatv.com/PLAYER/STATION/53447140,3.0
2020.0,spring,Challengers Korea,4,JAG,ASR,Roi,JAG,ASR,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1296210?gameHash=3e42a7eeb67ca7ec,http://vod.afreecatv.com/PLAYER/STATION/53449642,1.0
