year,season,league_name,week,team_1,team_2,Blue,Red,MH,PB,Start,HL,MVP,Post,set_number
2019.0,summer,TCL,6,GS,BJK,GS,BJK,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1020989?gameHash=ea5cd9e8f236ee74,https://www.youtube.com/watch?v=EbL_5QjOiUI,https://youtu.be/EbL_5QjOiUI?t=647,https://www.youtube.com/watch?v=sSlwX790QH0,HolyPhoenix,https://youtu.be/EbL_5QjOiUI?t=2951,1.0
2019.0,summer,TCL,6,RYL,FB,FB,RYL,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1021004?gameHash=45e6164b435fd264,https://www.youtube.com/watch?v=4K5F_ahJv90,https://youtu.be/4K5F_ahJv90?t=478,https://www.youtube.com/watch?v=ckiW-6eNJsU,Closer,https://youtu.be/4K5F_ahJv90?t=2595,1.0
2019.0,summer,TCL,7,BUR,GS,GS,BUR,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1031249?gameHash=c3d734879481f0a1,https://www.youtube.com/watch?v=pYdBG0YIGPk,https://youtu.be/pYdBG0YIGPk?t=626,https://www.youtube.com/watch?v=d3SzVvhj8ko,Ragner,,1.0
2019.0,summer,TCL,7,RYL,IW,RYL,IW,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1031270?gameHash=f34f7846beddc6c0,https://www.youtube.com/watch?v=TuDtcaAgrkg,https://youtu.be/TuDtcaAgrkg?t=676,https://www.youtube.com/watch?v=K_K60-BuayM,StarScreen,,1.0
2019.0,summer,TCL,7,BJK,AUR,BJK,AUR,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1031280?gameHash=eee63e3a43463c9a,https://www.youtube.com/watch?v=gDEOELMMbIQ,https://youtu.be/gDEOELMMbIQ?t=429,https://www.youtube.com/watch?v=ctdbbd2GzNA,Madly,,1.0
2019.0,summer,TCL,7,SUP,DP,SUP,DP,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1031302?gameHash=7d47012f8aff9264,https://www.youtube.com/watch?v=dmAMfVZpkH4,https://youtu.be/dmAMfVZpkH4?t=470,https://www.youtube.com/watch?v=bhN4eGO2zv8,Stomaged,,1.0
2019.0,summer,TCL,7,FB,GAL,GAL,FB,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1031337?gameHash=e52563fc2d78a84b,https://www.youtube.com/watch?v=Jq4g7qNrVn4,https://youtu.be/Jq4g7qNrVn4?t=477,https://www.youtube.com/watch?v=VCE66wu2_us,Untara,,1.0
2019.0,summer,TCL,7,DP,RYL,RYL,DP,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1031409?gameHash=6616c6f098b877f3,https://www.youtube.com/watch?v=DstZrjvpllo,https://youtu.be/DstZrjvpllo?t=369,https://www.youtube.com/watch?v=qSPBcRCh6WA,Pilot,,1.0
2019.0,summer,TCL,7,BJK,SUP,BJK,SUP,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1031419?gameHash=0bfdbdce04c1dc57,https://www.youtube.com/watch?v=_UIG3OJyRZQ,https://youtu.be/_UIG3OJyRZQ?t=480,https://www.youtube.com/watch?v=12EykYp1CWA,Wolf,,1.0
2019.0,summer,TCL,7,GS,GAL,GAL,GS,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1031434?gameHash=ada2e517e76d42fb,https://www.youtube.com/watch?v=JEyCG1jwQnM,https://youtu.be/JEyCG1jwQnM?t=459,https://www.youtube.com/watch?v=oVxruPSMm3w,Ragner,,1.0
