year,season,league_name,week,team_1,team_2,Blue,Red,MH,Start,MVP,PB,set_number
2020.0,spring,PCS,4,ALF,LYB,ALF,LYB,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1314223?gameHash=07c3bcc20ddb5547&tab=overview,https://www.youtube.com/watch?v=evE21FnGsBg&t=37m05s,Catjug,https://www.youtube.com/watch?v=evE21FnGsBg&t=30m33s,1.0
2020.0,spring,PCS,4,BJD,ahq,ahq,BJD,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1314233?gameHash=e7dd1c68ce2b981d&tab=overview,https://www.youtube.com/watch?v=evE21FnGsBg&t=1h40m33s,Kongyue,https://www.youtube.com/watch?v=evE21FnGsBg&t=1h34m06s,1.0
2020.0,spring,PCS,4,MCX,RSG,MCX,RSG,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1314259?gameHash=ec10bbde516752e6&tab=overview,https://www.youtube.com/watch?v=evE21FnGsBg&t=2h58m47s,PK,https://www.youtube.com/watch?v=evE21FnGsBg&t=2h38m31s,1.0
2020.0,spring,PCS,4,TLN,JT,JT,TLN,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1314267?gameHash=84869e73291f579a&tab=overview,https://www.youtube.com/watch?v=evE21FnGsBg&t=4h00m51s,Nestea,https://www.youtube.com/watch?v=evE21FnGsBg&t=3h53m43s,1.0
2020.0,spring,PCS,4,RSG,HKA,HKA,RSG,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1314288?gameHash=f48979cf4aaa1d6a&tab=overview,https://www.youtube.com/watch?v=evE21FnGsBg&t=5h08m08s,JimieN,https://www.youtube.com/watch?v=evE21FnGsBg&t=5h01m56s,1.0
2020.0,spring,PCS,4,NOV,TLN,NOV,TLN,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1314325?gameHash=cc2826b6088e57fb&tab=overview,https://www.youtube.com/watch?v=evE21FnGsBg&t=6h09m33s,Unified,https://www.youtube.com/watch?v=evE21FnGsBg&t=6h02m20s,1.0
2020.0,spring,PCS,4,LYB,JT,JT,LYB,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1314349?gameHash=092486c47a984d0e&tab=overview,https://www.youtube.com/watch?v=evE21FnGsBg&t=7h21m35s,Hana,https://www.youtube.com/watch?v=evE21FnGsBg&t=7h11m57s,1.0
2020.0,spring,PCS,5,NOV,HKA,HKA,NOV,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1320926?gameHash=33609e8e6f249d39,https://www.youtube.com/watch?v=ZOo-t8qUXo4&t=44m11s,Ryan,https://www.youtube.com/watch?v=ZOo-t8qUXo4&t=38m22s,1.0
2020.0,spring,PCS,5,ALF,MCX,ALF,MCX,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1320932?gameHash=2a8faa95504e16ba,https://www.youtube.com/watch?v=ZOo-t8qUXo4&t=1h54m14s,Mission,https://www.youtube.com/watch?v=ZOo-t8qUXo4&t=1h45m26s,1.0
2020.0,spring,PCS,5,JT,RSG,JT,RSG,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1320939?gameHash=e3780516a39ef2c1,https://www.youtube.com/watch?v=ZOo-t8qUXo4&t=2h57m42s,Raven,https://www.youtube.com/watch?v=ZOo-t8qUXo4&t=2h50m34s,1.0
