year,season,league_name,week,team_1,team_2,Blue,Red,MH,PB,Start,HL,MVP,set_number
2018.0,spring,LEC,5,UOL,GIA,UOL,GIA,https://matchhistory.euw.leagueoflegends.com/en/#match-details/TRLH3/1002420054?gameHash=964e9ea8ec2b355e,https://www.youtube.com/watch?v=EyOfgGKaN8Y#t=11m31s,https://www.youtube.com/watch?v=EyOfgGKaN8Y#t=19m40s,https://www.youtube.com/watch?v=8LgnMMso0w0,Exileh,1.0
2018.0,spring,LEC,5,VIT,H2K,VIT,H2K,https://matchhistory.euw.leagueoflegends.com/en/#match-details/TRLH3/1002420066?gameHash=bc6a90d73f034f54,https://www.youtube.com/watch?v=1IuPDHeAANc#t=6m25s,https://www.youtube.com/watch?v=1IuPDHeAANc#t=13m16s,https://www.youtube.com/watch?v=dLJzvOeKS3k,,1.0
2018.0,spring,LEC,5,S04,ROC,S04,ROC,https://matchhistory.euw.leagueoflegends.com/en/#match-details/TRLH3/1002420073?gameHash=6d17944673917044,https://www.youtube.com/watch?v=I-Rt0s2AP_Y#t=8m3s,https://www.youtube.com/watch?v=I-Rt0s2AP_Y#t=15m22s,https://www.youtube.com/watch?v=WCrC7ToMAeQ,Profit,1.0
2018.0,spring,LEC,5,MSF,G2,MSF,G2,https://matchhistory.euw.leagueoflegends.com/en/#match-details/TRLH3/1002420080?gameHash=54633e2aeff8f1ce,https://www.youtube.com/watch?v=OwnmuvszlZw#t=8m21s,https://www.youtube.com/watch?v=OwnmuvszlZw#t=14m52s,https://www.youtube.com/watch?v=EI5oilICyUM,Perkz,1.0
2018.0,spring,LEC,5,FNC,SPY,FNC,SPY,https://matchhistory.euw.leagueoflegends.com/en/#match-details/TRLH3/1002420088?gameHash=397de32c322f352f,https://www.youtube.com/watch?v=JAPp_AS-mEM#t=9m14s,https://www.youtube.com/watch?v=JAPp_AS-mEM#t=16m43s,https://www.youtube.com/watch?v=y6_slL309sg,,1.0
2018.0,spring,LEC,6,SPY,UOL,SPY,UOL,https://matchhistory.euw.leagueoflegends.com/en/#match-details/TRLH3/1002410185?gameHash=34b6319b569cf7cf,https://www.youtube.com/watch?v=kht_0Cz6DpM#t=12m27s,https://www.youtube.com/watch?v=kht_0Cz6DpM#t=20m15s,https://www.youtube.com/watch?v=clQVY_iMQEE,,1.0
2018.0,spring,LEC,6,ROC,G2,ROC,G2,https://matchhistory.euw.leagueoflegends.com/en/#match-details/TRLH3/1002410197?gameHash=5f20ad2d3d7bd528,https://www.youtube.com/watch?v=gTnzoVccRf4#t=6m21s,https://www.youtube.com/watch?v=gTnzoVccRf4#t=12m47s,https://www.youtube.com/watch?v=fM3vZHObFCc,,1.0
2018.0,spring,LEC,6,FNC,H2K,FNC,H2K,https://matchhistory.euw.leagueoflegends.com/en/#match-details/TRLH3/1002410205?gameHash=fecc301f24ce6c01,https://www.youtube.com/watch?v=RF7UKN-Zeyc#t=8m5s,https://www.youtube.com/watch?v=RF7UKN-Zeyc#t=13m31s,https://www.youtube.com/watch?v=0btRxbv2aNI,,1.0
2018.0,spring,LEC,6,VIT,GIA,VIT,GIA,https://matchhistory.euw.leagueoflegends.com/en/#match-details/TRLH3/1002410216?gameHash=f297302358545209,https://www.youtube.com/watch?v=c9T7EfZfzUM#t=7m23s,https://www.youtube.com/watch?v=c9T7EfZfzUM#t=14m12s,https://www.youtube.com/watch?v=h-Hvon3T2VM,Ruin,1.0
2018.0,spring,LEC,6,S04,MSF,S04,MSF,https://matchhistory.euw.leagueoflegends.com/en/#match-details/TRLH3/1002410225?gameHash=eac350cf8c974145,https://www.youtube.com/watch?v=RVA6p4OTjjs#t=12m55s,https://www.youtube.com/watch?v=RVA6p4OTjjs#t=20m14s,https://www.youtube.com/watch?v=HmNIk0J23To,Upset,1.0
2018.0,spring,LEC,6,UOL,ROC,UOL,ROC,https://matchhistory.euw.leagueoflegends.com/en/#match-details/TRLH3/1002410242?gameHash=49f868767acafffe,https://www.youtube.com/watch?v=QbA2ospODxc#t=14m42s,https://www.youtube.com/watch?v=QbA2ospODxc#t=22m8s,https://www.youtube.com/watch?v=3OyeKcennHk,Exileh,1.0
2018.0,spring,LEC,6,H2K,GIA,H2K,GIA,https://matchhistory.euw.leagueoflegends.com/en/#match-details/TRLH3/1002410253?gameHash=d6cdafae31152841,https://www.youtube.com/watch?v=Q9bxrkTlppc#t=8m2s,https://www.youtube.com/watch?v=Q9bxrkTlppc#t=15m67s,https://www.youtube.com/watch?v=TCklXaYu0kM,Sheriff,1.0
2018.0,spring,LEC,6,SPY,S04,SPY,S04,https://matchhistory.euw.leagueoflegends.com/en/#match-details/TRLH3/1002410261?gameHash=fda97785ef838eac,https://www.youtube.com/watch?v=fWGGYtp_6xM#t=7m44s,https://www.youtube.com/watch?v=fWGGYtp_6xM#t=15m12s,https://www.youtube.com/watch?v=eIPiIokxMvY,,1.0
2018.0,spring,LEC,6,G2,FNC,G2,FNC,https://matchhistory.euw.leagueoflegends.com/en/#match-details/TRLH3/1002410269?gameHash=5d4c65c4a6099dd9,https://www.youtube.com/watch?v=xrZqdKzgIw4#t=6m2s,https://www.youtube.com/watch?v=xrZqdKzgIw4#t=12m40s,https://www.youtube.com/watch?v=EzVZFWEmX5s,Rekkles,1.0
2018.0,spring,LEC,6,MSF,VIT,MSF,VIT,https://matchhistory.euw.leagueoflegends.com/en/#match-details/TRLH3/1002410277?gameHash=6c6dd5c855d33625,https://www.youtube.com/watch?v=jFc1hBJHsV0#t=8m17s,https://www.youtube.com/watch?v=jFc1hBJHsV0#t=16m22s,https://www.youtube.com/watch?v=-VimDArKK1U,,1.0
2018.0,spring,LEC,7,ROC,GIA,ROC,GIA,https://matchhistory.euw.leagueoflegends.com/en/#match-details/TRLH3/1002430023?gameHash=068eec3bf571a2d8,https://www.youtube.com/watch?v=SivcFN20j-8#t=11m44s,https://www.youtube.com/watch?v=SivcFN20j-8#t=22m14s,https://www.youtube.com/watch?v=uY5lUhj-qFU,,1.0
2018.0,spring,LEC,7,UOL,H2K,UOL,H2K,https://matchhistory.euw.leagueoflegends.com/en/#match-details/TRLH3/1002430035?gameHash=b90e3ef1ed2cd2b2,https://www.youtube.com/watch?v=RS58NlLHcrw#t=6m49s,https://www.youtube.com/watch?v=RS58NlLHcrw#t=14m20s,https://www.youtube.com/watch?v=UcJFrxSBArk,Samux,1.0
2018.0,spring,LEC,7,SPY,G2,SPY,G2,https://matchhistory.euw.leagueoflegends.com/en/#match-details/TRLH3/1002430043?gameHash=e618a0db0b680269,https://www.youtube.com/watch?v=BfsDsKrHI1I#t=10m29s,https://www.youtube.com/watch?v=BfsDsKrHI1I#t=17m,https://www.youtube.com/watch?v=WrcaNNgG264,,1.0
2018.0,spring,LEC,7,S04,VIT,S04,VIT,https://matchhistory.euw.leagueoflegends.com/en/#match-details/TRLH3/1002430055?gameHash=b55965ddc7546e9c,https://www.youtube.com/watch?v=3jMNLyLf9IE#t=10m19s,https://www.youtube.com/watch?v=3jMNLyLf9IE#t=16m18s,https://www.youtube.com/watch?v=7JXCt7hTjNM,Minitroupax,1.0
2018.0,spring,LEC,7,MSF,FNC,MSF,FNC,https://matchhistory.euw.leagueoflegends.com/en/#match-details/TRLH3/1002430065?gameHash=ec4e93ae1371ebb3,https://www.youtube.com/watch?v=c0RTXhJ-pPQ#t=5m5s,https://www.youtube.com/watch?v=c0RTXhJ-pPQ#t=11m43s,https://www.youtube.com/watch?v=trUsEg6O2C0,Mikyx,1.0
2018.0,spring,LEC,7,ROC,SPY,ROC,SPY,https://matchhistory.euw.leagueoflegends.com/en/#match-details/TRLH3/1002430077?gameHash=1fe8fcb91561f825,https://www.youtube.com/watch?v=cAg6QmmS6Bg#t=13m11s,https://www.youtube.com/watch?v=cAg6QmmS6Bg#t=20m17s,https://www.youtube.com/watch?v=nQe7iyu7oTs&t=10s,Xerxe,1.0
2018.0,spring,LEC,7,UOL,S04,UOL,S04,https://matchhistory.euw.leagueoflegends.com/en/#match-details/TRLH3/1002430090?gameHash=e52d50a2c889772a,https://www.youtube.com/watch?v=Q9-pKV4Fx2M#t=6m25s,https://www.youtube.com/watch?v=Q9-pKV4Fx2M#t=14m7s,https://www.youtube.com/watch?v=RnCzZJhPhKw,Samux,1.0
2018.0,spring,LEC,7,H2K,MSF,H2K,MSF,https://matchhistory.euw.leagueoflegends.com/en/#match-details/TRLH3/1002430097?gameHash=8802d3c97171fd0c,https://www.youtube.com/watch?v=vUkaeWuNYy8#t=8m,https://www.youtube.com/watch?v=vUkaeWuNYy8#t=16m5s,https://www.youtube.com/watch?v=tqs2wjSuFY8,,1.0
2018.0,spring,LEC,7,FNC,VIT,FNC,VIT,https://matchhistory.euw.leagueoflegends.com/en/#match-details/TRLH3/1002430106?gameHash=4d2c6a5dc86fa26d,https://www.youtube.com/watch?v=3GAcIPOWidM#t=7m36s,https://www.youtube.com/watch?v=3GAcIPOWidM#t=14m3s,https://www.youtube.com/watch?v=EOMPAomijIU,Broxah,1.0
2018.0,spring,LEC,7,G2,GIA,G2,GIA,https://matchhistory.euw.leagueoflegends.com/en/#match-details/TRLH3/1002430118?gameHash=c89d193646e772b8,https://www.youtube.com/watch?v=XM8hdcj-HEU#t=3m13s,https://www.youtube.com/watch?v=XM8hdcj-HEU#t=10m15s,https://www.youtube.com/watch?v=wKIrgajLEcE,,1.0
2018.0,spring,LEC,8,UOL,VIT,UOL,VIT,https://matchhistory.euw.leagueoflegends.com/en/#match-details/TRLH3/1002440088?gameHash=3756b9bdb4d311b1,https://www.youtube.com/watch?v=S_bCN66-r9s#t=10m10s,https://www.youtube.com/watch?v=S_bCN66-r9s#t=21m,https://www.youtube.com/watch?v=f7R95fAwT_M,Minitroupax,1.0
2018.0,spring,LEC,8,GIA,S04,GIA,S04,https://matchhistory.euw.leagueoflegends.com/en/#match-details/TRLH3/1002440096?gameHash=9781611979436c90,https://www.youtube.com/watch?v=i2esrl1VSu4#t=9m8s,https://www.youtube.com/watch?v=i2esrl1VSu4#t=16m5s,https://www.youtube.com/watch?v=RWcEJcCpRDA,Upset,1.0
2018.0,spring,LEC,8,MSF,SPY,MSF,SPY,https://matchhistory.euw.leagueoflegends.com/en/#match-details/TRLH3/1002440102?gameHash=f5335def812a7a8f,https://www.youtube.com/watch?v=BlR9WrVF_dc#t=7m52s,https://www.youtube.com/watch?v=BlR9WrVF_dc#t=20m52s,https://www.youtube.com/watch?v=KD12dRZyb-8,,1.0
2018.0,spring,LEC,8,G2,H2K,G2,H2K,https://matchhistory.euw.leagueoflegends.com/en/#match-details/TRLH3/1002440110?gameHash=0437fe6c1cb2a654,https://www.youtube.com/watch?v=xD4WRZAqh4Y#t=5m18s,https://www.youtube.com/watch?v=xD4WRZAqh4Y#t=12m46s,https://www.youtube.com/watch?v=CMkIG0Ld7sI,Sheriff,1.0
2018.0,spring,LEC,8,FNC,ROC,FNC,ROC,https://matchhistory.euw.leagueoflegends.com/en/#match-details/TRLH3/1002440121?gameHash=8daacf1dd86d4a3b,https://www.youtube.com/watch?v=byw9YYi6Fak#t=6m45s,https://www.youtube.com/watch?v=byw9YYi6Fak#t=18m6s,https://www.youtube.com/watch?v=H900l_gdscU,Hylissang,1.0
2018.0,spring,LEC,8,GIA,MSF,GIA,MSF,https://matchhistory.euw.leagueoflegends.com/en/#match-details/TRLH3/1002430172?gameHash=8fda98153502e2e6,https://www.youtube.com/watch?v=V0reCQ8S8wk#t=15m,https://www.youtube.com/watch?v=V0reCQ8S8wk#t=22m3s,https://www.youtube.com/watch?v=Nck5L0MUrfc,,1.0
2018.0,spring,LEC,8,H2K,SPY,H2K,SPY,https://matchhistory.euw.leagueoflegends.com/en/#match-details/TRLH3/1002430189?gameHash=e9399550c70d196d,https://www.youtube.com/watch?v=6tcN0RW7ChY#t=9m29s,https://www.youtube.com/watch?v=6tcN0RW7ChY#t=17m45s,https://www.youtube.com/watch?v=QCzWwA7NFkE,Xerxe,1.0
2018.0,spring,LEC,8,ROC,VIT,ROC,VIT,https://matchhistory.euw.leagueoflegends.com/en/#match-details/TRLH3/1002430197?gameHash=b30f62dd1b07e29c,https://www.youtube.com/watch?v=x-eF2sUwFwA#t=7m12s,https://www.youtube.com/watch?v=x-eF2sUwFwA#t=14m47s,https://www.youtube.com/watch?v=653i83UPq-8,,1.0
2018.0,spring,LEC,8,FNC,UOL,FNC,UOL,https://matchhistory.euw.leagueoflegends.com/en/#match-details/TRLH3/1002430202?gameHash=159739e1cf9c7484,https://www.youtube.com/watch?v=rsHJOYs9MOI#t=5m9s,https://www.youtube.com/watch?v=rsHJOYs9MOI#t=12m42s,https://www.youtube.com/watch?v=uXkHJKMU9xU,Bwipo,1.0
2018.0,spring,LEC,8,S04,G2,S04,G2,https://matchhistory.euw.leagueoflegends.com/en/#match-details/TRLH3/1002430210?gameHash=6869586697eeefb6,https://www.youtube.com/watch?v=U9QQAuFMY_A#t=6m13s,https://www.youtube.com/watch?v=U9QQAuFMY_A#t=12m13s,https://www.youtube.com/watch?v=np5gIxUC5tM,,1.0
2018.0,spring,LEC,9,S04,H2K,S04,H2K,https://matchhistory.euw.leagueoflegends.com/en/#match-details/TRLH3/1002460019?gameHash=24eb03c66382d5aa,https://www.youtube.com/watch?v=GmoX5Nuwlm4#t=11m50s,https://www.youtube.com/watch?v=GmoX5Nuwlm4#t=19m,https://www.youtube.com/watch?v=5y4nDjBvdD0,promisq,1.0
2018.0,spring,LEC,9,MSF,ROC,MSF,ROC,https://matchhistory.euw.leagueoflegends.com/en/#match-details/TRLH3/1002450027?gameHash=66b5ff47f97f3686,https://www.youtube.com/watch?v=RKek9nWBCi4#t=9m18s,https://www.youtube.com/watch?v=RKek9nWBCi4#t=16m32s,https://www.youtube.com/watch?v=Aj0KHzahWEw,,1.0
2018.0,spring,LEC,9,VIT,SPY,VIT,SPY,https://matchhistory.euw.leagueoflegends.com/en/#match-details/TRLH3/1002450032?gameHash=8c5f3f0db5e58078,https://www.youtube.com/watch?v=gpQsqeHdEB0#t=4m19s,https://www.youtube.com/watch?v=gpQsqeHdEB0#t=11m34s,https://www.youtube.com/watch?v=yALmRx6KmtM,Minitroupax,1.0
2018.0,spring,LEC,9,FNC,GIA,FNC,GIA,https://matchhistory.euw.leagueoflegends.com/en/#match-details/TRLH3/1002450042?gameHash=981716354c5ead08,https://www.youtube.com/watch?v=mXhobDb7GuQ#t=4m48s,https://www.youtube.com/watch?v=mXhobDb7GuQ#t=12m13s,https://www.youtube.com/watch?v=NSwQOwF5eYw,Rekkles,1.0
2018.0,spring,LEC,9,UOL,G2,UOL,G2,https://matchhistory.euw.leagueoflegends.com/en/#match-details/TRLH3/1002450048?gameHash=212573df24fd8f69,https://www.youtube.com/watch?v=cQh7FBr5G9Y#t=9m49s,https://www.youtube.com/watch?v=cQh7FBr5G9Y#t=18m42s,https://www.youtube.com/watch?v=2p3WOIV9vEY,,1.0
2018.0,spring,LEC,9,GIA,SPY,GIA,SPY,https://matchhistory.euw.leagueoflegends.com/en/#match-details/TRLH3/1002460073?gameHash=ad7dd4c740409335,https://www.youtube.com/watch?v=2Mt4Itabgmo#t=15m,https://www.youtube.com/watch?v=2Mt4Itabgmo#t=24m15s,https://www.youtube.com/watch?v=hP7VINKKFuc,Xerxe,1.0
2018.0,spring,LEC,9,ROC,H2K,ROC,H2K,https://matchhistory.euw.leagueoflegends.com/en/#match-details/TRLH3/1002460082?gameHash=d3971258823f9383,https://www.youtube.com/watch?v=n8LwsGMCyos#t=8m44s,https://www.youtube.com/watch?v=n8LwsGMCyos#t=17m3s,https://www.youtube.com/watch?v=7hJ94JOasWs,,1.0
2018.0,spring,LEC,9,UOL,MSF,UOL,MSF,https://matchhistory.euw.leagueoflegends.com/en/#match-details/TRLH3/1002460089?gameHash=3fdf539dfa047e7e,https://www.youtube.com/watch?v=FmJD8wpxoBw#t=4m38s,https://www.youtube.com/watch?v=FmJD8wpxoBw#t=11m37s,https://www.youtube.com/watch?v=RNeABGpxKQY,,1.0
2018.0,spring,LEC,9,G2,VIT,G2,VIT,https://matchhistory.euw.leagueoflegends.com/en/#match-details/TRLH3/1002460098?gameHash=b2202fe338f737ef,https://www.youtube.com/watch?v=D1IG8wxPgE8#t=8m44s,https://www.youtube.com/watch?v=D1IG8wxPgE8#t=16m1s,https://www.youtube.com/watch?v=4E8zP9l0VAk,,1.0
2018.0,spring,LEC,9,FNC,S04,FNC,S04,https://matchhistory.euw.leagueoflegends.com/en/#match-details/TRLH3/1002450084?gameHash=c58df765732ebb46,https://www.youtube.com/watch?v=v6DCAiOQlbg#t=5m5s,https://www.youtube.com/watch?v=v6DCAiOQlbg#t=11m23s,https://www.youtube.com/watch?v=3B3IgIuMI94,,1.0
2018.0,spring,LEC,Tiebreakers,SPY,G2,SPY,G2,https://matchhistory.euw.leagueoflegends.com/en/#match-details/TRLH3/1002460113?gameHash=7e2c728f4a8c3bdc,https://www.youtube.com/watch?v=m_qLmERXE5U#t=13m20s,https://www.youtube.com/watch?v=m_qLmERXE5U#t=20m34s,https://www.youtube.com/watch?v=3FrmloW1SPA,,1.0
