year,season,league_name,week,team_1,team_2,Blue,Red,MH,PB,Start,Post,set_number
2019.0,summer,OPL,8,DW,ORD,DW,ORD,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1155681?gameHash=b9e4580720dbc74e&tab=overview,https://youtu.be/miSzXOz_n6A?t=537,https://youtu.be/miSzXOz_n6A?t=975,,1.0
2019.0,summer,OPL,8,CHF,GRV,CHF,GRV,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1155737?gameHash=f721e411ffd102a3&tab=overview,https://youtu.be/BX7I2J0Ebow?t=557,https://youtu.be/BX7I2J0Ebow?t=1086,,1.0
2019.0,summer,OPL,8,MMM,BMR,MMM,BMR,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1155789?gameHash=4e95c04e22d2df64&tab=overview,https://youtu.be/PlMMz2vbR6I?t=784,https://youtu.be/PlMMz2vbR6I?t=1265,,1.0
2019.0,summer,OPL,8,AV,LGC,AV,LGC,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1155818?gameHash=d1b10e9b63d3624c&tab=overview,https://youtu.be/ZyhNranl-pg?t=546,https://youtu.be/ZyhNranl-pg?t=962,,1.0
2019.0,summer,OPL,9,CHF,DW,CHF,DW,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1101565?gameHash=91e74f099e369223&tab=overview,https://youtu.be/YGNB0appdT0?t=460,https://youtu.be/YGNB0appdT0?t=897,,1.0
2019.0,summer,OPL,9,GRV,MMM,GRV,MMM,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1101579?gameHash=d10babfe9a6a8e12&tab=overview,https://youtu.be/p55f8qiYJvU?t=1189,https://youtu.be/p55f8qiYJvU?t=1675,,1.0
2019.0,summer,OPL,9,LGC,ORD,LGC,ORD,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1101597?gameHash=6b4299d05b542ca6&tab=overview,https://youtu.be/rLGoEbyt7xc?t=750,https://youtu.be/rLGoEbyt7xc?t=1117,,1.0
2019.0,summer,OPL,9,BMR,AV,BMR,AV,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1101635?gameHash=b18eef7486ac972b&tab=overview,https://youtu.be/SxHZLbdVErI?t=846,https://youtu.be/SxHZLbdVErI?t=1194,,1.0
2019.0,summer,OPL,9,CHF,AV,CHF,AV,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1101824?gameHash=29e4262c3838062a&tab=overview,https://youtu.be/Edy2Xt3eM6g?t=454,https://youtu.be/Edy2Xt3eM6g?t=1036,,1.0
2019.0,summer,OPL,9,DW,MMM,DW,MMM,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1101832?gameHash=fb32feba21b049b6&tab=overview,https://youtu.be/Vk--6Qu5cj8?t=622,https://youtu.be/Vk--6Qu5cj8?t=1052,,1.0
