year,season,league_name,week,team_1,team_2,Blue,Red,MH,PB,Start,Post,MVP,HL,set_number
2019.0,spring,CBLOL,5,FLA,UP,FLA,UP,https://matchhistory.br.leagueoflegends.com/pt/#match-details/ESPORTSTMNT01/1063234?gameHash=8d0a5acb123456af,https://youtu.be/cRXBg7txDtI?t=12,https://youtu.be/cRXBg7txDtI?t=472,https://youtu.be/cRXBg7txDtI?t=2383,Luci,https://www.youtube.com/watch?v=q08PORZm714,1.0
2019.0,spring,CBLOL,5,CNB,RDP,CNB,RDP,https://matchhistory.br.leagueoflegends.com/pt/#match-details/ESPORTSTMNT01/1063259?gameHash=3aeaf23cb3f85e27&tab=overview,https://youtu.be/eFkBcyMEA2o?t=12,https://youtu.be/eFkBcyMEA2o?t=429,https://youtu.be/eFkBcyMEA2o?t=2841,Aslan,https://www.youtube.com/watch?v=cUk0q7700R4,1.0
2019.0,spring,CBLOL,5,PRG,FLA,PRG,FLA,https://matchhistory.br.leagueoflegends.com/pt/#match-details/ESPORTSTMNT01/1053541?gameHash=6e55b3af47ae914d,https://www.youtube.com/watch?v=W3FBiFufid4&t=12s,https://www.youtube.com/watch?v=W3FBiFufid4&t=411s,https://youtu.be/W3FBiFufid4?t=2604,Goku,https://www.youtube.com/watch?v=QLwVYDvacGI,1.0
2019.0,spring,CBLOL,6,PRG,UP,PRG,UP,https://matchhistory.br.leagueoflegends.com/pt/#match-details/ESPORTSTMNT02/1012049?gameHash=469f82d402b27043,https://www.youtube.com/watch?v=Vc8IkxKXHj8&t=13s,https://www.youtube.com/watch?v=Vc8IkxKXHj8&t=391s,https://youtu.be/Vc8IkxKXHj8?t=2013,Wos,https://www.youtube.com/watch?v=e1R2vZmuhFk,1.0
2019.0,spring,CBLOL,6,KBM,CNB,KBM,CNB,https://matchhistory.br.leagueoflegends.com/pt/#match-details/ESPORTSTMNT02/1012056?gameHash=7e56c86a24c89109,https://www.youtube.com/watch?v=qJMQRshY6Gg&t=11s,https://www.youtube.com/watch?v=qJMQRshY6Gg&t=497s,https://youtu.be/qJMQRshY6Gg?t=3160,TitaN,https://www.youtube.com/watch?v=vtdHbEk1dFQ,1.0
2019.0,spring,CBLOL,6,ITZ,VK,ITZ,VK,https://matchhistory.br.leagueoflegends.com/pt/#match-details/ESPORTSTMNT02/1012080?gameHash=7b58f4aaf20fe423,https://www.youtube.com/watch?v=UkbM9fJ7a0U&t=16s,https://www.youtube.com/watch?v=UkbM9fJ7a0U&t=431s,https://youtu.be/UkbM9fJ7a0U?t=2852,Tockers,https://www.youtube.com/watch?v=LG8jcjMpGH4,1.0
2019.0,spring,CBLOL,6,FLA,RDP,FLA,RDP,https://matchhistory.br.leagueoflegends.com/pt/#match-details/ESPORTSTMNT02/1012095?gameHash=8d5edd284f98ee8a,https://www.youtube.com/watch?v=7Px1GPM0Kcg&t=8s,https://www.youtube.com/watch?v=7Px1GPM0Kcg&t=366s,https://youtu.be/7Px1GPM0Kcg?t=2262,Shrimp,https://www.youtube.com/watch?v=wobg_RDzwPI,1.0
2019.0,spring,CBLOL,6,UP,CNB,UP,CNB,https://matchhistory.br.leagueoflegends.com/pt/#match-details/ESPORTSTMNT02/1012379?gameHash=563cb5b4120328a6,https://www.youtube.com/watch?v=DS8vZ1SZT9M&t=11s,https://www.youtube.com/watch?v=DS8vZ1SZT9M&t=495s,https://youtu.be/DS8vZ1SZT9M?t=2513,Pbo,https://www.youtube.com/watch?v=h7m-rSy2kAU,1.0
2019.0,spring,CBLOL,6,ITZ,FLA,ITZ,FLA,https://matchhistory.br.leagueoflegends.com/pt/#match-details/ESPORTSTMNT02/1012396?gameHash=e0b93c0555bf4ba0,https://www.youtube.com/watch?v=XNg1qLmk1Qg&t=8s,https://www.youtube.com/watch?v=XNg1qLmk1Qg&t=415s,https://youtu.be/XNg1qLmk1Qg?t=2022,brTT,https://www.youtube.com/watch?v=K0M1wDDuC1o,1.0
2019.0,spring,CBLOL,6,KBM,RDP,KBM,RDP,https://matchhistory.br.leagueoflegends.com/pt/#match-details/ESPORTSTMNT02/1012401?gameHash=9cab7d433db61b38,https://youtu.be/fVhHllcJ7mA?t=13,https://youtu.be/fVhHllcJ7mA?t=477,https://youtu.be/fVhHllcJ7mA?t=2761,Zantins,https://www.youtube.com/watch?v=am3b1lNm02s,1.0
