year,season,league_name,week,team_1,team_2,Blue,Red,MH,Vod,PB,Start,set_number
2018.0,spring,OPL,1,DW,CHF,DW,CHF,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/530145?gameHash=16e928d213bcbe62&tab=overview,https://www.youtube.com/watch?v=NsGEeXbAiqQ,https://www.youtube.com/watch?v=NsGEeXbAiqQ&t=11m19s,https://www.youtube.com/watch?v=NsGEeXbAiqQ&t=17m30s,1.0
2018.0,spring,OPL,1,,,CHF,DW,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/530148?gameHash=bb60c3564d0a841b&tab=overview,https://www.youtube.com/watch?v=blPxCuTIZw4,https://www.youtube.com/watch?v=blPxCuTIZw4&t=1m23s,https://www.youtube.com/watch?v=blPxCuTIZw4&t=8m35s,2.0
2018.0,spring,OPL,1,,,DW,CHF,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/530149?gameHash=87c4cca4d0b9e88c&tab=overview,https://www.youtube.com/watch?v=qlaXC-vopfo,https://www.youtube.com/watch?v=qlaXC-vopfo&t=2m05s,https://www.youtube.com/watch?v=qlaXC-vopfo&t=8m28s,3.0
2018.0,spring,OPL,1,ORD,TTC,ORD,TTC,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/530150?gameHash=70c160f2f35b011d&tab=overview,https://www.youtube.com/watch?v=IHWQXviBemA,https://www.youtube.com/watch?v=IHWQXviBemA&t=8m59s,https://www.youtube.com/watch?v=IHWQXviBemA&t=16m45s,1.0
2018.0,spring,OPL,1,,,TTC,ORD,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/530162?gameHash=95d2f57e2dcb472b&tab=overview,https://www.youtube.com/watch?v=8LJnjBOWUAc,https://www.youtube.com/watch?v=8LJnjBOWUAc&t=2m10s,https://www.youtube.com/watch?v=8LJnjBOWUAc&t=9m21s,2.0
2018.0,spring,OPL,1,SIN,LGC,SIN,LGC,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/520557?gameHash=bcb886de0a388001&tab=overview,https://www.youtube.com/watch?v=8Diwv_ftTN0,https://www.youtube.com/watch?v=8Diwv_ftTN0&t=11m45s,https://www.youtube.com/watch?v=8Diwv_ftTN0&t=18m46s,1.0
2018.0,spring,OPL,1,,,LGC,SIN,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/520559?gameHash=1f7b5f1db6d40d73&tab=overview,https://www.youtube.com/watch?v=nyCYsFYLeAk,https://www.youtube.com/watch?v=nyCYsFYLeAk&t=6m40s,https://www.youtube.com/watch?v=nyCYsFYLeAk&t=13m27s,2.0
2018.0,spring,OPL,1,BMR,AV,BMR,AV,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/520560?gameHash=9b9b416663b1c87a&tab=overview,https://www.youtube.com/watch?v=XWDmkgfDuds,https://www.youtube.com/watch?v=XWDmkgfDuds&t=12m36s,https://www.youtube.com/watch?v=XWDmkgfDuds&t=19m27s,1.0
2018.0,spring,OPL,1,,,AV,BMR,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/520569?gameHash=1eaf29d350bb00d7&tab=overview,https://www.youtube.com/watch?v=rRLlwKgAStc,https://www.youtube.com/watch?v=rRLlwKgAStc&t=1m16s,https://www.youtube.com/watch?v=rRLlwKgAStc&t=7m47s,2.0
2018.0,spring,OPL,2,BMR,ORD,BMR,ORD,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/520768?gameHash=3f6c281889d0d57a&tab=overview,https://www.youtube.com/watch?v=En9oBsI1atk,https://youtube.com/watch?v=En9oBsI1atk&t=806,https://youtube.com/watch?v=En9oBsI1atk&t=1255,1.0
2018.0,spring,OPL,2,,,ORD,BMR,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/520770?gameHash=f86354c8edde0aa3&tab=overview,https://www.youtube.com/watch?v=zHC1r3YSR7k,https://youtube.com/watch?v=zHC1r3YSR7k&t=186,https://youtube.com/watch?v=zHC1r3YSR7k&t=607,2.0
2018.0,spring,OPL,2,AV,CHF,AV,CHF,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/520771?gameHash=fa7a732497399630&tab=overview,https://www.youtube.com/watch?v=zrW9IyrxpZU,https://youtube.com/watch?v=zrW9IyrxpZU&t=419,https://youtube.com/watch?v=zrW9IyrxpZU&t=767,1.0
2018.0,spring,OPL,2,,,CHF,AV,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/520779?gameHash=9673106ceef0ae1c&tab=overview,https://www.youtube.com/watch?v=3EjU1ImXe0Y,https://youtube.com/watch?v=3EjU1ImXe0Y&t=48,https://youtube.com/watch?v=3EjU1ImXe0Y&t=417,2.0
2018.0,spring,OPL,2,DW,SIN,DW,SIN,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/530624?gameHash=d3b1e22c115694c8&tab=overview,https://www.youtube.com/watch?v=xk8TRAkKsJc,https://youtube.com/watch?v=xk8TRAkKsJc&t=1147,https://youtube.com/watch?v=xk8TRAkKsJc&t=1515,1.0
2018.0,spring,OPL,2,,,SIN,DW,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/520894?gameHash=671b2487ca72bfab&tab=overview,https://www.youtube.com/watch?v=EXceLS4f0qM,https://youtube.com/watch?v=EXceLS4f0qM&t=167,https://youtube.com/watch?v=EXceLS4f0qM&t=600,2.0
2018.0,spring,OPL,2,LGC,TTC,LGC,TTC,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/520895?gameHash=7cdb33f56fe49084&tab=overview,https://www.youtube.com/watch?v=sy0ETJsjG2k,https://youtube.com/watch?v=sy0ETJsjG2k&t=426,https://youtube.com/watch?v=sy0ETJsjG2k&t=849,1.0
2018.0,spring,OPL,2,,,TTC,LGC,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/520903?gameHash=13203adbaa0c1fa5&tab=overview,https://www.youtube.com/watch?v=-m19_856trk,https://youtube.com/watch?v=-m19_856trk&t=147,https://youtube.com/watch?v=-m19_856trk&t=607,2.0
2018.0,spring,OPL,3,CHF,TTC,CHF,TTC,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/540038?gameHash=a886d04694ca3605&tab=overview,https://www.youtube.com/watch?v=XaUudLIDsA4,https://youtube.com/watch?v=XaUudLIDsA4&t=720,https://youtube.com/watch?v=XaUudLIDsA4&t=1156,1.0
