year,season,league_name,week,team_1,team_2,Blue,Red,MH,PB,Start,MVP,set_number
2020.0,spring,BRCC,5,FKL,RED,FKL,RED,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1352775?gameHash=49e7c42bb63ddf8c,https://youtu.be/92N9cuhij10?t=2,https://youtu.be/92N9cuhij10?t=428,Titan,1.0
2020.0,spring,BRCC,6,ONE,SAN,ONE,SAN,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1370390?gameHash=b6762205addb4f26&tab=overview,https://youtu.be/4xKE7XkjVj8?t=1,https://youtu.be/4xKE7XkjVj8?t=443,SkyBart,1.0
2020.0,spring,BRCC,6,RED,HL,RED,HL,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1370395?gameHash=02c9b3cb0a1ce4aa&tab=overview,https://youtu.be/DG4EFkLIfcg?t=1,https://youtu.be/DG4EFkLIfcg?t=415,Grevthar,1.0
2020.0,spring,BRCC,6,FKL,ITX,ITX,FKL,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1370398?gameHash=14e6af1d7432ef98&tab=overview,https://youtu.be/3Su1MNoT9Hg?t=1,https://youtu.be/3Su1MNoT9Hg?t=446,Evrot,1.0
2020.0,spring,BRCC,6,FKL,SAN,SAN,FKL,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1360523?gameHash=ab239361784208ce&tab=overview,https://youtu.be/K8rsjNROoEY?t=2,https://youtu.be/K8rsjNROoEY?t=473,JackPoT,1.0
2020.0,spring,BRCC,6,ONE,RED,ONE,RED,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1360536?gameHash=7085ce8d2b1bb108&tab=overview,https://youtu.be/IVQ-UGNXZXE?t=1,https://youtu.be/IVQ-UGNXZXE?t=371,Brucer,1.0
2020.0,spring,BRCC,6,ITX,HL,ITX,HL,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1360549?gameHash=ebe9a52664ac7586&tab=overview,https://youtu.be/9vz_J8K9LV4?t=6,https://youtu.be/9vz_J8K9LV4?t=419,flare,1.0
2020.0,spring,BRCC,6,ONE,FKL,FKL,ONE,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1360594?gameHash=90f0c1bf3ab00ce7&tab=overview,https://youtu.be/EFtHc8nWlLI?t=1,https://youtu.be/EFtHc8nWlLI?t=420,Ryuzaki,1.0
2020.0,spring,BRCC,6,HL,SAN,SAN,HL,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1360603?gameHash=2c44ef374d0ce0ae&tab=overview,https://youtu.be/Iqi5VoMtuRM?t=2,https://youtu.be/Iqi5VoMtuRM?t=400,Hyoga,1.0
2020.0,spring,BRCC,6,ITX,RED,ITX,RED,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1360604?gameHash=13e323fe4f398da2&tab=overview,https://youtu.be/TXjpE1RPlwo?t=1,https://youtu.be/TXjpE1RPlwo?t=402,Juzo,1.0
2020.0,spring,BRCC,7,FKL,HL,FKL,HL,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1370815?gameHash=65e075fd680d1267&tab=overview,https://youtu.be/Txr24pJfdy8?t=1,https://youtu.be/Txr24pJfdy8?t=461,Hidan,1.0
2020.0,spring,BRCC,7,SAN,RED,SAN,RED,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1370820?gameHash=ef088d8f00fc51bb&tab=overview,https://youtu.be/ThC6roNX768?t=4,https://youtu.be/ThC6roNX768?t=455,Hyoga,1.0
2020.0,spring,BRCC,7,ITX,ONE,ONE,ITX,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1370823?gameHash=64d2608d0a6975d5&tab=overview,https://youtu.be/jf_wrL8alW4?t=4,https://youtu.be/jf_wrL8alW4?t=448,PbO,1.0
2020.0,spring,BRCC,7,SAN,ITX,ITX,SAN,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1360997?gameHash=3b269e0a8a789e34&tab=overview,https://youtu.be/LRJV-ZTKzCo?t=2,https://youtu.be/LRJV-ZTKzCo?t=492,Rainbow,1.0
2020.0,spring,BRCC,7,RED,FKL,FKL,RED,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1360998?gameHash=f49520d2790f5bd5&tab=overview,https://youtu.be/aGOb5sTrHDo?t=9,https://youtu.be/aGOb5sTrHDo?t=786,Buggax,1.0
2020.0,spring,BRCC,7,HL,ONE,HL,ONE,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1361000?gameHash=66165671f632b5d3&tab=overview,https://youtu.be/g-oXOj9-fQo?t=1,https://youtu.be/g-oXOj9-fQo?t=382,dyNquedo,1.0
