year,season,league_name,week,team_1,team_2,Blue,Red,MH,PB,Start,HL,MVP,Post,set_number
2020.0,spring,TCL,7,SUP,5R,SUP,5R,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT04/1140167?gameHash=79fd44f1d96938d2&tab=overview,https://youtu.be/SvdwNrN3Khc?t=1,https://youtu.be/SvdwNrN3Khc?t=121,https://www.youtube.com/watch?v=EcZsNwfmTKs,Bolulu,,1.0
2020.0,spring,TCL,7,FB,RYL,FB,RYL,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT04/1140174?gameHash=2d30b783926ff51a&tab=overview,https://youtu.be/5v1nAjrfAwA?t=1,https://youtu.be/5v1nAjrfAwA?t=400,https://www.youtube.com/watch?v=bnT_rqrtu-c,Farfetch,,1.0
2020.0,spring,TCL,7,IW,AUR,AUR,IW,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT04/1140185?gameHash=36fd85c975f0a9a8,https://youtu.be/u0LbKCgqkaE?t=1,https://youtu.be/u0LbKCgqkaE?t=496,https://www.youtube.com/watch?v=qXQzz-V86r4,Elramir,,1.0
2020.0,spring,TCL,7,DP,BJK,DP,BJK,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT04/1140194?gameHash=ebe86246cff15fc8&tab=overview,https://youtu.be/IvYkMCmdWwc?t=1,https://youtu.be/IvYkMCmdWwc?t=299,https://www.youtube.com/watch?v=3YNZ0QR3f5M&t=2s,Mayhem,,1.0
2020.0,spring,TCL,8,AUR,DP,DP,AUR,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT05/1440421?gameHash=69e80c79849f37e0,https://youtu.be/kWp1HJSG4uQ?t=2,https://youtu.be/kWp1HJSG4uQ?t=679,https://youtu.be/iH2wWewLYFo?t=1,Absolute,,1.0
2020.0,spring,TCL,8,IW,SUP,SUP,IW,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT05/1430397?gameHash=70361eae7bccdca3,https://youtu.be/Jvc8lLwrXVQ?t=1,https://youtu.be/Jvc8lLwrXVQ?t=902,https://youtu.be/ZwKShlVfY20?t=1,Kaori,,1.0
2020.0,spring,TCL,8,RYL,GAL,GAL,RYL,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT05/1430403?gameHash=6c080297e63f6287,https://youtu.be/sGa8th3Y8u8?t=1,https://youtu.be/sGa8th3Y8u8?t=775,https://youtu.be/a-XKgs5qph4?t=1,Tarky,,1.0
2020.0,spring,TCL,8,BJK,FB,BJK,FB,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT05/1430413?gameHash=43aff4f866e2e767,https://youtu.be/Ho1LVsPzqgA?t=1,https://youtu.be/Ho1LVsPzqgA?t=783,https://youtu.be/Ud0FXgO55vY?t=1,Blue,,1.0
2020.0,spring,TCL,8,IW,GAL,GAL,IW,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT05/1440470?gameHash=352f9a44c3b7d051&tab=overview,https://youtu.be/u9KsJaN9W3s?t=1,https://youtu.be/u9KsJaN9W3s?t=830,https://youtu.be/dGMccqEjcdI?t=1,Ferret,https://youtu.be/u9KsJaN9W3s?t=2860,1.0
2020.0,spring,TCL,8,AUR,BJK,BJK,AUR,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT05/1430432?gameHash=410323fb3de3a2f8&tab=overview,https://youtu.be/FuwQkZZtJ1Y?t=1,https://youtu.be/FuwQkZZtJ1Y?t=828,https://youtu.be/hcTHWy3TR84?t=1,Kruimel,https://youtu.be/FuwQkZZtJ1Y?t=2984,1.0
2020.0,spring,TCL,8,SUP,FB,FB,SUP,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT05/1430436?gameHash=92e6b7bcfbadb849&tab=overview,https://youtu.be/LksrdLDZfXQ?t=1,https://youtu.be/LksrdLDZfXQ?t=842,https://youtu.be/LfwasFak8is?t=1,Mojito,https://youtu.be/LksrdLDZfXQ?t=3025,1.0
2020.0,spring,TCL,8,RYL,5R,5R,RYL,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT05/1430439?gameHash=6c1187f5e4d4bb1e&tab=overview,https://youtu.be/BFh8hyXC94I?t=1,https://youtu.be/BFh8hyXC94I?t=805,https://youtu.be/-FaHve4UREs?t=1,Korpse,https://youtu.be/BFh8hyXC94I?t=2551,1.0
2020.0,spring,TCL,9,BJK,IW,IW,BJK,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1190455?gameHash=3bcbda2eb1f7a05e,https://youtu.be/hKPYvMMhTdU?t=1,https://youtu.be/hKPYvMMhTdU?t=887,https://youtu.be/qxN3B2LkfSY?t=1,Serin,https://youtu.be/hKPYvMMhTdU?t=3230,1.0
2020.0,spring,TCL,9,FB,DP,FB,DP,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1180517?gameHash=e3be8db08cc0c26d,https://youtu.be/kbZrKijpYy8?t=1,https://youtu.be/kbZrKijpYy8?t=771,https://youtu.be/Bzt3p5Ijteg?t=1,Blue,https://youtu.be/kbZrKijpYy8?t=2407,1.0
2020.0,spring,TCL,9,5R,AUR,AUR,5R,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1180520?gameHash=a24f74603bb9a6f2,https://youtu.be/d81hh9ZMmbs?t=1,https://youtu.be/d81hh9ZMmbs?t=813,https://youtu.be/s4OO1vTnPj4?t=1,Elramir,https://youtu.be/d81hh9ZMmbs?t=3376,1.0
2020.0,spring,TCL,9,GAL,SUP,SUP,GAL,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1180523?gameHash=c359dc582f627595,https://youtu.be/FP1c1LgaJFs?t=1,https://youtu.be/FP1c1LgaJFs?t=442,https://youtu.be/0MmgCFs4d6w?t=1,xKenzuke,https://youtu.be/FP1c1LgaJFs?t=3097,1.0
2020.0,spring,TCL,9,DP,RYL,RYL,DP,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1190478?gameHash=db62ea8c56ae8c68,https://youtu.be/2csz8jpU3cE?t=1,https://youtu.be/2csz8jpU3cE?t=593,https://youtu.be/MWL9duf_TV0?t=1,Maxi,https://youtu.be/2csz8jpU3cE?t=2526,1.0
2020.0,spring,TCL,9,AUR,GAL,GAL,AUR,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1190482?gameHash=25dafde406e7d173,https://youtu.be/Gd5YABlMkJM?t=1,https://youtu.be/Gd5YABlMkJM?t=445,https://youtu.be/ot_KGUxi_lY?t=1,xKenzuke,https://youtu.be/Gd5YABlMkJM?t=2609,1.0
2020.0,spring,TCL,9,IW,FB,FB,IW,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1190488?gameHash=ece784d22108a3fa,https://youtu.be/s_ghlD0MkUI?t=1,https://youtu.be/s_ghlD0MkUI?t=735,https://youtu.be/NFmDCfqn4Sw?t=1,StarScreen,https://youtu.be/s_ghlD0MkUI?t=2655,1.0
2020.0,spring,TCL,9,5R,BJK,BJK,5R,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1190497?gameHash=639ce2b781b93d31&tab=overview,https://youtu.be/BmrY4UXYrT0?t=1,https://youtu.be/BmrY4UXYrT0?t=987,https://youtu.be/tzV9DYbMW3A?t=1,Rate,https://youtu.be/BmrY4UXYrT0?t=3152,1.0
2020.0,spring,TCL,Tiebreakers,BJK,AUR,AUR,BJK,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1190508?gameHash=e8696fa1a8342f0f&tab=overview,https://youtu.be/tkyhS5TcgpU?t=1,https://youtu.be/tkyhS5TcgpU?t=802,https://youtu.be/exl2X-OzAbI?t=1,,https://youtu.be/tkyhS5TcgpU?t=2822,1.0
