date,league_name,year,season,team_1,team_2,betting_site,saved_time,special:game_win:home,special:game_win:away,handicap:set_handicap:-2.5:home,handicap:set_handicap:+2.5:away,handicap:set_handicap:-1.5:home,handicap:set_handicap:+1.5:away,handicap:set_handicap:+1.5:home,handicap:set_handicap:-1.5:away,0-3,1-3,2-3,3-0,3-1,3-2,over_under:total_sets:3.5:over,over_under:total_sets:3.5:under,over_under:total_sets:4.5:over,over_under:total_sets:4.5:under
2020-09-07,LCK,2020.0,summer,Afreeca,KT,betjoe,2020-09-07 11:00:00,-238,+172,+301,-476,-110,-123,-714,+412,+945,+572,+511,+288,+271,+405,-270,+193,+192,-270
2020-09-10,European Masters,2020.0,summer,Team GamerLegion,Movistar Riders,betjoe,2020-09-07 11:00:00,+126,-175,,,,,,,,,,,,,,,,
2020-09-10,European Masters,2020.0,summer,Movistar Riders,AGO ROGUE,betjoe,2020-09-07 11:00:00,+100,-139,,,,,,,,,,,,,,,,
2020-09-10,European Masters,2020.0,summer,Team GamerLegion,SuppUp eSports,betjoe,2020-09-07 11:00:00,-435,+272,,,,,,,,,,,,,,,,
2020-09-10,European Masters,2020.0,summer,SuppUp eSports,Movistar Riders,betjoe,2020-09-07 11:00:00,+352,-625,,,,,,,,,,,,,,,,
2020-09-10,European Masters,2020.0,summer,AGO ROGUE,Team GamerLegion,betjoe,2020-09-07 11:00:00,-208,+147,,,,,,,,,,,,,,,,
2020-09-11,European Masters,2020.0,summer,LDLC OL,S04E,betjoe,2020-09-07 11:00:00,+110,-152,,,,,,,,,,,,,,,,
2020-09-11,European Masters,2020.0,summer,Morning Stars,K1CK Neosurf,betjoe,2020-09-07 11:00:00,+219,-333,,,,,,,,,,,,,,,,
2020-09-11,European Masters,2020.0,summer,LDLC OL,Morning Stars,betjoe,2020-09-07 11:00:00,-357,+235,,,,,,,,,,,,,,,,
2020-09-11,European Masters,2020.0,summer,K1CK Neosurf,S04E,betjoe,2020-09-07 11:00:00,+119,-167,,,,,,,,,,,,,,,,
2020-09-11,European Masters,2020.0,summer,S04E,Morning Stars,betjoe,2020-09-07 11:00:00,-435,+272,,,,,,,,,,,,,,,,
2020-09-11,European Masters,2020.0,summer,K1CK Neosurf,LDLC OL,betjoe,2020-09-07 11:00:00,+110,-152,,,,,,,,,,,,,,,,
2020-09-12,European Masters,2020.0,summer,WLGaming,Misfits Premier,betjoe,2020-09-07 11:00:00,+399,-714,,,,,,,,,,,,,,,,
2020-09-12,European Masters,2020.0,summer,Pompa,Giants Gaming,betjoe,2020-09-07 11:00:00,,,,,,,,,,,,,,,,,,
2020-09-12,European Masters,2020.0,summer,Misfits Premier,Giants Gaming,betjoe,2020-09-07 11:00:00,-192,+137,,,,,,,,,,,,,,,,
2020-09-12,European Masters,2020.0,summer,Pompa,WLGaming,betjoe,2020-09-07 11:00:00,-125,-110,,,,,,,,,,,,,,,,
2020-09-12,European Masters,2020.0,summer,Misfits Premier,Pompa,betjoe,2020-09-07 11:00:00,-625,+352,,,,,,,,,,,,,,,,
2020-09-12,European Masters,2020.0,summer,Giants Gaming,WLGaming,betjoe,2020-09-07 11:00:00,-476,+295,,,,,,,,,,,,,,,,
2020-09-13,European Masters,2020.0,summer,GamersOrigin,Fnatic Rising,betjoe,2020-09-07 11:00:00,-125,-110,,,,,,,,,,,,,,,,
2020-09-13,European Masters,2020.0,summer,mousesports,Intrepid Fox,betjoe,2020-09-07 11:00:00,-1429,+598,,,,,,,,,,,,,,,,
2020-09-13,European Masters,2020.0,summer,mousesports,GamersOrigin,betjoe,2020-09-07 11:00:00,-175,+126,,,,,,,,,,,,,,,,
2020-09-13,European Masters,2020.0,summer,Intrepid Fox,Fnatic Rising,betjoe,2020-09-07 11:00:00,+399,-714,,,,,,,,,,,,,,,,
2020-09-13,European Masters,2020.0,summer,Intrepid Fox,GamersOrigin,betjoe,2020-09-07 11:00:00,+447,-909,,,,,,,,,,,,,,,,
2020-09-13,European Masters,2020.0,summer,Fnatic Rising,mousesports,betjoe,2020-09-07 11:00:00,+137,-192,,,,,,,,,,,,,,,,
2020-09-08,LFL,2020.0,summer,GameWard,Team MCES,betjoe,2020-09-07 11:00:00,-286,+199,,,,,,,,,,,,,,,,
2020-09-08,LFL,2020.0,summer,Vitality Bee,IziDream,betjoe,2020-09-07 11:00:00,-204,+148,,,,,,,,,,,,,,,,
2020-09-08,LFL,2020.0,summer,Solary,GamersOrigin,betjoe,2020-09-07 11:00:00,+199,-286,,,,,,,,,,,,,,,,
2020-09-08,LFL,2020.0,summer,Misfits Premier,LDLC OL,betjoe,2020-09-07 11:00:00,-137,+101,,,,,,,,,,,,,,,,
2020-09-09,LFL,2020.0,summer,Team MCES,GamersOrigin,betjoe,2020-09-07 11:00:00,+447,-909,,,,,,,,,,,,,,,,
2020-09-09,LFL,2020.0,summer,GameWard,LDLC OL,betjoe,2020-09-07 11:00:00,+119,-167,,,,,,,,,,,,,,,,
2020-09-09,LFL,2020.0,summer,Vitality Bee,Misfits Premier,betjoe,2020-09-07 11:00:00,+137,-192,,,,,,,,,,,,,,,,
2020-09-09,LFL,2020.0,summer,Solary,IziDream,betjoe,2020-09-07 11:00:00,-125,-110,,,,,,,,,,,,,,,,
