date,league_name,year,season,team_1,team_2,betting_site,saved_time,special:game_win:home,special:game_win:away,handicap:set_handicap:-1.5:home,handicap:set_handicap:+1.5:away,handicap:set_handicap:+1.5:home,handicap:set_handicap:-1.5:away,0-2,1-2,2-0,2-1,over_under:total_sets:2.5:over,over_under:total_sets:2.5:under
2020-09-17,European Masters,2020.0,summer,AGO ROGUE,Misfits Premier,betjoe,2020-09-16 23:00:00,-217,+155,+155,-217,-625,+368,+355,+363,+155,+235,+105,-143
2020-09-17,European Masters,2020.0,summer,mousesports,K1CK Neosurf,betjoe,2020-09-16 23:00:00,-250,+176,+129,-175,-769,+425,+410,+385,+125,+233,+111,-149
2020-10-05,World Championship 2020,2020.0,summer,Suning,Machi Esports,betjoe,2020-09-16 23:00:00,-526,+330,,,,,,,,,,
2020-10-05,World Championship 2020,2020.0,summer,Fnatic,TSM,betjoe,2020-09-16 23:00:00,-189,+138,,,,,,,,,,
2020-10-05,World Championship 2020,2020.0,summer,G2,Suning,betjoe,2020-09-16 23:00:00,-164,+120,,,,,,,,,,
2020-10-05,World Championship 2020,2020.0,summer,TES,DragonX,betjoe,2020-09-16 23:00:00,-286,+199,,,,,,,,,,
2020-10-05,World Championship 2020,2020.0,summer,Damwon,Rogue,betjoe,2020-09-16 23:00:00,-417,+274,,,,,,,,,,
2020-10-05,World Championship 2020,2020.0,summer,GenG,Fnatic,betjoe,2020-09-16 23:00:00,-172,+127,,,,,,,,,,
2020-10-05,World Championship 2020,2020.0,summer,Damwon,JDG,betjoe,2020-09-16 23:00:00,-137,+101,,,,,,,,,,
2020-10-05,World Championship 2020,2020.0,summer,DragonX,FlyQuest,betjoe,2020-09-16 23:00:00,-345,+237,,,,,,,,,,
2020-10-05,World Championship 2020,2020.0,summer,TES,FlyQuest,betjoe,2020-09-16 23:00:00,-833,+450,,,,,,,,,,
2020-10-05,World Championship 2020,2020.0,summer,JDG,Rogue,betjoe,2020-09-16 23:00:00,-345,+237,,,,,,,,,,
2020-10-05,World Championship 2020,2020.0,summer,G2,Machi Esports,betjoe,2020-09-16 23:00:00,-714,+401,,,,,,,,,,
2020-10-05,World Championship 2020,2020.0,summer,GenG,TSM,betjoe,2020-09-16 23:00:00,-250,+176,,,,,,,,,,
2020-09-28,World Championship 2020 Play-In,2020.0,summer,LGD,Talon Esports,betjoe,2020-09-16 23:00:00,-625,+352,,,,,,,,,,
2020-09-28,World Championship 2020 Play-In,2020.0,summer,Talon Esports,Rainbow7,betjoe,2020-09-16 23:00:00,-270,+185,,,,,,,,,,
2020-09-28,World Championship 2020 Play-In,2020.0,summer,Talon Esports,V3 Esports,betjoe,2020-09-16 23:00:00,-357,+235,,,,,,,,,,
2020-09-28,World Championship 2020 Play-In,2020.0,summer,Unicorns Of Love,Talon Esports,betjoe,2020-09-16 23:00:00,-167,+119,,,,,,,,,,
2020-09-28,World Championship 2020 Play-In,2020.0,summer,TL,Legacy Esports,betjoe,2020-09-16 23:00:00,-556,+328,,,,,,,,,,
2020-09-28,World Championship 2020 Play-In,2020.0,summer,MAD,Papara SuperMassive,betjoe,2020-09-16 23:00:00,-303,+204,,,,,,,,,,
2020-09-28,World Championship 2020 Play-In,2020.0,summer,MAD,Legacy Esports,betjoe,2020-09-16 23:00:00,-625,+352,,,,,,,,,,
2020-09-28,World Championship 2020 Play-In,2020.0,summer,Papara SuperMassive,Legacy Esports,betjoe,2020-09-16 23:00:00,-250,+174,,,,,,,,,,
2020-09-28,World Championship 2020 Play-In,2020.0,summer,LGD,Rainbow7,betjoe,2020-09-16 23:00:00,-909,+447,,,,,,,,,,
2020-09-28,World Championship 2020 Play-In,2020.0,summer,Rainbow7,V3 Esports,betjoe,2020-09-16 23:00:00,-208,+147,,,,,,,,,,
2020-09-28,World Championship 2020 Play-In,2020.0,summer,LGD,V3 Esports,betjoe,2020-09-16 23:00:00,-1429,+598,,,,,,,,,,
2020-09-28,World Championship 2020 Play-In,2020.0,summer,TL,INTZ,betjoe,2020-09-16 23:00:00,-435,+272,,,,,,,,,,
2020-09-28,World Championship 2020 Play-In,2020.0,summer,Unicorns Of Love,V3 Esports,betjoe,2020-09-16 23:00:00,-476,+295,,,,,,,,,,
2020-09-28,World Championship 2020 Play-In,2020.0,summer,INTZ,Legacy Esports,betjoe,2020-09-16 23:00:00,-175,+126,,,,,,,,,,
2020-09-28,World Championship 2020 Play-In,2020.0,summer,Unicorns Of Love,Rainbow7,betjoe,2020-09-16 23:00:00,-333,+219,,,,,,,,,,
2020-09-28,World Championship 2020 Play-In,2020.0,summer,Papara SuperMassive,INTZ,betjoe,2020-09-16 23:00:00,-192,+137,,,,,,,,,,
2020-09-28,World Championship 2020 Play-In,2020.0,summer,MAD,INTZ,betjoe,2020-09-16 23:00:00,-476,+295,,,,,,,,,,
2020-09-28,World Championship 2020 Play-In,2020.0,summer,TL,Papara SuperMassive,betjoe,2020-09-16 23:00:00,-250,+174,,,,,,,,,,
2020-09-28,World Championship 2020 Play-In,2020.0,summer,MAD,TL,betjoe,2020-09-16 23:00:00,-152,+110,,,,,,,,,,
2020-09-28,World Championship 2020 Play-In,2020.0,summer,LGD,Unicorns Of Love,betjoe,2020-09-16 23:00:00,-435,+272,,,,,,,,,,
