date,league_name,year,season,team_1,team_2,betting_site,saved_time,special:game_win:home,special:game_win:away
2020-10-03,World Championship 2020,2020.0,summer,TES,FlyQuest,betjoe,2020-10-02 23:00:00,-769,+432
2020-10-03,World Championship 2020,2020.0,summer,DragonX,Unicorns Of Love,betjoe,2020-10-02 23:00:00,-357,+246
2020-10-03,World Championship 2020,2020.0,summer,Rogue,Talon Esports,betjoe,2020-10-02 23:00:00,-179,+136
2020-10-03,World Championship 2020,2020.0,summer,Damwon,JDG,betjoe,2020-10-02 23:00:00,-159,+119
2020-10-03,World Championship 2020,2020.0,summer,GenG,LGD,betjoe,2020-10-02 23:00:00,-256,+180
2020-10-03,World Championship 2020,2020.0,summer,Fnatic,TSM,betjoe,2020-10-02 23:00:00,-159,+118
2020-10-04,World Championship 2020,2020.0,summer,Machi Esports,TL,betjoe,2020-10-02 23:00:00,+127,-172
2020-10-04,World Championship 2020,2020.0,summer,G2,Suning,betjoe,2020-10-02 23:00:00,-147,+110
2020-10-04,World Championship 2020,2020.0,summer,Damwon,Rogue,betjoe,2020-10-02 23:00:00,-417,+275
2020-10-04,World Championship 2020,2020.0,summer,JDG,Talon Esports,betjoe,2020-10-02 23:00:00,-526,+330
2020-10-04,World Championship 2020,2020.0,summer,GenG,TSM,betjoe,2020-10-02 23:00:00,-263,+189
2020-10-04,World Championship 2020,2020.0,summer,LGD,LGD,betjoe,2020-10-02 23:00:00,-164,+120
2020-10-05,World Championship 2020,2020.0,summer,G2,Machi Esports,betjoe,2020-10-02 23:00:00,-435,+277
2020-10-05,World Championship 2020,2020.0,summer,Suning,TL,betjoe,2020-10-02 23:00:00,-227,+163
2020-10-05,World Championship 2020,2020.0,summer,Damwon,Talon Esports,betjoe,2020-10-02 23:00:00,-833,+450
2020-10-05,World Championship 2020,2020.0,summer,JDG,Rogue,betjoe,2020-10-02 23:00:00,-312,+216
2020-10-05,World Championship 2020,2020.0,summer,FlyQuest,Unicorns Of Love,betjoe,2020-10-02 23:00:00,-123,-109
2020-10-05,World Championship 2020,2020.0,summer,TES,DragonX,betjoe,2020-10-02 23:00:00,-244,+174
2020-10-06,World Championship 2020,2020.0,summer,G2,TL,betjoe,2020-10-02 23:00:00,-250,+176
2020-10-06,World Championship 2020,2020.0,summer,Suning,Machi Esports,betjoe,2020-10-02 23:00:00,-357,+243
2020-10-06,World Championship 2020,2020.0,summer,DragonX,FlyQuest,betjoe,2020-10-02 23:00:00,-333,+230
2020-10-06,World Championship 2020,2020.0,summer,TES,Unicorns Of Love,betjoe,2020-10-02 23:00:00,-909,+476
2020-10-06,World Championship 2020,2020.0,summer,GenG,Fnatic,betjoe,2020-10-02 23:00:00,-182,+133
2020-10-06,World Championship 2020,2020.0,summer,LGD,TSM,betjoe,2020-10-02 23:00:00,-123,-109
2020-10-08,World Championship 2020,2020.0,summer,TL,G2,betjoe,2020-10-02 23:00:00,+176,-250
2020-10-08,World Championship 2020,2020.0,summer,Machi Esports,Suning,betjoe,2020-10-02 23:00:00,+199,-286
2020-10-08,World Championship 2020,2020.0,summer,Machi Esports,G2,betjoe,2020-10-02 23:00:00,+237,-345
2020-10-08,World Championship 2020,2020.0,summer,TL,Machi Esports,betjoe,2020-10-02 23:00:00,-172,+127
2020-10-08,World Championship 2020,2020.0,summer,Suning,G2,betjoe,2020-10-02 23:00:00,+120,-164
2020-10-09,World Championship 2020,2020.0,summer,Talon Esports,Damwon,betjoe,2020-10-02 23:00:00,+450,-833
2020-10-09,World Championship 2020,2020.0,summer,Rogue,JDG,betjoe,2020-10-02 23:00:00,+237,-345
2020-10-09,World Championship 2020,2020.0,summer,Rogue,Damwon,betjoe,2020-10-02 23:00:00,+297,-476
2020-10-09,World Championship 2020,2020.0,summer,JDG,Talon Esports,betjoe,2020-10-02 23:00:00,-526,+330
2020-10-09,World Championship 2020,2020.0,summer,Talon Esports,Rogue,betjoe,2020-10-02 23:00:00,+133,-179
2020-10-09,World Championship 2020,2020.0,summer,JDG,Damwon,betjoe,2020-10-02 23:00:00,+111,-149
2020-10-10,World Championship 2020,2020.0,summer,TSM,Fnatic,betjoe,2020-10-02 23:00:00,+127,-172
2020-10-10,World Championship 2020,2020.0,summer,LGD,GenG,betjoe,2020-10-02 23:00:00,+176,-250
2020-10-10,World Championship 2020,2020.0,summer,TSM,GenG,betjoe,2020-10-02 23:00:00,+199,-286
2020-10-10,World Championship 2020,2020.0,summer,Fnatic,LGD,betjoe,2020-10-02 23:00:00,-164,+120
2020-10-10,World Championship 2020,2020.0,summer,LGD,TSM,betjoe,2020-10-02 23:00:00,-123,-109
2020-10-10,World Championship 2020,2020.0,summer,Fnatic,GenG,betjoe,2020-10-02 23:00:00,+138,-189
2020-10-11,World Championship 2020,2020.0,summer,FlyQuest,DragonX,betjoe,2020-10-02 23:00:00,+248,-370
2020-10-11,World Championship 2020,2020.0,summer,Unicorns Of Love,TES,betjoe,2020-10-02 23:00:00,+500,-1000
2020-10-11,World Championship 2020,2020.0,summer,Unicorns Of Love,DragonX,betjoe,2020-10-02 23:00:00,+274,-417
2020-10-11,World Championship 2020,2020.0,summer,FlyQuest,TES,betjoe,2020-10-02 23:00:00,+450,-833
2020-10-11,World Championship 2020,2020.0,summer,Unicorns Of Love,FlyQuest,betjoe,2020-10-02 23:00:00,-109,-123
2020-10-11,World Championship 2020,2020.0,summer,DragonX,TES,betjoe,2020-10-02 23:00:00,+199,-286
