date,league_name,year,season,team_1,team_2,betting_site,saved_time,special:game_win:home,special:game_win:away
2020-10-03,World Championship 2020,2020.0,summer,TES,FlyQuest,betjoe,2020-09-18 23:00:00,-833,+450
2020-10-03,World Championship 2020,2020.0,summer,Damwon,JDG,betjoe,2020-09-18 23:00:00,-141,+105
2020-10-03,World Championship 2020,2020.0,summer,Fnatic,TSM,betjoe,2020-09-18 23:00:00,-182,+133
2020-10-04,World Championship 2020,2020.0,summer,G2,Suning,betjoe,2020-09-18 23:00:00,-154,+114
2020-10-04,World Championship 2020,2020.0,summer,Damwon,Rogue,betjoe,2020-09-18 23:00:00,-476,+301
2020-10-04,World Championship 2020,2020.0,summer,GenG,TSM,betjoe,2020-09-18 23:00:00,-270,+190
2020-10-05,World Championship 2020,2020.0,summer,G2,Machi Esports,betjoe,2020-09-18 23:00:00,-714,+401
2020-10-05,World Championship 2020,2020.0,summer,JDG,Rogue,betjoe,2020-09-18 23:00:00,-323,+222
2020-10-05,World Championship 2020,2020.0,summer,TES,DragonX,betjoe,2020-09-18 23:00:00,-250,+176
2020-10-06,World Championship 2020,2020.0,summer,Suning,Machi Esports,betjoe,2020-09-18 23:00:00,-476,+305
2020-10-06,World Championship 2020,2020.0,summer,DragonX,FlyQuest,betjoe,2020-09-18 23:00:00,-345,+232
2020-10-06,World Championship 2020,2020.0,summer,GenG,Fnatic,betjoe,2020-09-18 23:00:00,-172,+127
2020-09-25,World Championship 2020 Play-In,2020.0,summer,MAD,INTZ,betjoe,2020-09-18 23:00:00,-526,+312
2020-09-25,World Championship 2020 Play-In,2020.0,summer,Talon Esports,Rainbow7,betjoe,2020-09-18 23:00:00,-143,+104
2020-09-25,World Championship 2020 Play-In,2020.0,summer,INTZ,Legacy Esports,betjoe,2020-09-18 23:00:00,-172,+124
2020-09-25,World Championship 2020 Play-In,2020.0,summer,LGD,Talon Esports,betjoe,2020-09-18 23:00:00,-909,+456
2020-09-25,World Championship 2020 Play-In,2020.0,summer,MAD,TL,betjoe,2020-09-18 23:00:00,-152,+110
2020-09-26,World Championship 2020 Play-In,2020.0,summer,Rainbow7,V3 Esports,betjoe,2020-09-18 23:00:00,-167,+119
2020-09-26,World Championship 2020 Play-In,2020.0,summer,Papara SuperMassive,INTZ,betjoe,2020-09-18 23:00:00,-200,+142
2020-09-26,World Championship 2020 Play-In,2020.0,summer,Unicorns Of Love,V3 Esports,betjoe,2020-09-18 23:00:00,-417,+266
2020-09-26,World Championship 2020 Play-In,2020.0,summer,LGD,Rainbow7,betjoe,2020-09-18 23:00:00,-909,+447
2020-09-26,World Championship 2020 Play-In,2020.0,summer,Unicorns Of Love,Talon Esports,betjoe,2020-09-18 23:00:00,-213,+149
2020-09-26,World Championship 2020 Play-In,2020.0,summer,MAD,Papara SuperMassive,betjoe,2020-09-18 23:00:00,-294,+198
2020-09-26,World Championship 2020 Play-In,2020.0,summer,TL,Legacy Esports,betjoe,2020-09-18 23:00:00,-556,+328
2020-09-27,World Championship 2020 Play-In,2020.0,summer,LGD,V3 Esports,betjoe,2020-09-18 23:00:00,-1429,+590
2020-09-27,World Championship 2020 Play-In,2020.0,summer,Unicorns Of Love,Rainbow7,betjoe,2020-09-18 23:00:00,-333,+219
2020-09-27,World Championship 2020 Play-In,2020.0,summer,Talon Esports,V3 Esports,betjoe,2020-09-18 23:00:00,-208,+148
2020-09-27,World Championship 2020 Play-In,2020.0,summer,LGD,Unicorns Of Love,betjoe,2020-09-18 23:00:00,-435,+272
2020-09-28,World Championship 2020 Play-In,2020.0,summer,TL,Papara SuperMassive,betjoe,2020-09-18 23:00:00,-256,+177
2020-09-28,World Championship 2020 Play-In,2020.0,summer,MAD,Legacy Esports,betjoe,2020-09-18 23:00:00,-667,+373
2020-09-28,World Championship 2020 Play-In,2020.0,summer,TL,INTZ,betjoe,2020-09-18 23:00:00,-476,+292
2020-09-28,World Championship 2020 Play-In,2020.0,summer,Papara SuperMassive,Legacy Esports,betjoe,2020-09-18 23:00:00,-250,+174
