date,league_name,year,season,team_1,team_2,set_number,betting_site,saved_time,special:first_blood:home,special:first_blood:away,handicap:total_kill_handicap:-11.5:home,handicap:total_kill_handicap:+11.5:away,special:first_tower:home,special:first_tower:away,special:first_dragon:home,special:first_dragon:away,special:first_baron:home,special:first_baron:away,special:first_inhib:home,special:first_inhib:away,handicap:total_kill_handicap:-4.5:home,handicap:total_kill_handicap:+4.5:away,handicap:total_kill_handicap:-5.5:home,handicap:total_kill_handicap:+5.5:away,handicap:total_kill_handicap:-8.5:home,handicap:total_kill_handicap:+8.5:away,handicap:total_kill_handicap:-6.5:home,handicap:total_kill_handicap:+6.5:away,special:first_5kill:home,special:first_5kill:away,special:first_10kill:home,special:first_10kill:away,handicap:total_kill_handicap:-10.5:home,handicap:total_kill_handicap:+10.5:away,handicap:total_kill_handicap:-7.5:home,handicap:total_kill_handicap:+7.5:away,handicap:total_kill_handicap:-9.5:home,handicap:total_kill_handicap:+9.5:away
2020-09-28,World Championship 2020 Play-In,2020.0,summer,Unicorns Of Love,Rainbow7,3.0,betjoe,2020-09-18 11:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-28,World Championship 2020 Play-In,2020.0,summer,Papara SuperMassive,INTZ,1.0,betjoe,2020-09-18 11:00:00,,,,,,,,,,,,,,,,,,,,,-145,+101,-161,+111,,,,,,
2020-09-28,World Championship 2020 Play-In,2020.0,summer,Papara SuperMassive,INTZ,2.0,betjoe,2020-09-18 11:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-28,World Championship 2020 Play-In,2020.0,summer,Papara SuperMassive,INTZ,3.0,betjoe,2020-09-18 11:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-28,World Championship 2020 Play-In,2020.0,summer,MAD,INTZ,1.0,betjoe,2020-09-18 11:00:00,,,,,,,,,,,,,,,,,,,,,-303,+194,-357,+223,,,,,,
2020-09-28,World Championship 2020 Play-In,2020.0,summer,MAD,INTZ,2.0,betjoe,2020-09-18 11:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-28,World Championship 2020 Play-In,2020.0,summer,MAD,INTZ,3.0,betjoe,2020-09-18 11:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-28,World Championship 2020 Play-In,2020.0,summer,MAD,TL,1.0,betjoe,2020-09-18 11:00:00,,,,,,,,,,,,,,,,,,,,,-132,-110,-135,-106,,,,,,
2020-09-28,World Championship 2020 Play-In,2020.0,summer,MAD,TL,2.0,betjoe,2020-09-18 11:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-28,World Championship 2020 Play-In,2020.0,summer,MAD,TL,3.0,betjoe,2020-09-18 11:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-28,World Championship 2020 Play-In,2020.0,summer,LGD,Unicorns Of Love,1.0,betjoe,2020-09-18 11:00:00,,,,,,,,,,,,,,,,,,,,,-278,+181,-323,+205,,,,,,
2020-09-28,World Championship 2020 Play-In,2020.0,summer,LGD,Unicorns Of Love,2.0,betjoe,2020-09-18 11:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-28,World Championship 2020 Play-In,2020.0,summer,LGD,Unicorns Of Love,3.0,betjoe,2020-09-18 11:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
