date,league_name,year,season,team_1,team_2,betting_site,saved_time,special:game_win:home,special:game_win:away,handicap:set_handicap:-2.5:home,handicap:set_handicap:+2.5:away,handicap:set_handicap:-1.5:home,handicap:set_handicap:+1.5:away,handicap:set_handicap:+1.5:home,handicap:set_handicap:-1.5:away,handicap:set_handicap:+2.5:home,handicap:set_handicap:-2.5:away,0-3,1-3,2-3,3-0,3-1,3-2,over_under:total_sets:3.5:over,over_under:total_sets:3.5:under,over_under:total_sets:4.5:over,over_under:total_sets:4.5:under,
2020-09-07,LCK,2020.0,summer,Afreeca,KT,betjoe,2020-09-06 11:00:00,-213,+150,+322,-526,+100,-135,-625,+372,-5000,+996,+945,+572,+482,+308,+281,+394,-286,+200,+184,-263,
2020-09-07,LEC,2020.0,summer,Fnatic,G2,betjoe,2020-09-06 11:00:00,,,,,,,,,,,,,,,,,,,+164,-222,
2020-09-06,LJL,2020.0,summer,V3 Esports,Detonation FocusMe,betjoe,2020-09-06 11:00:00,-143,+106,+442,-833,+158,-222,-333,+225,-1429,+616,+600,+400,,,+327,+355,-345,+231,+154,-213,
2020-09-08,LFL,2020.0,summer,GameWard,Team MCES,betjoe,2020-09-06 11:00:00,-294,+198,,,,,,,,,,,,,,,,,,,
2020-09-08,LFL,2020.0,summer,Vitality Bee,IziDream,betjoe,2020-09-06 11:00:00,-175,+126,,,,,,,,,,,,,,,,,,,
2020-09-08,LFL,2020.0,summer,Solary,GamersOrigin,betjoe,2020-09-06 11:00:00,+198,-294,,,,,,,,,,,,,,,,,,,
2020-09-08,LFL,2020.0,summer,Misfits Premier,LDLC OL,betjoe,2020-09-06 11:00:00,-139,+100,,,,,,,,,,,,,,,,,,,
2020-09-09,LFL,2020.0,summer,Team MCES,GamersOrigin,betjoe,2020-09-06 11:00:00,+399,-714,,,,,,,,,,,,,,,,,,,
2020-09-09,LFL,2020.0,summer,GameWard,LDLC OL,betjoe,2020-09-06 11:00:00,+137,-192,,,,,,,,,,,,,,,,,,,
2020-09-09,LFL,2020.0,summer,Vitality Bee,Misfits Premier,betjoe,2020-09-06 11:00:00,+137,-192,,,,,,,,,,,,,,,,,,,
2020-09-09,LFL,2020.0,summer,Solary,IziDream,betjoe,2020-09-06 11:00:00,-125,-110,,,,,,,,,,,,,,,,,,,
2020-09-06,LDL,2020.0,summer,IG Young,SDX Gaming,betjoe,2020-09-06 11:00:00,-333,+213,+269,-435,-119,-119,-769,+396,-3333,+790,+900,+640,,,+232,+336,,,+159,-238,
