date,league_name,year,season,team_1,team_2,betting_site,saved_time,special:game_win:home,special:game_win:away,handicap:set_handicap:-1.5:home,handicap:set_handicap:+1.5:away,handicap:set_handicap:+1.5:home,handicap:set_handicap:-1.5:away,0-2,1-2,2-0,2-1,over_under:total_sets:2.5:over,over_under:total_sets:2.5:under
2020-09-20,European Masters,2020.0,summer,Team GamerLegion,LDLC OL,betjoe,2020-09-19 23:00:00,+115,-154,+316,-500,-263,+186,+181,+240,+312,+327,-102,-132
2020-09-20,European Masters,2020.0,summer,AGO ROGUE,mousesports,betjoe,2020-09-19 23:00:00,+117,-159,+303,-476,-270,+191,+193,+245,+298,+327,-101,-133
2020-09-23,LFL,2020.0,summer,GameWard,Vitality Bee,betjoe,2020-09-19 23:00:00,-110,-125,,,,,,,,,,
2020-09-23,LFL,2020.0,summer,Solary,Misfits Premier,betjoe,2020-09-19 23:00:00,+174,-250,,,,,,,,,,
2020-09-23,LFL,2020.0,summer,Team MCES,LDLC OL,betjoe,2020-09-19 23:00:00,+352,-625,,,,,,,,,,
2020-09-24,LFL,2020.0,summer,Solary,GameWard,betjoe,2020-09-19 23:00:00,+137,-192,,,,,,,,,,
2020-09-24,LFL,2020.0,summer,Team MCES,Vitality Bee,betjoe,2020-09-19 23:00:00,+272,-435,,,,,,,,,,
2020-09-24,LFL,2020.0,summer,LDLC OL,GamersOrigin,betjoe,2020-09-19 23:00:00,-110,-125,,,,,,,,,,
2020-10-03,World Championship 2020,2020.0,summer,TES,FlyQuest,betjoe,2020-09-19 23:00:00,-833,+450,,,,,,,,,,
2020-10-03,World Championship 2020,2020.0,summer,Damwon,JDG,betjoe,2020-09-19 23:00:00,-141,+105,,,,,,,,,,
2020-10-03,World Championship 2020,2020.0,summer,Fnatic,TSM,betjoe,2020-09-19 23:00:00,-182,+133,,,,,,,,,,
2020-10-04,World Championship 2020,2020.0,summer,G2,Suning,betjoe,2020-09-19 23:00:00,-154,+114,,,,,,,,,,
