date,league_name,year,season,team_1,team_2,betting_site,saved_time,special:game_win:home,special:game_win:away,handicap:set_handicap:-2.5:home,handicap:set_handicap:+2.5:away,handicap:set_handicap:-1.5:home,handicap:set_handicap:+1.5:away,handicap:set_handicap:+1.5:home,handicap:set_handicap:-1.5:away,handicap:set_handicap:+2.5:home,handicap:set_handicap:-2.5:away,0-3,1-3,2-3,3-0,3-1,3-2,over_under:total_sets:3.5:over,over_under:total_sets:3.5:under,over_under:total_sets:4.5:over,over_under:total_sets:4.5:under,
2020-09-05,LCK,2020.0,summer,Damwon,DragonX,betjoe,2020-09-04 11:00:00,-400,+267,+218,-312,-161,+118,-1000,+509,-3333,+896,+1200,+850,+710,+210,+215,+365,-250,+176,+204,-294,
2020-09-07,LCK,2020.0,summer,Afreeca,KT,betjoe,2020-09-04 11:00:00,-213,+148,+325,-556,+100,-135,-625,+368,-5000,+996,+945,+572,+482,+308,+281,+394,-286,+200,+182,-256,
2020-09-06,LEC,2020.0,summer,G2,Rogue,betjoe,2020-09-04 11:00:00,-435,+284,+210,-303,-167,+121,-1250,+570,,,+1400,+800,+650,+220,+230,+390,-244,+174,,,
2020-09-06,LCS,2020.0,summer,TL,TSM,betjoe,2020-09-04 11:00:00,-196,+141,+364,-625,+125,-169,-455,+296,-2000,+737,+740,+490,+460,+365,+288,+342,-333,+226,+155,-217,
2020-09-05,VCS,2020.0,summer,Team Flash,GAM Esports,betjoe,2020-09-04 11:00:00,+137,-192,+698,-2000,+295,-476,-175,+126,-625,+352,+350,+275,,,+500,+450,,,+147,-208,
2020-09-05,LVP SuperLiga,2020.0,summer,Movistar Riders,G2 Arctic,betjoe,2020-09-04 11:00:00,-714,+413,+1400,-222,-238,+169,-2000,+728,,,+1700,+1300,,,+225,+430,-192,+140,+248,-370,
2020-09-06,CBLOL,2020.0,summer,PAIN,INTZ,betjoe,2020-09-04 11:00:00,-244,+169,+310,-500,+101,-139,-588,+342,,,+800,+550,+450,+312,,,-303,+203,+169,-244,
2020-09-05,TCL,2020.0,summer,5 Ronin,Papara SuperMassive,betjoe,2020-09-04 11:00:00,+352,-625,+1196,,+698,-2000,+162,-233,-233,+162,+163,+188,,,+1200,+850,-208,+147,,,
2020-09-05,LJL,2020.0,summer,Sengoku Gaming,Detonation FocusMe,betjoe,2020-09-04 11:00:00,+108,-149,+624,-1667,+232,-357,-213,+150,-769,+419,+430,+322,,,+410,+388,-333,+224,+154,-217,
2020-09-04,LDL,2020.0,summer,LGD.Y,FunPlus Phoenix Blaze,betjoe,2020-09-04 11:00:00,,,+738,-2500,+358,-667,-109,-128,-385,+241,,,,,,,,,,,
2020-09-06,LDL,2020.0,summer,IG Young,SDX Gaming,betjoe,2020-09-04 11:00:00,-294,+192,+244,-385,-139,-101,-909,+445,-5000,+887,+1000,+630,+500,+250,+250,+350,,,,,
