date,league_name,year,season,team_1,team_2,set_number,betting_site,saved_time,special:first_blood:home,special:first_blood:away,special:first_5kill:home,special:first_5kill:away,special:first_10kill:home,special:first_10kill:away
2020-09-10,European Masters,2020.0,summer,Team GamerLegion,Movistar Riders,1.0,betjoe,2020-09-07 23:00:00,-106,-135,-104,-139,+104,-152
2020-09-10,European Masters,2020.0,summer,Team GamerLegion,Movistar Riders,2.0,betjoe,2020-09-07 23:00:00,,,,,,
2020-09-10,European Masters,2020.0,summer,Team GamerLegion,Movistar Riders,3.0,betjoe,2020-09-07 23:00:00,,,,,,
2020-09-10,European Masters,2020.0,summer,SuppUp eSports,AGO ROGUE,1.0,betjoe,2020-09-07 23:00:00,+120,-172,+210,-333,+250,-417
2020-09-10,European Masters,2020.0,summer,SuppUp eSports,AGO ROGUE,2.0,betjoe,2020-09-07 23:00:00,,,,,,
2020-09-10,European Masters,2020.0,summer,SuppUp eSports,AGO ROGUE,3.0,betjoe,2020-09-07 23:00:00,,,,,,
2020-09-10,European Masters,2020.0,summer,Movistar Riders,AGO ROGUE,1.0,betjoe,2020-09-07 23:00:00,-120,-120,-120,-120,-120,-120
2020-09-10,European Masters,2020.0,summer,Movistar Riders,AGO ROGUE,2.0,betjoe,2020-09-07 23:00:00,,,,,,
2020-09-10,European Masters,2020.0,summer,Movistar Riders,AGO ROGUE,3.0,betjoe,2020-09-07 23:00:00,,,,,,
2020-09-10,European Masters,2020.0,summer,Team GamerLegion,SuppUp eSports,1.0,betjoe,2020-09-07 23:00:00,-159,+109,-250,+165,-294,+189
2020-09-10,European Masters,2020.0,summer,Team GamerLegion,SuppUp eSports,2.0,betjoe,2020-09-07 23:00:00,,,,,,
2020-09-10,European Masters,2020.0,summer,Team GamerLegion,SuppUp eSports,3.0,betjoe,2020-09-07 23:00:00,,,,,,
2020-09-10,European Masters,2020.0,summer,SuppUp eSports,Movistar Riders,1.0,betjoe,2020-09-07 23:00:00,+135,-200,+210,-333,+235,-385
2020-09-10,European Masters,2020.0,summer,SuppUp eSports,Movistar Riders,2.0,betjoe,2020-09-07 23:00:00,,,,,,
2020-09-10,European Masters,2020.0,summer,SuppUp eSports,Movistar Riders,3.0,betjoe,2020-09-07 23:00:00,,,,,,
2020-09-10,European Masters,2020.0,summer,AGO ROGUE,Team GamerLegion,1.0,betjoe,2020-09-07 23:00:00,-132,-110,-152,+104,-172,+119
