date,league_name,year,season,team_1,team_2,betting_site,saved_time,special:game_win:home,special:game_win:away,handicap:set_handicap:-2.5:home,handicap:set_handicap:+2.5:away,handicap:set_handicap:-1.5:home,handicap:set_handicap:+1.5:away,handicap:set_handicap:+1.5:home,handicap:set_handicap:-1.5:away,handicap:set_handicap:+2.5:home,handicap:set_handicap:-2.5:away,0-3,1-3,2-3,3-0,3-1,3-2,over_under:total_sets:3.5:over,over_under:total_sets:3.5:under,over_under:total_sets:4.5:over,over_under:total_sets:4.5:under,
2020-08-30,LPL,2020.0,summer,LGD,IG,betjoe,2020-08-30 11:00:00,+166,-227,+837,-2500,+337,-526,-145,+108,-526,+332,+327,+270,+342,+830,+560,+480,-303,+216,+169,-233,
2020-08-30,LCK,2020.0,summer,DragonX,GenG,betjoe,2020-08-30 11:00:00,-101,-130,+565,-1111,+208,-294,-227,+168,-833,+452,+440,+347,+388,+580,+395,+400,-333,+235,+165,-227,
2020-08-31,LEC,2020.0,summer,Rogue,MAD,betjoe,2020-08-30 11:00:00,+128,-172,+748,-2000,+269,-400,-179,+133,-667,+395,+400,+310,,,+480,+450,-323,+227,+159,-217,
2020-08-31,LCS,2020.0,summer,TL,FlyQuest,betjoe,2020-08-30 11:00:00,-286,+206,+266,-385,-115,-116,-588,+372,-3333,+901,+880,+660,+540,+265,+250,+362,,,+184,-256,
2020-08-30,VCS,2020.0,summer,Team Secret,EVOS Esports,betjoe,2020-08-30 11:00:00,+129,-175,+702,-2000,+267,-400,-185,+134,-625,+377,+380,+295,,,+460,+410,-323,+219,+157,-217,
2020-08-30,PCS,2020.0,summer,Talon Esports,Machi Esports,betjoe,2020-08-30 11:00:00,-185,+134,+371,-625,+130,-179,-417,+277,-2000,+719,+700,+480,,,+285,+342,-312,+218,+157,-217,
2020-08-31,Challengers Korea,2020.0,summer,Jin Air,Awesome Spear,betjoe,2020-08-30 11:00:00,-185,+133,+356,-625,+126,-175,-455,+285,-2500,+716,+700,+480,,,+283,+347,-333,+221,+154,-217,
2020-09-01,LVP SuperLiga,2020.0,summer,Movistar Riders,Cream Real Betis,betjoe,2020-08-30 11:00:00,-1000,+498,+1400,-185,-286,+195,-3333,+794,,,+1600,+1300,,,+205,+400,-167,+120,+254,-400,
2020-09-02,LVP SuperLiga,2020.0,summer,Giants Gaming,G2 Arctic,betjoe,2020-08-30 11:00:00,-556,+328,+195,-286,-172,+123,-1250,+545,-10000,+991,+1100,+860,,,+220,+360,-227,+159,+201,-294,
2020-09-06,CBLOL,2020.0,summer,PAIN,INTZ,betjoe,2020-08-30 11:00:00,-238,+166,+310,-500,+104,-143,-556,+336,,,+780,+540,+440,+302,,,-303,+203,+167,-238,
2020-09-05,TCL,2020.0,summer,5 Ronin,Papara SuperMassive,betjoe,2020-08-30 11:00:00,+352,-625,+1196,,+698,-2000,+162,-233,-233,+162,+163,+188,,,+1200,+850,-208,+147,,,
2020-09-05,LJL,2020.0,summer,Sengoku Gaming,Detonation FocusMe,betjoe,2020-08-30 11:00:00,+116,-161,+624,-1667,+241,-370,-204,+144,-714,+394,+390,+300,,,+430,+390,-333,+222,+154,-217,
2020-08-30,LCL,2020.0,summer,Unicorns Of Love,Gambit,betjoe,2020-08-30 11:00:00,-769,+425,+134,-185,-256,+181,-2500,+771,,+1202,+1500,+1200,,,+215,+410,-159,+117,+276,-417,
2020-09-01,LFL,2020.0,summer,Team MCES,Solary,betjoe,2020-08-30 11:00:00,+147,-208,,,,,,,,,,,,,,,,,,,
2020-09-01,LFL,2020.0,summer,IziDream,GameWard,betjoe,2020-08-30 11:00:00,+110,-152,,,,,,,,,,,,,,,,,,,
2020-09-01,LFL,2020.0,summer,LDLC OL,Vitality Bee,betjoe,2020-08-30 11:00:00,-175,+126,,,,,,,,,,,,,,,,,,,
2020-09-01,LFL,2020.0,summer,Misfits Premier,GamersOrigin,betjoe,2020-08-30 11:00:00,-125,-110,,,,,,,,,,,,,,,,,,,
2020-09-02,LFL,2020.0,summer,IziDream,Team MCES,betjoe,2020-08-30 11:00:00,-192,+137,,,,,,,,,,,,,,,,,,,
2020-09-02,LFL,2020.0,summer,LDLC OL,Solary,betjoe,2020-08-30 11:00:00,-435,+272,,,,,,,,,,,,,,,,,,,
2020-09-02,LFL,2020.0,summer,Misfits Premier,GameWard,betjoe,2020-08-30 11:00:00,-250,+174,,,,,,,,,,,,,,,,,,,
2020-09-02,LFL,2020.0,summer,Vitality Bee,GamersOrigin,betjoe,2020-08-30 11:00:00,+137,-192,,,,,,,,,,,,,,,,,,,
2020-09-03,LFL,2020.0,summer,LDLC OL,IziDream,betjoe,2020-08-30 11:00:00,-233,+162,,,,,,,,,,,,,,,,,,,
2020-09-03,LFL,2020.0,summer,Misfits Premier,Team MCES,betjoe,2020-08-30 11:00:00,-556,+328,,,,,,,,,,,,,,,,,,,
2020-09-03,LFL,2020.0,summer,Vitality Bee,Solary,betjoe,2020-08-30 11:00:00,-333,+219,,,,,,,,,,,,,,,,,,,
2020-09-03,LFL,2020.0,summer,GameWard,GamersOrigin,betjoe,2020-08-30 11:00:00,+162,-233,,,,,,,,,,,,,,,,,,,
2020-08-30,LDL,2020.0,summer,FunPlus Phoenix Blaze,TES,betjoe,2020-08-30 11:00:00,-204,+139,,,,,,,,,,,,,,,,,,,
2020-08-30,LDL,2020.0,summer,Joy Dream,SDX Gaming,betjoe,2020-08-30 11:00:00,-185,+128,,,,,,,,,,,,,,,,,,,
