date,league_name,year,season,team_1,team_2,betting_site,saved_time,special:game_win:home,special:game_win:away,handicap:set_handicap:-2.5:home,handicap:set_handicap:+2.5:away,handicap:set_handicap:-1.5:home,handicap:set_handicap:+1.5:away,handicap:set_handicap:+1.5:home,handicap:set_handicap:-1.5:away,0-3,1-3,2-3,3-0,3-1,3-2,over_under:total_sets:3.5:over,over_under:total_sets:3.5:under,over_under:total_sets:4.5:over,over_under:total_sets:4.5:under,handicap:set_handicap:+2.5:home,handicap:set_handicap:-2.5:away,
2020-09-07,LCK,2020.0,summer,Afreeca,KT,betjoe,2020-08-30 23:00:00,-250,+179,+291,-455,-106,-128,-625,+367,+850,+550,+480,+290,+260,+350,-294,+205,+176,-250,,,
2020-08-31,LEC,2020.0,summer,Rogue,MAD,betjoe,2020-08-30 23:00:00,+128,-172,+748,-2000,+272,-400,-175,+131,+400,+310,+370,+730,+480,+450,-323,+227,+159,-217,-667,+395,
2020-08-31,LCS,2020.0,summer,TL,FlyQuest,betjoe,2020-08-30 23:00:00,-227,+166,+281,-417,-106,-123,-588,+363,+850,+610,+540,+278,+255,+362,,,+184,-256,-3333,+865,
2020-08-31,Challengers Korea,2020.0,summer,Jin Air,Awesome Spear,betjoe,2020-08-30 23:00:00,-185,+134,+358,-588,+127,-172,-455,+287,+700,+480,,,+283,+347,-323,+222,+156,-217,-2000,+719,
2020-09-01,LVP SuperLiga,2020.0,summer,Movistar Riders,Cream Real Betis,betjoe,2020-08-30 23:00:00,-1000,+498,+1400,-185,-286,+195,-3333,+794,+1600,+1300,,,+205,+400,-167,+120,+254,-400,,,
2020-09-02,LVP SuperLiga,2020.0,summer,Giants Gaming,G2 Arctic,betjoe,2020-08-30 23:00:00,-556,+328,+195,-286,-172,+123,-1250,+545,+1100,+860,,,+220,+360,-227,+159,+201,-294,-10000,+991,
2020-09-06,CBLOL,2020.0,summer,PAIN,INTZ,betjoe,2020-08-30 23:00:00,-238,+166,+310,-500,+104,-143,-556,+336,+780,+540,+440,+302,,,-303,+203,+167,-238,,,
2020-09-05,TCL,2020.0,summer,5 Ronin,Papara SuperMassive,betjoe,2020-08-30 23:00:00,+352,-625,+1196,,+698,-2000,+162,-233,+163,+188,,,+1200,+850,-208,+147,,,-233,+162,
2020-09-05,LJL,2020.0,summer,Sengoku Gaming,Detonation FocusMe,betjoe,2020-08-30 23:00:00,+116,-161,+624,-1667,+241,-370,-204,+144,+390,+300,,,+430,+390,-333,+222,+154,-217,-714,+394,
2020-08-30,LCL,2020.0,summer,Unicorns Of Love,Gambit,betjoe,2020-08-30 23:00:00,-667,+386,+146,-200,-222,+160,-2000,+693,+1300,+1100,,,+220,+400,-172,+127,+237,-345,,+1202,
2020-09-01,LFL,2020.0,summer,Team MCES,Solary,betjoe,2020-08-30 23:00:00,+147,-208,,,,,,,,,,,,,,,,,,,
2020-09-01,LFL,2020.0,summer,IziDream,GameWard,betjoe,2020-08-30 23:00:00,+110,-152,,,,,,,,,,,,,,,,,,,
2020-09-01,LFL,2020.0,summer,LDLC OL,Vitality Bee,betjoe,2020-08-30 23:00:00,-175,+126,,,,,,,,,,,,,,,,,,,
2020-09-01,LFL,2020.0,summer,Misfits Premier,GamersOrigin,betjoe,2020-08-30 23:00:00,-125,-110,,,,,,,,,,,,,,,,,,,
2020-09-02,LFL,2020.0,summer,IziDream,Team MCES,betjoe,2020-08-30 23:00:00,-192,+137,,,,,,,,,,,,,,,,,,,
2020-09-02,LFL,2020.0,summer,LDLC OL,Solary,betjoe,2020-08-30 23:00:00,-435,+272,,,,,,,,,,,,,,,,,,,
2020-09-02,LFL,2020.0,summer,Misfits Premier,GameWard,betjoe,2020-08-30 23:00:00,-250,+174,,,,,,,,,,,,,,,,,,,
2020-09-02,LFL,2020.0,summer,Vitality Bee,GamersOrigin,betjoe,2020-08-30 23:00:00,+137,-192,,,,,,,,,,,,,,,,,,,
2020-09-03,LFL,2020.0,summer,LDLC OL,IziDream,betjoe,2020-08-30 23:00:00,-233,+162,,,,,,,,,,,,,,,,,,,
2020-09-03,LFL,2020.0,summer,Misfits Premier,Team MCES,betjoe,2020-08-30 23:00:00,-556,+328,,,,,,,,,,,,,,,,,,,
2020-09-03,LFL,2020.0,summer,Vitality Bee,Solary,betjoe,2020-08-30 23:00:00,-333,+219,,,,,,,,,,,,,,,,,,,
2020-09-03,LFL,2020.0,summer,GameWard,GamersOrigin,betjoe,2020-08-30 23:00:00,+162,-233,,,,,,,,,,,,,,,,,,,
