date,league_name,year,season,team_1,team_2,betting_site,saved_time,special:game_win:home,special:game_win:away,handicap:set_handicap:-2.5:home,handicap:set_handicap:+2.5:away,handicap:set_handicap:-1.5:home,handicap:set_handicap:+1.5:away,handicap:set_handicap:+1.5:home,handicap:set_handicap:-1.5:away,handicap:set_handicap:+2.5:home,handicap:set_handicap:-2.5:away,0-3,1-3,2-3,3-0,3-1,3-2,over_under:total_sets:3.5:over,over_under:total_sets:3.5:under,over_under:total_sets:4.5:over,over_under:total_sets:4.5:under,
2020-09-05,LCK,2020.0,summer,Damwon,DragonX,betjoe,2020-09-01 11:00:00,-435,+280,+208,-303,-169,+122,-1111,+539,-3333,+896,+1200,+900,+700,+205,+215,+375,-238,+170,+211,-303,
2020-09-07,LCK,2020.0,summer,Afreeca,KT,betjoe,2020-09-01 11:00:00,-312,+218,+248,-370,-130,-103,-769,+429,,,+1000,+630,+530,+250,+240,+350,-263,+186,+195,-278,
2020-09-06,LEC,2020.0,summer,G2,Rogue,betjoe,2020-09-01 11:00:00,-312,+215,+256,-385,-125,-109,-833,+446,,,+1200,+700,+550,+260,+250,+370,-278,+193,+174,-244,
2020-09-03,VCS,2020.0,summer,GAM Esports,EVOS Esports,betjoe,2020-09-01 11:00:00,-435,+279,+205,-303,-167,+120,-1250,+536,-10000,+991,+1100,+840,,,+225,+352,-238,+165,+198,-294,
2020-09-02,LVP SuperLiga,2020.0,summer,Giants Gaming,G2 Arctic,betjoe,2020-09-01 11:00:00,-526,+330,+190,-270,-175,+128,-1250,+565,-5000,+996,+1100,+860,,,+220,+360,-222,+159,+210,-303,
2020-09-06,CBLOL,2020.0,summer,PAIN,INTZ,betjoe,2020-09-01 11:00:00,-238,+166,+310,-500,+104,-143,-588,+342,,,+800,+550,+460,+307,,,-303,+203,+167,-238,
2020-09-05,TCL,2020.0,summer,5 Ronin,Papara SuperMassive,betjoe,2020-09-01 11:00:00,+352,-625,+1196,,+698,-2000,+162,-233,-233,+162,+163,+188,,,+1200,+850,-208,+147,,,
2020-09-05,LJL,2020.0,summer,Sengoku Gaming,Detonation FocusMe,betjoe,2020-09-01 11:00:00,+116,-161,+633,-1667,+241,-370,-200,+142,-714,+387,+390,+300,,,+430,+390,-333,+222,+154,-217,
2020-09-02,LFL,2020.0,summer,IziDream,Team MCES,betjoe,2020-09-01 11:00:00,-172,+127,,,,,,,,,,,,,,,,,,,
2020-09-02,LFL,2020.0,summer,LDLC OL,Solary,betjoe,2020-09-01 11:00:00,-286,+199,,,,,,,,,,,,,,,,,,,
2020-09-02,LFL,2020.0,summer,Misfits Premier,GameWard,betjoe,2020-09-01 11:00:00,-250,+176,,,,,,,,,,,,,,,,,,,
2020-09-02,LFL,2020.0,summer,Vitality Bee,GamersOrigin,betjoe,2020-09-01 11:00:00,+138,-189,,,,,,,,,,,,,,,,,,,
2020-09-03,LFL,2020.0,summer,LDLC OL,IziDream,betjoe,2020-09-01 11:00:00,-233,+162,,,,,,,,,,,,,,,,,,,
2020-09-03,LFL,2020.0,summer,Misfits Premier,Team MCES,betjoe,2020-09-01 11:00:00,-556,+328,,,,,,,,,,,,,,,,,,,
2020-09-03,LFL,2020.0,summer,Vitality Bee,Solary,betjoe,2020-09-01 11:00:00,-294,+198,,,,,,,,,,,,,,,,,,,
2020-09-03,LFL,2020.0,summer,GameWard,GamersOrigin,betjoe,2020-09-01 11:00:00,+162,-233,,,,,,,,,,,,,,,,,,,
