date,league_name,year,season,team_1,team_2,betting_site,saved_time,special:game_win:home,special:game_win:away,handicap:set_handicap:-2.5:home,handicap:set_handicap:+2.5:away,handicap:set_handicap:-1.5:home,handicap:set_handicap:+1.5:away,handicap:set_handicap:+1.5:home,handicap:set_handicap:-1.5:away,handicap:set_handicap:+2.5:home,handicap:set_handicap:-2.5:away,0-3,1-3,2-3,3-0,3-1,3-2,over_under:total_sets:3.5:over,over_under:total_sets:3.5:under,over_under:total_sets:4.5:over,over_under:total_sets:4.5:under,
2020-08-29,LPL,2020.0,summer,IG,FPX,betjoe,2020-08-28 23:00:00,-182,+135,+363,-588,+124,-167,-400,+274,-1667,+690,+690,+490,+440,+362,+305,+360,-333,+230,+165,-227,
2020-08-29,LEC,2020.0,summer,FC Schalke,MAD,betjoe,2020-08-28 23:00:00,+117,-156,+672,-1667,+242,-345,-189,+140,-667,+395,+400,+350,+400,+600,+430,+430,-312,+218,+161,-217,
2020-08-30,LEC,2020.0,summer,Fnatic,G2,betjoe,2020-08-28 23:00:00,+235,-345,,,+466,-909,+104,-141,-357,+242,+240,+230,+400,+1200,+730,+580,-250,+179,+200,-286,
2020-08-30,LCS,2020.0,summer,TSM,Cloud9,betjoe,2020-08-28 23:00:00,+236,-345,+798,-2500,+458,-833,+100,-135,-333,+229,+228,+238,+370,+1000,+750,+590,-238,+171,+196,-278,
2020-08-31,LCS,2020.0,summer,TL,FlyQuest,betjoe,2020-08-28 23:00:00,-294,+205,+264,-400,-114,-118,-625,+373,-3333,+905,+880,+660,+540,+265,+250,+362,,,+182,-256,
2020-08-29,VCS,2020.0,summer,GAM Esports,Team Flash,betjoe,2020-08-28 23:00:00,-244,+174,+280,-435,-106,-127,-588,+357,-2000,+746,+830,+580,,,+260,+347,-294,+202,+175,-244,
2020-08-30,VCS,2020.0,summer,Team Secret,EVOS Esports,betjoe,2020-08-28 23:00:00,+124,-172,+674,-2000,+258,-400,-192,+137,-714,+387,+380,+295,,,+460,+410,-333,+222,+154,-217,
2020-08-31,Challengers Korea,2020.0,summer,Jin Air,Awesome Spear,betjoe,2020-08-28 23:00:00,-192,+137,+352,-625,+126,-175,-476,+295,-2000,+698,+700,+500,,,+275,+333,,,+147,-208,
2020-09-01,LVP SuperLiga,2020.0,summer,Movistar Riders,Cream Real Betis,betjoe,2020-08-28 23:00:00,-1000,+498,+1400,-185,-286,+195,-3333,+794,,,+1600,+1300,,,+205,+400,-167,+120,+254,-400,
2020-09-02,LVP SuperLiga,2020.0,summer,Giants Gaming,G2 Arctic,betjoe,2020-08-28 23:00:00,-556,+328,+196,-286,-172,+124,-1250,+545,-10000,+991,+1100,+860,,,+220,+360,-227,+161,+200,-294,
2020-09-06,CBLOL,2020.0,summer,PAIN,INTZ,betjoe,2020-08-28 23:00:00,,,,,,,,,,,,,,,,,,,,,
2020-09-05,TCL,2020.0,summer,5 Ronin,Papara SuperMassive,betjoe,2020-08-28 23:00:00,+352,-625,+1196,,+698,-2000,+162,-233,-233,+162,+163,+188,,,+1200,+850,-208,+147,,,
2020-09-05,LJL,2020.0,summer,Sengoku Gaming,Detonation FocusMe,betjoe,2020-08-28 23:00:00,,,,,,,,,,,,,,,,,,,,,
2020-08-30,LCL,2020.0,summer,Unicorns Of Love,Gambit,betjoe,2020-08-28 23:00:00,-625,+359,+149,-208,-233,+162,-2000,+674,-10000,+991,+1300,+1100,+810,+148,+210,+388,-179,+128,+253,-385,
2020-08-30,LLA,2020.0,summer,All Knights,Rainbow7,betjoe,2020-08-28 23:00:00,-161,+116,+407,-769,+145,-204,-370,+243,-1667,+642,+630,+430,,,+310,+347,-345,+229,+153,-217,
2020-08-29,NA Academy,2020.0,summer,TSM Academy,Cloud9 Academy,betjoe,2020-08-28 23:00:00,+176,-250,+798,-2500,+354,-588,-123,-109,-476,+297,+300,+240,,,+600,+500,,,+163,-227,
2020-08-29,LDL,2020.0,summer,eStar Young,LGD.Y,betjoe,2020-08-28 23:00:00,-233,+156,,,,,,,,,,,,,,,,,,,
