date,league_name,year,season,team_1,team_2,betting_site,saved_time,special:game_win:home,special:game_win:away,handicap:set_handicap:-2.5:home,handicap:set_handicap:+2.5:away,handicap:set_handicap:-1.5:home,handicap:set_handicap:+1.5:away,handicap:set_handicap:+1.5:home,handicap:set_handicap:-1.5:away,handicap:set_handicap:+2.5:home,handicap:set_handicap:-2.5:away,0-3,1-3,2-3,3-0,3-1,3-2,over_under:total_sets:3.5:over,over_under:total_sets:3.5:under,over_under:total_sets:4.5:over,over_under:total_sets:4.5:under,
2020-08-28,LPL,2020.0,summer,Suning,LGD,betjoe,2020-08-28 11:00:00,-161,+120,+382,-625,+142,-192,-370,+250,-1429,+646,+640,+450,+440,+375,+315,+360,-333,+230,+163,-222,
2020-08-29,LPL,2020.0,summer,IG,FPX,betjoe,2020-08-28 11:00:00,,,,,,,,,,,,,,,,,,,,,
2020-08-28,LCK,2020.0,summer,GenG,Afreeca,betjoe,2020-08-28 11:00:00,,,,,,,,,,,,,,,,,,,,,
2020-08-29,LEC,2020.0,summer,FC Schalke,MAD,betjoe,2020-08-28 11:00:00,+122,-161,+690,-1667,+251,-370,-182,+135,-625,+388,+400,+340,+400,+630,+430,+450,-312,+217,+172,-238,
2020-08-30,LEC,2020.0,summer,Fnatic,G2,betjoe,2020-08-28 11:00:00,,,,,,,,,,,,,,,,,,,,,
2020-08-30,LCS,2020.0,summer,TSM,Cloud9,betjoe,2020-08-28 11:00:00,,,,,,,,,,,,,,,,,,,,,
2020-08-31,LCS,2020.0,summer,TL,FlyQuest,betjoe,2020-08-28 11:00:00,,,,,,,,,,,,,,,,,,,,,
2020-08-29,VCS,2020.0,summer,GAM Esports,Team Flash,betjoe,2020-08-28 11:00:00,-250,+173,+279,-435,-108,-128,-625,+355,-2500,+742,+830,+580,,,+260,+347,-294,+201,+174,-250,
2020-08-30,VCS,2020.0,summer,Team Secret,EVOS Esports,betjoe,2020-08-28 11:00:00,,,,,,,,,,,,,,,,,,,,,
2020-08-28,PCS,2020.0,summer,Machi Esports,Talon Esports,betjoe,2020-08-28 11:00:00,,,,,,,,,,,,,,,,,,,,,
2020-08-31,Challengers Korea,2020.0,summer,Jin Air,Awesome Spear,betjoe,2020-08-28 11:00:00,,,,,,,,,,,,,,,,,,,,,
2020-09-01,LVP SuperLiga,2020.0,summer,Movistar Riders,Cream Real Betis,betjoe,2020-08-28 11:00:00,-1000,+498,+1400,-185,-286,+195,-3333,+794,,,+1600,+1300,,,+205,+400,-167,+120,+254,-400,
2020-09-02,LVP SuperLiga,2020.0,summer,Giants Gaming,G2 Arctic,betjoe,2020-08-28 11:00:00,-556,+328,+196,-286,-172,+124,-1250,+545,-10000,+991,+1100,+860,,,+220,+360,-227,+161,+200,-294,
2020-09-06,CBLOL,2020.0,summer,PAIN,INTZ,betjoe,2020-08-28 11:00:00,-238,+166,+308,-500,+104,-143,-556,+336,,,+780,+540,+440,+302,,,-294,+202,+166,-238,
2020-08-28,OPL,2020.0,summer,Legacy Esports,ORDER,betjoe,2020-08-28 11:00:00,-385,+257,+216,-312,-147,+108,-909,+483,-2500,+798,+1000,+750,,,+223,+360,-238,+168,+211,-303,
2020-09-05,TCL,2020.0,summer,5 Ronin,Papara SuperMassive,betjoe,2020-08-28 11:00:00,+352,-625,+1196,,+698,-2000,+162,-233,-233,+162,+163,+188,,,+1200,+850,-208,+147,,,
2020-09-05,LJL,2020.0,summer,Sengoku Gaming,Detonation FocusMe,betjoe,2020-08-28 11:00:00,+116,-161,+624,-1667,+241,-370,-204,+144,-714,+397,+390,+300,,,+430,+390,-345,+228,+153,-217,
2020-08-30,LCL,2020.0,summer,Unicorns Of Love,Gambit,betjoe,2020-08-28 11:00:00,-625,+359,+149,-208,-233,+162,-2000,+674,-10000,+991,+1300,+1100,,,+210,+388,-179,+128,+253,-385,
2020-08-30,LLA,2020.0,summer,All Knights,Rainbow7,betjoe,2020-08-28 11:00:00,-161,+116,+407,-769,+145,-204,-370,+243,-1667,+642,+630,+430,,,+310,+347,-345,+229,+153,-217,
2020-08-29,NA Academy,2020.0,summer,TSM Academy,Cloud9 Academy,betjoe,2020-08-28 11:00:00,+176,-250,+798,-2500,+354,-588,-123,-109,-476,+297,+300,+240,,,+600,+500,,,+163,-227,
2020-08-28,LDL,2020.0,summer,Team WE Academy,TES,betjoe,2020-08-28 11:00:00,-263,+174,,,,,,,,,,,,,,,,,,,
2020-08-28,LDL,2020.0,summer,SDX Gaming,Dominus Esports.Y,betjoe,2020-08-28 11:00:00,-294,+192,,,,,,,,,,,,,,,,,,,
