date,league_name,year,season,team_1,team_2,betting_site,saved_time,special:game_win:home,special:game_win:away,handicap:set_handicap:-1.5:home,handicap:set_handicap:+1.5:away,handicap:set_handicap:+1.5:home,handicap:set_handicap:-1.5:away,0-2,1-2,2-0,2-1,over_under:total_sets:2.5:over,over_under:total_sets:2.5:under
2020-09-17,European Masters,2020.0,summer,AGO ROGUE,Misfits Premier,betjoe,2020-09-16 11:00:00,-256,+182,+134,-185,-769,+425,+410,+383,+133,+235,+111,-152
2020-09-17,European Masters,2020.0,summer,mousesports,K1CK Neosurf,betjoe,2020-09-16 11:00:00,-256,+182,+128,-175,-833,+438,+430,+395,+125,+223,+110,-149
