date,league_name,year,season,team_1,team_2,betting_site,saved_time,special:game_win:home,special:game_win:away
2020-10-03,World Championship 2020,2020.0,summer,TES,FlyQuest,betjoe,2020-09-24 23:00:00,-909,+471
2020-10-03,World Championship 2020,2020.0,summer,Damwon,JDG,betjoe,2020-09-24 23:00:00,-156,+116
2020-10-03,World Championship 2020,2020.0,summer,Fnatic,TSM,betjoe,2020-09-24 23:00:00,-167,+123
2020-10-04,World Championship 2020,2020.0,summer,G2,Suning,betjoe,2020-09-24 23:00:00,-154,+114
2020-10-04,World Championship 2020,2020.0,summer,Damwon,Rogue,betjoe,2020-09-24 23:00:00,-500,+310
2020-10-04,World Championship 2020,2020.0,summer,GenG,TSM,betjoe,2020-09-24 23:00:00,-286,+201
2020-10-05,World Championship 2020,2020.0,summer,G2,Machi Esports,betjoe,2020-09-24 23:00:00,-714,+399
2020-10-05,World Championship 2020,2020.0,summer,JDG,Rogue,betjoe,2020-09-24 23:00:00,-333,+228
2020-10-05,World Championship 2020,2020.0,summer,TES,DragonX,betjoe,2020-09-24 23:00:00,-238,+171
2020-10-06,World Championship 2020,2020.0,summer,Suning,Machi Esports,betjoe,2020-09-24 23:00:00,-556,+334
2020-10-06,World Championship 2020,2020.0,summer,DragonX,FlyQuest,betjoe,2020-09-24 23:00:00,-370,+244
2020-10-06,World Championship 2020,2020.0,summer,GenG,Fnatic,betjoe,2020-09-24 23:00:00,-175,+128
2020-09-25,World Championship 2020 Play-In,2020.0,summer,MAD,INTZ,betjoe,2020-09-24 23:00:00,-500,+325
2020-09-25,World Championship 2020 Play-In,2020.0,summer,Talon Esports,Rainbow7,betjoe,2020-09-24 23:00:00,-135,+101
2020-09-25,World Championship 2020 Play-In,2020.0,summer,INTZ,Legacy Esports,betjoe,2020-09-24 23:00:00,-164,+123
2020-09-25,World Championship 2020 Play-In,2020.0,summer,LGD,Talon Esports,betjoe,2020-09-24 23:00:00,-909,+462
2020-09-25,World Championship 2020 Play-In,2020.0,summer,MAD,TL,betjoe,2020-09-24 23:00:00,-159,+116
2020-09-26,World Championship 2020 Play-In,2020.0,summer,Rainbow7,V3 Esports,betjoe,2020-09-24 23:00:00,-133,-101
2020-09-26,World Championship 2020 Play-In,2020.0,summer,Papara SuperMassive,INTZ,betjoe,2020-09-24 23:00:00,-196,+143
2020-09-26,World Championship 2020 Play-In,2020.0,summer,Unicorns Of Love,V3 Esports,betjoe,2020-09-24 23:00:00,-357,+243
2020-09-26,World Championship 2020 Play-In,2020.0,summer,LGD,Rainbow7,betjoe,2020-09-24 23:00:00,-1111,+548
2020-09-26,World Championship 2020 Play-In,2020.0,summer,Unicorns Of Love,Talon Esports,betjoe,2020-09-24 23:00:00,-233,+165
2020-09-26,World Championship 2020 Play-In,2020.0,summer,MAD,Papara SuperMassive,betjoe,2020-09-24 23:00:00,-286,+201
2020-09-26,World Championship 2020 Play-In,2020.0,summer,TL,Legacy Esports,betjoe,2020-09-24 23:00:00,-526,+331
2020-09-27,World Championship 2020 Play-In,2020.0,summer,LGD,V3 Esports,betjoe,2020-09-24 23:00:00,-1429,+628
2020-09-27,World Championship 2020 Play-In,2020.0,summer,Unicorns Of Love,Rainbow7,betjoe,2020-09-24 23:00:00,-323,+219
2020-09-27,World Championship 2020 Play-In,2020.0,summer,Talon Esports,V3 Esports,betjoe,2020-09-24 23:00:00,-204,+149
2020-09-27,World Championship 2020 Play-In,2020.0,summer,LGD,Unicorns Of Love,betjoe,2020-09-24 23:00:00,-455,+283
2020-09-28,World Championship 2020 Play-In,2020.0,summer,TL,Papara SuperMassive,betjoe,2020-09-24 23:00:00,-278,+186
2020-09-28,World Championship 2020 Play-In,2020.0,summer,MAD,Legacy Esports,betjoe,2020-09-24 23:00:00,-625,+372
2020-09-28,World Championship 2020 Play-In,2020.0,summer,TL,INTZ,betjoe,2020-09-24 23:00:00,-455,+294
2020-09-28,World Championship 2020 Play-In,2020.0,summer,Papara SuperMassive,Legacy Esports,betjoe,2020-09-24 23:00:00,-250,+178
