date,league_name,year,season,team_1,team_2,betting_site,saved_time,special:game_win:home,special:game_win:away,handicap:set_handicap:-2.5:home,handicap:set_handicap:+2.5:away,handicap:set_handicap:-1.5:home,handicap:set_handicap:+1.5:away,handicap:set_handicap:+1.5:home,handicap:set_handicap:-1.5:away,handicap:set_handicap:+2.5:home,handicap:set_handicap:-2.5:away,0-3,1-3,2-3,3-0,3-1,3-2,over_under:total_sets:3.5:over,over_under:total_sets:3.5:under,over_under:total_sets:4.5:over,over_under:total_sets:4.5:under,
2020-08-28,LPL,2020.0,summer,Suning,LGD,betjoe,2020-08-27 23:00:00,-161,+121,+412,-714,+148,-200,-357,+250,-1667,+672,+660,+450,+430,+400,+315,+347,-333,+230,+156,-213,
2020-08-29,LPL,2020.0,summer,IG,FPX,betjoe,2020-08-27 23:00:00,-169,+123,+376,-625,+136,-185,-385,+257,-1667,+660,+660,+460,,,+305,+365,-333,+228,+164,-227,
2020-08-28,LCK,2020.0,summer,GenG,Afreeca,betjoe,2020-08-27 23:00:00,-1250,+591,+1400,-152,-345,+238,,,,,+2000,+1600,+1100,+113,+215,+450,-139,+104,+315,-476,
2020-08-29,LEC,2020.0,summer,FC Schalke,MAD,betjoe,2020-08-27 23:00:00,-101,-133,+602,-1429,+210,-303,-222,+161,-833,+438,+450,+370,+400,+550,+390,+430,-323,+219,+167,-233,
2020-08-30,LEC,2020.0,summer,Fnatic,G2,betjoe,2020-08-27 23:00:00,+198,-286,,,+413,-714,-115,-116,-417,+273,+270,+250,+370,+1100,+680,+550,-278,+196,+186,-263,
2020-08-30,LCS,2020.0,summer,TSM,Cloud9,betjoe,2020-08-27 23:00:00,+236,-345,+798,-2500,+458,-833,+100,-135,-333,+229,+228,+238,+370,+1000,+750,+590,-238,+171,+196,-278,
2020-08-31,LCS,2020.0,summer,TL,FlyQuest,betjoe,2020-08-27 23:00:00,-294,+205,+264,-400,-114,-118,-625,+373,-3333,+905,+880,+660,+540,+265,+250,+362,,,+182,-256,
2020-08-29,VCS,2020.0,summer,GAM Esports,Team Flash,betjoe,2020-08-27 23:00:00,-250,+173,+279,-435,-108,-128,-625,+355,-2500,+742,+830,+580,,,+260,+347,-294,+201,+174,-250,
2020-08-30,VCS,2020.0,summer,Team Secret,EVOS Esports,betjoe,2020-08-27 23:00:00,+124,-172,+674,-2000,+258,-400,-192,+137,-714,+387,+380,+295,,,+450,+410,-333,+222,+154,-217,
2020-08-28,PCS,2020.0,summer,Machi Esports,Talon Esports,betjoe,2020-08-27 23:00:00,-110,-122,+500,-1000,+186,-263,-238,+171,-833,+458,+450,+358,,,+368,+388,-333,+225,+167,-233,
2020-08-28,European Masters,2020.0,summer,Morning Stars,S04E,betjoe,2020-08-27 23:00:00,+327,-526,,,,,,,,,,,,,,,,,,,
2020-08-28,European Masters,2020.0,summer,LDLC,K1CK Neosurf,betjoe,2020-08-27 23:00:00,-189,+136,,,,,,,,,,,,,,,,,,,
2020-08-28,European Masters,2020.0,summer,WLGaming,Giants Gaming,betjoe,2020-08-27 23:00:00,,,,,,,,,,,,,,,,,,,,,
2020-08-28,European Masters,2020.0,summer,Pompa,Misfits Premier,betjoe,2020-08-27 23:00:00,,,,,,,,,,,,,,,,,,,,,
2020-08-28,European Masters,2020.0,summer,Movistar Riders,SuppUp eSports,betjoe,2020-08-27 23:00:00,,,,,,,,,,,,,,,,,,,,,
2020-08-28,European Masters,2020.0,summer,Team GamerLegion,AGO ROGUE,betjoe,2020-08-27 23:00:00,,,,,,,,,,,,,,,,,,,,,
2020-09-01,LVP SuperLiga,2020.0,summer,Movistar Riders,Cream Real Betis,betjoe,2020-08-27 23:00:00,,,,,,,,,,,,,,,,,,,,,
2020-09-02,LVP SuperLiga,2020.0,summer,Giants Gaming,G2 Arctic,betjoe,2020-08-27 23:00:00,,,,,,,,,,,,,,,,,,,,,
2020-09-06,CBLOL,2020.0,summer,PAIN,INTZ,betjoe,2020-08-27 23:00:00,,,,,,,,,,,,,,,,,,,,,
2020-08-28,OPL,2020.0,summer,Legacy Esports,ORDER,betjoe,2020-08-27 23:00:00,,,,,,,,,,,,,,,,,,,,,
2020-09-05,TCL,2020.0,summer,5 Ronin,Papara SuperMassive,betjoe,2020-08-27 23:00:00,,,,,,,,,,,,,,,,,,,,,
2020-09-05,LJL,2020.0,summer,Sengoku Gaming,Detonation FocusMe,betjoe,2020-08-27 23:00:00,,,,,,,,,,,,,,,,,,,,,
2020-08-30,LCL,2020.0,summer,Unicorns Of Love,Gambit,betjoe,2020-08-27 23:00:00,,,,,,,,,,,,,,,,,,,,,
2020-08-30,LLA,2020.0,summer,All Knights,Rainbow7,betjoe,2020-08-27 23:00:00,,,,,,,,,,,,,,,,,,,,,
2020-08-29,NA Academy,2020.0,summer,TSM Academy,Cloud9 Academy,betjoe,2020-08-27 23:00:00,,,,,,,,,,,,,,,,,,,,,
2020-08-28,LDL,2020.0,summer,Team WE Academy,TES,betjoe,2020-08-27 23:00:00,,,,,,,,,,,,,,,,,,,,,
2020-08-28,LDL,2020.0,summer,SDX Gaming,Dominus Esports.Y,betjoe,2020-08-27 23:00:00,,,,,,,,,,,,,,,,,,,,,
