date,league_name,year,season,team_1,team_2,betting_site,saved_time,special:game_win:home,special:game_win:away,handicap:set_handicap:-2.5:home,handicap:set_handicap:+2.5:away,handicap:set_handicap:-1.5:home,handicap:set_handicap:+1.5:away,handicap:set_handicap:+1.5:home,handicap:set_handicap:-1.5:away,handicap:set_handicap:+2.5:home,handicap:set_handicap:-2.5:away,0-3,1-3,2-3,3-0,3-1,3-2,over_under:total_sets:3.5:over,over_under:total_sets:3.5:under,over_under:total_sets:4.5:over,over_under:total_sets:4.5:under,
2020-09-05,LCK,2020.0,summer,Damwon,DragonX,betjoe,2020-08-31 23:00:00,-417,+275,+208,-303,-169,+122,-1111,+526,-3333,+896,+1200,+900,+700,+205,+215,+375,-238,+169,+211,-303,
2020-09-07,LCK,2020.0,summer,Afreeca,KT,betjoe,2020-08-31 23:00:00,-312,+218,+248,-370,-130,-103,-769,+429,,,+1000,+630,+530,+250,+240,+350,-263,+186,+195,-278,
2020-09-06,LEC,2020.0,summer,G2,Rogue,betjoe,2020-08-31 23:00:00,-312,+215,+253,-385,-125,-108,-769,+433,,,+1100,+650,+530,+240,+240,+350,-270,+188,+175,-244,
2020-09-03,VCS,2020.0,summer,GAM Esports,EVOS Esports,betjoe,2020-08-31 23:00:00,-500,+306,+196,-286,-182,+130,-1429,+590,-10000,+991,+1200,+900,,,+210,+352,-233,+162,+210,-312,
2020-09-01,LVP SuperLiga,2020.0,summer,Movistar Riders,Cream Real Betis,betjoe,2020-08-31 23:00:00,-1000,+500,+1400,-159,-323,+224,,,,,+1800,+1500,+1000,+115,,,-147,+108,+308,-500,
2020-09-02,LVP SuperLiga,2020.0,summer,Giants Gaming,G2 Arctic,betjoe,2020-08-31 23:00:00,-556,+328,+195,-286,-172,+124,-1250,+545,-10000,+991,+1100,+860,,,+220,+360,-227,+159,+201,-294,
2020-09-06,CBLOL,2020.0,summer,PAIN,INTZ,betjoe,2020-08-31 23:00:00,-238,+166,+310,-500,+104,-143,-556,+336,,,+780,+540,+440,+302,,,-303,+203,+167,-238,
2020-09-05,TCL,2020.0,summer,5 Ronin,Papara SuperMassive,betjoe,2020-08-31 23:00:00,+352,-625,+1196,,+698,-2000,+162,-233,-233,+162,+163,+188,,,+1200,+850,-208,+147,,,
2020-09-05,LJL,2020.0,summer,Sengoku Gaming,Detonation FocusMe,betjoe,2020-08-31 23:00:00,+116,-161,+633,-1667,+241,-370,-204,+144,-714,+387,+390,+300,,,+430,+390,-333,+222,+154,-217,
2020-09-01,LFL,2020.0,summer,Team MCES,Solary,betjoe,2020-08-31 23:00:00,+127,-172,,,,,,,,,,,,,,,,,,,
2020-09-01,LFL,2020.0,summer,IziDream,GameWard,betjoe,2020-08-31 23:00:00,+101,-137,,,,,,,,,,,,,,,,,,,
2020-09-01,LFL,2020.0,summer,LDLC OL,Vitality Bee,betjoe,2020-08-31 23:00:00,-172,+127,,,,,,,,,,,,,,,,,,,
2020-09-01,LFL,2020.0,summer,Misfits Premier,GamersOrigin,betjoe,2020-08-31 23:00:00,-137,+101,,,,,,,,,,,,,,,,,,,
2020-09-02,LFL,2020.0,summer,IziDream,Team MCES,betjoe,2020-08-31 23:00:00,-175,+126,,,,,,,,,,,,,,,,,,,
2020-09-02,LFL,2020.0,summer,LDLC OL,Solary,betjoe,2020-08-31 23:00:00,-294,+198,,,,,,,,,,,,,,,,,,,
2020-09-02,LFL,2020.0,summer,Misfits Premier,GameWard,betjoe,2020-08-31 23:00:00,-250,+174,,,,,,,,,,,,,,,,,,,
2020-09-02,LFL,2020.0,summer,Vitality Bee,GamersOrigin,betjoe,2020-08-31 23:00:00,+137,-192,,,,,,,,,,,,,,,,,,,
2020-09-03,LFL,2020.0,summer,LDLC OL,IziDream,betjoe,2020-08-31 23:00:00,-233,+162,,,,,,,,,,,,,,,,,,,
2020-09-03,LFL,2020.0,summer,Misfits Premier,Team MCES,betjoe,2020-08-31 23:00:00,-556,+328,,,,,,,,,,,,,,,,,,,
2020-09-03,LFL,2020.0,summer,Vitality Bee,Solary,betjoe,2020-08-31 23:00:00,-294,+198,,,,,,,,,,,,,,,,,,,
2020-09-03,LFL,2020.0,summer,GameWard,GamersOrigin,betjoe,2020-08-31 23:00:00,+162,-233,,,,,,,,,,,,,,,,,,,
