date,league_name,year,season,team_1,team_2,betting_site,saved_time,special:game_win:home,special:game_win:away,handicap:set_handicap:-2.5:home,handicap:set_handicap:+2.5:away,handicap:set_handicap:-1.5:home,handicap:set_handicap:+1.5:away,handicap:set_handicap:+1.5:home,handicap:set_handicap:-1.5:away,handicap:set_handicap:+2.5:home,handicap:set_handicap:-2.5:away,0-3,1-3,2-3,3-0,3-1,3-2,over_under:total_sets:3.5:over,over_under:total_sets:3.5:under,over_under:total_sets:4.5:over,over_under:total_sets:4.5:under,
2020-09-05,LCK,2020.0,summer,Damwon,DragonX,betjoe,2020-09-04 23:00:00,-417,+279,+219,-312,-161,+119,-1000,+520,-3333,+901,+1200,+850,+710,+210,+215,+365,-238,+175,+208,-294,
2020-09-07,LCK,2020.0,summer,Afreeca,KT,betjoe,2020-09-04 23:00:00,-213,+148,+325,-556,+100,-135,-625,+368,-5000,+996,+945,+572,+482,+308,+281,+394,-286,+200,+182,-256,
2020-09-06,LEC,2020.0,summer,G2,Rogue,betjoe,2020-09-04 23:00:00,-400,+263,+224,-333,-156,+114,-1111,+526,,,+1400,+800,+650,+220,+230,+390,-250,+177,,,
2020-09-06,LCS,2020.0,summer,TL,TSM,betjoe,2020-09-04 23:00:00,-196,+141,+359,-588,+125,-169,-476,+299,-2500,+755,+750,+500,+480,+360,+283,+342,-333,+226,+155,-217,
2020-09-05,VCS,2020.0,summer,Team Flash,GAM Esports,betjoe,2020-09-04 23:00:00,+136,-185,+737,-2000,+297,-476,-179,+131,-625,+364,+360,+293,,,+500,+410,-345,+235,+146,-200,
2020-09-05,LVP SuperLiga,2020.0,summer,Movistar Riders,G2 Arctic,betjoe,2020-09-04 23:00:00,-556,+341,+171,-238,-213,+154,-1667,+660,,+1202,+1500,+1200,,,+233,+420,-208,+151,+234,-345,
2020-09-06,CBLOL,2020.0,summer,PAIN,INTZ,betjoe,2020-09-04 23:00:00,-244,+169,+310,-500,+101,-139,-588,+342,,,+800,+550,+450,+312,,,-303,+203,+169,-244,
2020-09-05,TCL,2020.0,summer,5 Ronin,Papara SuperMassive,betjoe,2020-09-04 23:00:00,+352,-625,+1196,,+698,-2000,+162,-233,-233,+162,+163,+188,,,+1200,+850,-208,+147,,,
2020-09-05,LJL,2020.0,summer,Sengoku Gaming,Detonation FocusMe,betjoe,2020-09-04 23:00:00,+109,-149,+628,-1429,+234,-345,-208,+151,-769,+421,+430,+322,,,+410,+388,-333,+226,+155,-217,
2020-09-06,LDL,2020.0,summer,IG Young,SDX Gaming,betjoe,2020-09-04 23:00:00,-312,+203,+269,-435,-119,-119,-769,+396,-3333,+790,+900,+640,,,+237,+341,,,+159,-238,
