date,league_name,year,season,team_1,team_2,betting_site,saved_time,special:game_win:home,special:game_win:away,handicap:set_handicap:-2.5:home,handicap:set_handicap:+2.5:away,handicap:set_handicap:-1.5:home,handicap:set_handicap:+1.5:away,handicap:set_handicap:+1.5:home,handicap:set_handicap:-1.5:away,handicap:set_handicap:+2.5:home,handicap:set_handicap:-2.5:away,0-3,1-3,,3-1,3-2,over_under:total_sets:3.5:over,over_under:total_sets:3.5:under
2020-09-29,LFL,2020.0,summer,IziDream,LDLC OL,betjoe,2020-09-26 11:00:00,+328,-556,+991,-10000,+598,-1429,+137,-192,-294,+198,+200,+200,,+1000,+750,-233,+162
2020-10-03,World Championship 2020,2020.0,summer,TES,FlyQuest,betjoe,2020-09-26 11:00:00,-909,+471,,,,,,,,,,,,,,,
2020-10-03,World Championship 2020,2020.0,summer,Damwon,JDG,betjoe,2020-09-26 11:00:00,-161,+119,,,,,,,,,,,,,,,
2020-10-03,World Championship 2020,2020.0,summer,Fnatic,TSM,betjoe,2020-09-26 11:00:00,-159,+119,,,,,,,,,,,,,,,
2020-10-04,World Championship 2020,2020.0,summer,G2,Suning,betjoe,2020-09-26 11:00:00,-154,+114,,,,,,,,,,,,,,,
2020-10-04,World Championship 2020,2020.0,summer,Damwon,Rogue,betjoe,2020-09-26 11:00:00,-526,+324,,,,,,,,,,,,,,,
2020-10-04,World Championship 2020,2020.0,summer,GenG,TSM,betjoe,2020-09-26 11:00:00,-286,+201,,,,,,,,,,,,,,,
2020-10-05,World Championship 2020,2020.0,summer,G2,Machi Esports,betjoe,2020-09-26 11:00:00,-625,+369,,,,,,,,,,,,,,,
2020-10-05,World Championship 2020,2020.0,summer,JDG,Rogue,betjoe,2020-09-26 11:00:00,-333,+230,,,,,,,,,,,,,,,
2020-10-05,World Championship 2020,2020.0,summer,TES,DragonX,betjoe,2020-09-26 11:00:00,-238,+171,,,,,,,,,,,,,,,
2020-10-06,World Championship 2020,2020.0,summer,Suning,Machi Esports,betjoe,2020-09-26 11:00:00,-476,+307,,,,,,,,,,,,,,,
2020-10-06,World Championship 2020,2020.0,summer,DragonX,FlyQuest,betjoe,2020-09-26 11:00:00,-357,+242,,,,,,,,,,,,,,,
2020-10-06,World Championship 2020,2020.0,summer,GenG,Fnatic,betjoe,2020-09-26 11:00:00,-175,+128,,,,,,,,,,,,,,,
2020-10-08,World Championship 2020,2020.0,summer,Machi Esports,Suning,betjoe,2020-09-26 11:00:00,+354,-588,,,,,,,,,,,,,,,
2020-10-08,World Championship 2020,2020.0,summer,Machi Esports,G2,betjoe,2020-09-26 11:00:00,+401,-714,,,,,,,,,,,,,,,
2020-10-08,World Championship 2020,2020.0,summer,Suning,G2,betjoe,2020-09-26 11:00:00,+120,-164,,,,,,,,,,,,,,,
2020-10-09,World Championship 2020,2020.0,summer,Rogue,JDG,betjoe,2020-09-26 11:00:00,+274,-417,,,,,,,,,,,,,,,
2020-10-09,World Championship 2020,2020.0,summer,Rogue,Damwon,betjoe,2020-09-26 11:00:00,+330,-526,,,,,,,,,,,,,,,
2020-10-09,World Championship 2020,2020.0,summer,JDG,Damwon,betjoe,2020-09-26 11:00:00,+111,-149,,,,,,,,,,,,,,,
2020-10-10,World Championship 2020,2020.0,summer,TSM,Fnatic,betjoe,2020-09-26 11:00:00,+138,-189,,,,,,,,,,,,,,,
2020-10-10,World Championship 2020,2020.0,summer,TSM,GenG,betjoe,2020-09-26 11:00:00,+199,-286,,,,,,,,,,,,,,,
2020-10-10,World Championship 2020,2020.0,summer,Fnatic,GenG,betjoe,2020-09-26 11:00:00,+127,-172,,,,,,,,,,,,,,,
2020-10-11,World Championship 2020,2020.0,summer,FlyQuest,DragonX,betjoe,2020-09-26 11:00:00,+274,-417,,,,,,,,,,,,,,,
2020-10-11,World Championship 2020,2020.0,summer,FlyQuest,TES,betjoe,2020-09-26 11:00:00,+548,-1111,,,,,,,,,,,,,,,
2020-10-11,World Championship 2020,2020.0,summer,DragonX,TES,betjoe,2020-09-26 11:00:00,+199,-286,,,,,,,,,,,,,,,
2020-09-26,World Championship 2020 Play-In,2020.0,summer,Rainbow7,V3 Esports,betjoe,2020-09-26 11:00:00,-118,-114,,,,,,,,,,,,,,,
2020-09-26,World Championship 2020 Play-In,2020.0,summer,Papara SuperMassive,INTZ,betjoe,2020-09-26 11:00:00,-227,+166,,,,,,,,,,,,,,,
2020-09-26,World Championship 2020 Play-In,2020.0,summer,Unicorns Of Love,V3 Esports,betjoe,2020-09-26 11:00:00,-385,+262,,,,,,,,,,,,,,,
2020-09-26,World Championship 2020 Play-In,2020.0,summer,LGD,Rainbow7,betjoe,2020-09-26 11:00:00,-1000,+525,,,,,,,,,,,,,,,
2020-09-26,World Championship 2020 Play-In,2020.0,summer,Unicorns Of Love,Talon Esports,betjoe,2020-09-26 11:00:00,-127,-103,,,,,,,,,,,,,,,
2020-09-26,World Championship 2020 Play-In,2020.0,summer,MAD,Papara SuperMassive,betjoe,2020-09-26 11:00:00,-278,+194,,,,,,,,,,,,,,,
2020-09-26,World Championship 2020 Play-In,2020.0,summer,TL,Legacy Esports,betjoe,2020-09-26 11:00:00,-526,+338,,,,,,,,,,,,,,,
2020-09-27,World Championship 2020 Play-In,2020.0,summer,LGD,V3 Esports,betjoe,2020-09-26 11:00:00,-1429,+619,,,,,,,,,,,,,,,
