date,league_name,year,season,team_1,team_2,set_number,betting_site,saved_time,special:first_blood:home,special:first_blood:away,special:first_5kill:home,special:first_5kill:away,special:first_10kill:home,special:first_10kill:away
2020-09-13,European Masters,2020.0,summer,GamersOrigin,Fnatic Rising,1.0,betjoe,2020-09-12 11:00:00,-120,-120,-120,-120,-130,-111
2020-09-13,European Masters,2020.0,summer,GamersOrigin,Fnatic Rising,2.0,betjoe,2020-09-12 11:00:00,,,,,,
2020-09-13,European Masters,2020.0,summer,GamersOrigin,Fnatic Rising,3.0,betjoe,2020-09-12 11:00:00,,,,,,
2020-09-13,European Masters,2020.0,summer,mousesports,Intrepid Fox,1.0,betjoe,2020-09-12 11:00:00,-189,+129,-385,+235,-500,+286
2020-09-13,European Masters,2020.0,summer,mousesports,Intrepid Fox,2.0,betjoe,2020-09-12 11:00:00,,,,,,
2020-09-13,European Masters,2020.0,summer,mousesports,Intrepid Fox,3.0,betjoe,2020-09-12 11:00:00,,,,,,
2020-09-13,European Masters,2020.0,summer,mousesports,GamersOrigin,1.0,betjoe,2020-09-12 11:00:00,-130,-111,-120,-120,-132,-109
2020-09-13,European Masters,2020.0,summer,mousesports,GamersOrigin,2.0,betjoe,2020-09-12 11:00:00,,,,,,
2020-09-13,European Masters,2020.0,summer,mousesports,GamersOrigin,3.0,betjoe,2020-09-12 11:00:00,,,,,,
2020-09-13,European Masters,2020.0,summer,Intrepid Fox,Fnatic Rising,1.0,betjoe,2020-09-12 11:00:00,+129,-189,+210,-333,+250,-417
2020-09-13,European Masters,2020.0,summer,Intrepid Fox,Fnatic Rising,2.0,betjoe,2020-09-12 11:00:00,,,,,,
2020-09-13,European Masters,2020.0,summer,Intrepid Fox,Fnatic Rising,3.0,betjoe,2020-09-12 11:00:00,,,,,,
2020-09-13,European Masters,2020.0,summer,Intrepid Fox,GamersOrigin,1.0,betjoe,2020-09-12 11:00:00,+120,-175,+210,-333,+250,-417
2020-09-13,European Masters,2020.0,summer,Intrepid Fox,GamersOrigin,2.0,betjoe,2020-09-12 11:00:00,,,,,,
2020-09-13,European Masters,2020.0,summer,Intrepid Fox,GamersOrigin,3.0,betjoe,2020-09-12 11:00:00,,,,,,
2020-09-13,European Masters,2020.0,summer,Fnatic Rising,mousesports,1.0,betjoe,2020-09-12 11:00:00,-120,-120,+100,-143,+109,-159
2020-09-13,European Masters,2020.0,summer,Fnatic Rising,mousesports,2.0,betjoe,2020-09-12 11:00:00,,,,,,
2020-09-13,European Masters,2020.0,summer,Fnatic Rising,mousesports,3.0,betjoe,2020-09-12 11:00:00,,,,,,
