date,league_name,year,season,team_1,team_2,set_number,betting_site,saved_time,special:first_blood:home,special:first_blood:away,special:first_5kill:home,special:first_5kill:away,special:first_10kill:home,special:first_10kill:away,handicap:total_kill_handicap:-8.5:home,handicap:total_kill_handicap:+8.5:away,special:first_tower:home,special:first_tower:away,special:first_dragon:home,special:first_dragon:away,special:first_baron:home,special:first_baron:away,special:first_inhib:home,special:first_inhib:away,handicap:total_kill_handicap:-5.5:home,handicap:total_kill_handicap:+5.5:away,handicap:total_kill_handicap:-6.5:home,handicap:total_kill_handicap:+6.5:away,handicap:total_kill_handicap:-4.5:home,handicap:total_kill_handicap:+4.5:away,handicap:total_kill_handicap:-7.5:home,handicap:total_kill_handicap:+7.5:away,handicap:total_kill_handicap:-11.5:home,handicap:total_kill_handicap:+11.5:away,handicap:total_kill_handicap:-10.5:home,handicap:total_kill_handicap:+10.5:away,handicap:total_kill_handicap:-9.5:home,handicap:total_kill_handicap:+9.5:away
2020-10-05,World Championship 2020,2020.0,summer,Suning,Machi Esports,1.0,betjoe,2020-09-17 23:00:00,-164,+120,-333,+227,-400,+264,-123,-109,-233,+160,-213,+146,-294,+196,-526,+332,,,,,,,,,,,,,,
2020-10-05,World Championship 2020,2020.0,summer,Suning,Machi Esports,2.0,betjoe,2020-09-17 23:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-05,World Championship 2020,2020.0,summer,Suning,Machi Esports,3.0,betjoe,2020-09-17 23:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-05,World Championship 2020,2020.0,summer,Fnatic,TSM,1.0,betjoe,2020-09-17 23:00:00,-123,-109,-147,+108,-161,+118,,,-154,+109,-139,-101,-154,+109,-185,+139,-116,-116,,,,,,,,,,,,
2020-10-05,World Championship 2020,2020.0,summer,Fnatic,TSM,2.0,betjoe,2020-09-17 23:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-05,World Championship 2020,2020.0,summer,Fnatic,TSM,3.0,betjoe,2020-09-17 23:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-05,World Championship 2020,2020.0,summer,G2,Suning,1.0,betjoe,2020-09-17 23:00:00,-123,-109,-135,+100,-143,+105,,,-139,-101,-127,-111,-139,-101,-161,+121,+101,-137,,,,,,,,,,,,
2020-10-05,World Championship 2020,2020.0,summer,G2,Suning,2.0,betjoe,2020-09-17 23:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-05,World Championship 2020,2020.0,summer,G2,Suning,3.0,betjoe,2020-09-17 23:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-05,World Championship 2020,2020.0,summer,TES,DragonX,1.0,betjoe,2020-09-17 23:00:00,-137,+101,-182,+133,-200,+145,,,-196,+136,-167,+118,-196,+136,-278,+200,,,-123,-109,,,,,,,,,,
2020-10-05,World Championship 2020,2020.0,summer,TES,DragonX,2.0,betjoe,2020-09-17 23:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-05,World Championship 2020,2020.0,summer,TES,DragonX,3.0,betjoe,2020-09-17 23:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-05,World Championship 2020,2020.0,summer,Damwon,Rogue,1.0,betjoe,2020-09-17 23:00:00,-149,+111,-244,+173,-263,+185,-116,-116,-233,+160,-196,+136,-256,+173,-417,+275,,,,,,,,,,,,,,
2020-10-05,World Championship 2020,2020.0,summer,Damwon,Rogue,2.0,betjoe,2020-09-17 23:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-05,World Championship 2020,2020.0,summer,Damwon,Rogue,3.0,betjoe,2020-09-17 23:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-05,World Championship 2020,2020.0,summer,GenG,Fnatic,1.0,betjoe,2020-09-17 23:00:00,-123,-109,-135,+100,-143,+105,,,-154,+109,-139,-101,-154,+109,-169,+128,-109,-123,,,,,,,,,,,,
2020-10-05,World Championship 2020,2020.0,summer,GenG,Fnatic,2.0,betjoe,2020-09-17 23:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-05,World Championship 2020,2020.0,summer,GenG,Fnatic,3.0,betjoe,2020-09-17 23:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-05,World Championship 2020,2020.0,summer,Damwon,JDG,1.0,betjoe,2020-09-17 23:00:00,-116,-116,-116,-116,-120,-112,,,-127,-111,-119,-119,-127,-111,-135,+102,,,,,-116,-116,,,,,,,,
