date,league_name,year,season,team_1,team_2,set_number,betting_site,saved_time,special:first_blood:home,special:first_blood:away,special:first_5kill:home,special:first_5kill:away,special:first_10kill:home,special:first_10kill:away,handicap:total_kill_handicap:-8.5:home,handicap:total_kill_handicap:+8.5:away,special:first_tower:home,special:first_tower:away,special:first_dragon:home,special:first_dragon:away,special:first_baron:home,special:first_baron:away,special:first_inhib:home,special:first_inhib:away,handicap:total_kill_handicap:-5.5:home,handicap:total_kill_handicap:+5.5:away,handicap:total_kill_handicap:-6.5:home,handicap:total_kill_handicap:+6.5:away,handicap:total_kill_handicap:-4.5:home,handicap:total_kill_handicap:+4.5:away,handicap:total_kill_handicap:-7.5:home,handicap:total_kill_handicap:+7.5:away,handicap:total_kill_handicap:-11.5:home,handicap:total_kill_handicap:+11.5:away,handicap:total_kill_handicap:-10.5:home,handicap:total_kill_handicap:+10.5:away,handicap:total_kill_handicap:-9.5:home,handicap:total_kill_handicap:+9.5:away
2020-10-05,World Championship 2020,2020.0,summer,Damwon,JDG,2.0,betjoe,2020-09-17 23:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-05,World Championship 2020,2020.0,summer,Damwon,JDG,3.0,betjoe,2020-09-17 23:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-05,World Championship 2020,2020.0,summer,DragonX,FlyQuest,1.0,betjoe,2020-09-17 23:00:00,-149,+111,-192,+140,-270,+190,,,-213,+146,-179,+125,-233,+160,-345,+238,,,,,,,-116,-116,,,,,,
2020-10-05,World Championship 2020,2020.0,summer,DragonX,FlyQuest,2.0,betjoe,2020-09-17 23:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-05,World Championship 2020,2020.0,summer,DragonX,FlyQuest,3.0,betjoe,2020-09-17 23:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-05,World Championship 2020,2020.0,summer,TES,FlyQuest,1.0,betjoe,2020-09-17 23:00:00,-164,+120,-345,+234,-526,+326,,,-256,+173,-233,+160,-385,+245,-833,+452,,,,,,,,,-116,-116,,,,
2020-10-05,World Championship 2020,2020.0,summer,TES,FlyQuest,2.0,betjoe,2020-09-17 23:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-05,World Championship 2020,2020.0,summer,TES,FlyQuest,3.0,betjoe,2020-09-17 23:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-05,World Championship 2020,2020.0,summer,JDG,Rogue,1.0,betjoe,2020-09-17 23:00:00,-149,+111,-238,+170,-270,+190,,,-213,+146,-179,+125,-233,+160,-345,+238,,,,,,,-116,-116,,,,,,
2020-10-05,World Championship 2020,2020.0,summer,JDG,Rogue,2.0,betjoe,2020-09-17 23:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-05,World Championship 2020,2020.0,summer,JDG,Rogue,3.0,betjoe,2020-09-17 23:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-05,World Championship 2020,2020.0,summer,G2,Machi Esports,1.0,betjoe,2020-09-17 23:00:00,-164,+120,-385,+256,-455,+291,,,-256,+173,-233,+160,-385,+245,-667,+403,,,,,,,,,,,-123,-109,,
2020-10-05,World Championship 2020,2020.0,summer,G2,Machi Esports,2.0,betjoe,2020-09-17 23:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-05,World Championship 2020,2020.0,summer,G2,Machi Esports,3.0,betjoe,2020-09-17 23:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-05,World Championship 2020,2020.0,summer,GenG,TSM,1.0,betjoe,2020-09-17 23:00:00,-137,+101,-185,+135,-204,+148,,,-179,+125,-167,+118,-196,+136,-244,+177,,,-116,-116,,,,,,,,,,
2020-10-05,World Championship 2020,2020.0,summer,GenG,TSM,2.0,betjoe,2020-09-17 23:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-05,World Championship 2020,2020.0,summer,GenG,TSM,3.0,betjoe,2020-09-17 23:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-28,World Championship 2020 Play-In,2020.0,summer,LGD,Talon Esports,1.0,betjoe,2020-09-17 23:00:00,-179,+124,-345,+217,-400,+243,,,-303,+195,-263,+172,-500,+292,-1111,+492,,,,,,,,,,,-128,-112,,
2020-09-28,World Championship 2020 Play-In,2020.0,summer,LGD,Talon Esports,2.0,betjoe,2020-09-17 23:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-28,World Championship 2020 Play-In,2020.0,summer,LGD,Talon Esports,3.0,betjoe,2020-09-17 23:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-28,World Championship 2020 Play-In,2020.0,summer,Talon Esports,Rainbow7,1.0,betjoe,2020-09-17 23:00:00,-120,-120,-122,-118,-132,-109,,,-128,-112,-120,-120,-128,-112,-141,-102,,,,,-120,-120,,,,,,,,
2020-09-28,World Championship 2020 Play-In,2020.0,summer,Talon Esports,Rainbow7,2.0,betjoe,2020-09-17 23:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-28,World Championship 2020 Play-In,2020.0,summer,Talon Esports,Rainbow7,3.0,betjoe,2020-09-17 23:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-28,World Championship 2020 Play-In,2020.0,summer,Talon Esports,V3 Esports,1.0,betjoe,2020-09-17 23:00:00,-141,-102,-179,+123,-200,+136,,,-179,+124,-169,+117,-179,+124,-238,+159,,,-112,-128,,,,,,,,,,
2020-09-28,World Championship 2020 Play-In,2020.0,summer,Talon Esports,V3 Esports,2.0,betjoe,2020-09-17 23:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-28,World Championship 2020 Play-In,2020.0,summer,Talon Esports,V3 Esports,3.0,betjoe,2020-09-17 23:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-28,World Championship 2020 Play-In,2020.0,summer,Unicorns Of Love,Talon Esports,1.0,betjoe,2020-09-17 23:00:00,-141,-102,-175,+121,-196,+134,,,-179,+124,-169,+117,-179,+124,-238,+159,,,-112,-128,,,,,,,,,,
2020-09-28,World Championship 2020 Play-In,2020.0,summer,Unicorns Of Love,Talon Esports,2.0,betjoe,2020-09-17 23:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-28,World Championship 2020 Play-In,2020.0,summer,Unicorns Of Love,Talon Esports,3.0,betjoe,2020-09-17 23:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-28,World Championship 2020 Play-In,2020.0,summer,TL,Legacy Esports,1.0,betjoe,2020-09-17 23:00:00,-169,+117,-333,+211,-400,+242,-128,-112,-238,+159,-213,+145,-303,+195,-588,+324,,,,,,,,,,,,,,
2020-09-28,World Championship 2020 Play-In,2020.0,summer,TL,Legacy Esports,2.0,betjoe,2020-09-17 23:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-28,World Championship 2020 Play-In,2020.0,summer,TL,Legacy Esports,3.0,betjoe,2020-09-17 23:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-28,World Championship 2020 Play-In,2020.0,summer,MAD,Papara SuperMassive,1.0,betjoe,2020-09-17 23:00:00,-141,-102,-213,+143,-238,+159,,,-196,+134,-169,+117,-196,+134,-303,+195,,,-128,-112,,,,,,,,,,
2020-09-28,World Championship 2020 Play-In,2020.0,summer,MAD,Papara SuperMassive,2.0,betjoe,2020-09-17 23:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-28,World Championship 2020 Play-In,2020.0,summer,MAD,Papara SuperMassive,3.0,betjoe,2020-09-17 23:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-28,World Championship 2020 Play-In,2020.0,summer,MAD,Legacy Esports,1.0,betjoe,2020-09-17 23:00:00,-169,+117,-370,+229,-455,+267,,,-263,+172,-213,+145,-345,+217,-667,+348,,,,,,,,,,,,,-120,-120
2020-09-28,World Championship 2020 Play-In,2020.0,summer,MAD,Legacy Esports,2.0,betjoe,2020-09-17 23:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-28,World Championship 2020 Play-In,2020.0,summer,MAD,Legacy Esports,3.0,betjoe,2020-09-17 23:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-28,World Championship 2020 Play-In,2020.0,summer,Papara SuperMassive,Legacy Esports,1.0,betjoe,2020-09-17 23:00:00,-141,-102,-185,+127,-204,+139,,,-179,+124,-169,+117,-196,+134,-263,+172,,,-120,-120,,,,,,,,,,
2020-09-28,World Championship 2020 Play-In,2020.0,summer,Papara SuperMassive,Legacy Esports,2.0,betjoe,2020-09-17 23:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-28,World Championship 2020 Play-In,2020.0,summer,Papara SuperMassive,Legacy Esports,3.0,betjoe,2020-09-17 23:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-28,World Championship 2020 Play-In,2020.0,summer,LGD,Rainbow7,1.0,betjoe,2020-09-17 23:00:00,-169,+117,-455,+267,-556,+309,,,-263,+172,-238,+159,-400,+243,-769,+394,,,,,,,,,-120,-120,,,,
2020-09-28,World Championship 2020 Play-In,2020.0,summer,LGD,Rainbow7,2.0,betjoe,2020-09-17 23:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-28,World Championship 2020 Play-In,2020.0,summer,LGD,Rainbow7,3.0,betjoe,2020-09-17 23:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-28,World Championship 2020 Play-In,2020.0,summer,Rainbow7,V3 Esports,1.0,betjoe,2020-09-17 23:00:00,-141,-102,-159,+110,-172,+119,,,-169,+117,-156,+108,-169,+117,-213,+145,-128,-112,,,,,,,,,,,,
2020-09-28,World Championship 2020 Play-In,2020.0,summer,Rainbow7,V3 Esports,2.0,betjoe,2020-09-17 23:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-28,World Championship 2020 Play-In,2020.0,summer,Rainbow7,V3 Esports,3.0,betjoe,2020-09-17 23:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-28,World Championship 2020 Play-In,2020.0,summer,LGD,V3 Esports,1.0,betjoe,2020-09-17 23:00:00,-179,+124,-588,+320,-769,+381,,,-303,+195,-263,+172,-588,+324,-1111,+492,,,,,,,,,-141,-102,,,,
2020-09-28,World Championship 2020 Play-In,2020.0,summer,LGD,V3 Esports,2.0,betjoe,2020-09-17 23:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-28,World Championship 2020 Play-In,2020.0,summer,LGD,V3 Esports,3.0,betjoe,2020-09-17 23:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-28,World Championship 2020 Play-In,2020.0,summer,TL,INTZ,1.0,betjoe,2020-09-17 23:00:00,-156,+108,-294,+190,-333,+211,-120,-120,-238,+159,-196,+134,-263,+172,-455,+268,,,,,,,,,,,,,,
2020-09-28,World Championship 2020 Play-In,2020.0,summer,TL,INTZ,2.0,betjoe,2020-09-17 23:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-28,World Championship 2020 Play-In,2020.0,summer,TL,INTZ,3.0,betjoe,2020-09-17 23:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-28,World Championship 2020 Play-In,2020.0,summer,Unicorns Of Love,V3 Esports,1.0,betjoe,2020-09-17 23:00:00,-156,+108,-294,+191,-345,+217,-128,-112,-238,+159,-196,+134,-263,+172,-500,+292,,,,,,,,,,,,,,
2020-09-28,World Championship 2020 Play-In,2020.0,summer,Unicorns Of Love,V3 Esports,2.0,betjoe,2020-09-17 23:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-28,World Championship 2020 Play-In,2020.0,summer,Unicorns Of Love,V3 Esports,3.0,betjoe,2020-09-17 23:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-28,World Championship 2020 Play-In,2020.0,summer,INTZ,Legacy Esports,1.0,betjoe,2020-09-17 23:00:00,-128,-112,-143,-101,-154,+107,,,-156,+108,-141,-102,-156,+108,-179,+124,-112,-128,,,,,,,,,,,,
2020-09-28,World Championship 2020 Play-In,2020.0,summer,INTZ,Legacy Esports,2.0,betjoe,2020-09-17 23:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-28,World Championship 2020 Play-In,2020.0,summer,INTZ,Legacy Esports,3.0,betjoe,2020-09-17 23:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-28,World Championship 2020 Play-In,2020.0,summer,Unicorns Of Love,Rainbow7,1.0,betjoe,2020-09-17 23:00:00,-141,-102,-227,+153,-250,+166,,,-196,+134,-179,+124,-213,+145,-345,+217,,,,,,,-112,-128,,,,,,
2020-09-28,World Championship 2020 Play-In,2020.0,summer,Unicorns Of Love,Rainbow7,2.0,betjoe,2020-09-17 23:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-28,World Championship 2020 Play-In,2020.0,summer,Unicorns Of Love,Rainbow7,3.0,betjoe,2020-09-17 23:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-28,World Championship 2020 Play-In,2020.0,summer,Papara SuperMassive,INTZ,1.0,betjoe,2020-09-17 23:00:00,-128,-112,-145,+101,-161,+111,,,-156,+108,-141,-102,-156,+108,-196,+134,-120,-120,,,,,,,,,,,,
2020-09-28,World Championship 2020 Play-In,2020.0,summer,Papara SuperMassive,INTZ,2.0,betjoe,2020-09-17 23:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-28,World Championship 2020 Play-In,2020.0,summer,Papara SuperMassive,INTZ,3.0,betjoe,2020-09-17 23:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-28,World Championship 2020 Play-In,2020.0,summer,MAD,INTZ,1.0,betjoe,2020-09-17 23:00:00,-156,+108,-303,+194,-357,+223,-128,-112,-238,+159,-196,+134,-263,+172,-500,+292,,,,,,,,,,,,,,
2020-09-28,World Championship 2020 Play-In,2020.0,summer,MAD,INTZ,2.0,betjoe,2020-09-17 23:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-28,World Championship 2020 Play-In,2020.0,summer,MAD,INTZ,3.0,betjoe,2020-09-17 23:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-28,World Championship 2020 Play-In,2020.0,summer,TL,Papara SuperMassive,1.0,betjoe,2020-09-17 23:00:00,-141,-102,-189,+130,-204,+139,,,-179,+124,-169,+117,-196,+134,-263,+172,,,-120,-120,,,,,,,,,,
2020-09-28,World Championship 2020 Play-In,2020.0,summer,TL,Papara SuperMassive,2.0,betjoe,2020-09-17 23:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-28,World Championship 2020 Play-In,2020.0,summer,TL,Papara SuperMassive,3.0,betjoe,2020-09-17 23:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-28,World Championship 2020 Play-In,2020.0,summer,MAD,TL,1.0,betjoe,2020-09-17 23:00:00,-120,-120,-132,-110,-135,-106,,,-141,-102,-128,-112,-128,-112,-156,+108,,,,,-128,-112,,,,,,,,
2020-09-28,World Championship 2020 Play-In,2020.0,summer,MAD,TL,2.0,betjoe,2020-09-17 23:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-28,World Championship 2020 Play-In,2020.0,summer,MAD,TL,3.0,betjoe,2020-09-17 23:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-28,World Championship 2020 Play-In,2020.0,summer,LGD,Unicorns Of Love,1.0,betjoe,2020-09-17 23:00:00,-156,+108,-278,+181,-323,+205,-120,-120,-238,+159,-196,+134,-263,+172,-455,+268,,,,,,,,,,,,,,
2020-09-28,World Championship 2020 Play-In,2020.0,summer,LGD,Unicorns Of Love,2.0,betjoe,2020-09-17 23:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-28,World Championship 2020 Play-In,2020.0,summer,LGD,Unicorns Of Love,3.0,betjoe,2020-09-17 23:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
