date,league_name,year,match_type,team_1,team_2,win_odds_home,win_odds_away
23 Aug 2020,LCS,2020.0,Summer - Play offs,Team SoloMid,Golden Guardians,1.53,2.46
22 Aug 2020,LCS,2020.0,Summer - Play offs,Evil Geniuses,Cloud9,4.22,1.22
21 Aug 2020,LCS,2020.0,Summer - Play offs,Team Liquid,Golden Guardians,1.17,4.93
20 Aug 2020,LCS,2020.0,Summer - Play offs,Cloud9,FlyQuest eSports,1.20,4.29
16 Aug 2020,LCS,2020.0,Summer - Play offs,100 Thieves,Evil Geniuses,2.31,1.58
15 Aug 2020,LCS,2020.0,Summer - Play offs,Team SoloMid,Dignitas,1.19,4.55
14 Aug 2020,LCS,2020.0,Summer - Play offs,FlyQuest eSports,Evil Geniuses,1.34,3.17
13 Aug 2020,LCS,2020.0,Summer - Play offs,Team SoloMid,Golden Guardians,1.27,3.66
09 Aug 2020,LCS,2020.0,Summer Season,FlyQuest eSports,Immortals,1.27,3.71
09 Aug 2020,LCS,2020.0,Summer Season,Team Liquid,Team SoloMid,1.72,2.09
09 Aug 2020,LCS,2020.0,Summer Season,Counter Logic Gaming,Cloud9,6.08,1.12
09 Aug 2020,LCS,2020.0,Summer Season,100 Thieves,Evil Geniuses,2.18,1.67
08 Aug 2020,LCS,2020.0,Summer Season,FlyQuest eSports,Counter Logic Gaming,1.26,3.78
08 Aug 2020,LCS,2020.0,Summer Season,Team Liquid,Immortals,1.17,4.72
08 Aug 2020,LCS,2020.0,Summer Season,Golden Guardians,Evil Geniuses,1.72,2.09
08 Aug 2020,LCS,2020.0,Summer Season,100 Thieves,Dignitas,1.50,2.54
08 Aug 2020,LCS,2020.0,Summer Season,Golden Guardians,Team SoloMid,2.42,1.54
08 Aug 2020,LCS,2020.0,Summer Season,Dignitas,Cloud9,5.21,1.15
02 Aug 2020,LCS,2020.0,Summer Season,100 Thieves,Immortals,1.56,2.39
02 Aug 2020,LCS,2020.0,Summer Season,FlyQuest eSports,Evil Geniuses,1.73,2.06
02 Aug 2020,LCS,2020.0,Summer Season,Cloud9,Team SoloMid,1.36,3.12
02 Aug 2020,LCS,2020.0,Summer Season,Golden Guardians,Counter Logic Gaming,1.43,2.76
01 Aug 2020,LCS,2020.0,Summer Season,Dignitas,Immortals,1.80,1.97
01 Aug 2020,LCS,2020.0,Summer Season,Team Liquid,Counter Logic Gaming,1.24,3.95
01 Aug 2020,LCS,2020.0,Summer Season,Golden Guardians,Cloud9,4.47,1.20
01 Aug 2020,LCS,2020.0,Summer Season,100 Thieves,FlyQuest eSports,2.61,1.48
01 Aug 2020,LCS,2020.0,Summer Season,Team SoloMid,Evil Geniuses,1.76,2.03
01 Aug 2020,LCS,2020.0,Summer Season,Team Liquid,Dignitas,1.25,3.84
26 Jul 2020,LCS,2020.0,Summer Season,Golden Guardians,100 Thieves,1.84,1.91
26 Jul 2020,LCS,2020.0,Summer Season,Counter Logic Gaming,Team SoloMid,2.77,1.43
26 Jul 2020,LCS,2020.0,Summer Season,Cloud9,Team Liquid,1.41,2.84
26 Jul 2020,LCS,2020.0,Summer Season,Dignitas,Evil Geniuses,3.47,1.28
25 Jul 2020,LCS,2020.0,Summer Season,Immortals,Cloud9,6.23,1.11
25 Jul 2020,LCS,2020.0,Summer Season,Golden Guardians,FlyQuest eSports,2.31,1.59
25 Jul 2020,LCS,2020.0,Summer Season,Dignitas,Team SoloMid,3.07,1.36
25 Jul 2020,LCS,2020.0,Summer Season,100 Thieves,Counter Logic Gaming,1.68,2.15
25 Jul 2020,LCS,2020.0,Summer Season,FlyQuest eSports,Team Liquid,2.52,1.50
25 Jul 2020,LCS,2020.0,Summer Season,Immortals,Evil Geniuses,2.81,1.42
19 Jul 2020,LCS,2020.0,Summer Season,Dignitas,Golden Guardians,2.40,1.55
19 Jul 2020,LCS,2020.0,Summer Season,Immortals,Counter Logic Gaming,2.08,1.72
19 Jul 2020,LCS,2020.0,Summer Season,Cloud9,FlyQuest eSports,1.22,4.20
19 Jul 2020,LCS,2020.0,Summer Season,100 Thieves,Team Liquid,3.06,1.36
18 Jul 2020,LCS,2020.0,Summer Season,Golden Guardians,Immortals,1.63,2.24
18 Jul 2020,LCS,2020.0,Summer Season,FlyQuest eSports,Team SoloMid,2.04,1.75
18 Jul 2020,LCS,2020.0,Summer Season,Evil Geniuses,Cloud9,4.29,1.21
18 Jul 2020,LCS,2020.0,Summer Season,Counter Logic Gaming,Dignitas,1.62,2.25
18 Jul 2020,LCS,2020.0,Summer Season,Team Liquid,Evil Geniuses,1.55,2.38
18 Jul 2020,LCS,2020.0,Summer Season,Team SoloMid,100 Thieves,1.60,2.29
12 Jul 2020,LCS,2020.0,Summer Season,Counter Logic Gaming,Evil Geniuses,2.79,1.42
12 Jul 2020,LCS,2020.0,Summer Season,Golden Guardians,Team Liquid,2.97,1.38
12 Jul 2020,LCS,2020.0,Summer Season,100 Thieves,Cloud9,7.09,1.09
12 Jul 2020,LCS,2020.0,Summer Season,Immortals,Team SoloMid,2.98,1.36
11 Jul 2020,LCS,2020.0,Summer Season,FlyQuest eSports,Dignitas,1.17,4.71
11 Jul 2020,LCS,2020.0,Summer Season,Team Liquid,Counter Logic Gaming,1.38,2.96
11 Jul 2020,LCS,2020.0,Summer Season,Cloud9,Team SoloMid,1.29,3.43
11 Jul 2020,LCS,2020.0,Summer Season,Golden Guardians,Evil Geniuses,2.98,1.38
11 Jul 2020,LCS,2020.0,Summer Season,100 Thieves,FlyQuest eSports,3.22,1.32
11 Jul 2020,LCS,2020.0,Summer Season,Dignitas,Immortals,2.53,1.48
05 Jul 2020,LCS,2020.0,Summer Season,Immortals,Evil Geniuses,3.87,1.25
05 Jul 2020,LCS,2020.0,Summer Season,Counter Logic Gaming,Team SoloMid,2.67,1.46
05 Jul 2020,LCS,2020.0,Summer Season,FlyQuest eSports,Team Liquid,1.92,1.85
05 Jul 2020,LCS,2020.0,Summer Season,Dignitas,Cloud9,7.80,1.08
04 Jul 2020,LCS,2020.0,Summer Season,Team Liquid,Immortals,1.21,4.29
