date,league_name,year,match_type,team_1,team_2,win_odds_home,win_odds_away
17 Jul 2019,LPL,2019.0,Summer Season,Oh My God,LNG Esports,3.61,1.27
17 Jul 2019,LPL,2019.0,Summer Season,EDward Gaming,Victory Five,1.29,3.38
16 Jul 2019,LPL,2019.0,Summer Season,Bilibili Gaming,JD Gaming,1.98,1.89
16 Jul 2019,LPL,2019.0,Summer Season,Team WE,Dominus Esports,1.43,2.71
15 Jul 2019,LPL,2019.0,Summer Season,Vici Gaming,Invictus Gaming,7.94,1.07
15 Jul 2019,LPL,2019.0,Summer Season,Victory Five,Rogue Warriors,1.66,2.13
14 Jul 2019,LPL,2019.0,Summer Season,LNG Esports,EDward Gaming,1.97,1.74
14 Jul 2019,LPL,2019.0,Summer Season,Top Esports,JD Gaming,1.33,4.53
13 Jul 2019,LPL,2019.0,Summer Season,Oh My God,Invictus Gaming,5.94,1.12
13 Jul 2019,LPL,2019.0,Summer Season,FunPlus Phoenix,Vici Gaming,1.07,7.56
12 Jul 2019,LPL,2019.0,Summer Season,Dominus Esports,Bilibili Gaming,4.47,1.21
12 Jul 2019,LPL,2019.0,Summer Season,JD Gaming,Team WE,1.47,2.59
30 Jun 2019,LPL,2019.0,Summer Season,Oh My God,Royal Never Give Up,5.40,1.13
30 Jun 2019,LPL,2019.0,Summer Season,LGD Gaming,EDward Gaming,3.35,1.30
29 Jun 2019,LPL,2019.0,Summer Season,Invictus Gaming,JD Gaming,1.43,2.70
29 Jun 2019,LPL,2019.0,Summer Season,Top Esports,Team WE,1.23,3.86
28 Jun 2019,LPL,2019.0,Summer Season,Rogue Warriors,LNG Esports,5.31,1.14
28 Jun 2019,LPL,2019.0,Summer Season,Bilibili Gaming,Suning,1.96,1.79
26 Jun 2019,LPL,2019.0,Summer Season,Victory Five,FunPlus Phoenix,5.87,1.12
26 Jun 2019,LPL,2019.0,Summer Season,Vici Gaming,Dominus Esports,2.89,1.38
25 Jun 2019,LPL,2019.0,Summer Season,Rogue Warriors,EDward Gaming,6.62,1.10
25 Jun 2019,LPL,2019.0,Summer Season,LGD Gaming,LNG Esports,3.09,1.35
24 Jun 2019,LPL,2019.0,Summer Season,Invictus Gaming,Suning,1.31,3.33
24 Jun 2019,LPL,2019.0,Summer Season,Bilibili Gaming,Top Esports,3.06,1.36
23 Jun 2019,LPL,2019.0,Summer Season,FunPlus Phoenix,Royal Never Give Up,1.94,1.80
23 Jun 2019,LPL,2019.0,Summer Season,Victory Five,Oh My God,1.75,2.01
22 Jun 2019,LPL,2019.0,Summer Season,Invictus Gaming,Top Esports,2.05,1.73
22 Jun 2019,LPL,2019.0,Summer Season,JD Gaming,Vici Gaming,1.19,4.43
21 Jun 2019,LPL,2019.0,Summer Season,EDward Gaming,Team WE,1.16,4.77
21 Jun 2019,LPL,2019.0,Summer Season,Bilibili Gaming,LNG Esports,2.82,1.40
19 Jun 2019,LPL,2019.0,Summer Season,LNG Esports,Team WE,1.23,3.97
19 Jun 2019,LPL,2019.0,Summer Season,Oh My God,Rogue Warriors,1.57,2.29
18 Jun 2019,LPL,2019.0,Summer Season,FunPlus Phoenix,LGD Gaming,1.09,6.80
18 Jun 2019,LPL,2019.0,Summer Season,Dominus Esports,Suning,2.32,1.57
17 Jun 2019,LPL,2019.0,Summer Season,Top Esports,Rogue Warriors,1.11,6.11
17 Jun 2019,LPL,2019.0,Summer Season,Vici Gaming,Victory Five,2.36,1.55
16 Jun 2019,LPL,2019.0,Summer Season,Suning,JD Gaming,1.74,2.03
16 Jun 2019,LPL,2019.0,Summer Season,FunPlus Phoenix,Team WE,1.11,5.91
15 Jun 2019,LPL,2019.0,Summer Season,Invictus Gaming,EDward Gaming,3.85,1.24
15 Jun 2019,LPL,2019.0,Summer Season,Vici Gaming,Royal Never Give Up,7.46,1.07
14 Jun 2019,LPL,2019.0,Summer Season,Oh My God,LGD Gaming,1.66,2.15
14 Jun 2019,LPL,2019.0,Summer Season,Dominus Esports,Top Esports,3.41,1.29
12 Jun 2019,LPL,2019.0,Summer Season,Bilibili Gaming,EDward Gaming,3.01,1.36
12 Jun 2019,LPL,2019.0,Summer Season,Suning,Team WE,1.65,2.16
11 Jun 2019,LPL,2019.0,Summer Season,FunPlus Phoenix,Rogue Warriors,1.09,6.30
11 Jun 2019,LPL,2019.0,Summer Season,Dominus Esports,LNG Esports,2.13,1.67
10 Jun 2019,LPL,2019.0,Summer Season,Invictus Gaming,Victory Five,1.07,7.76
10 Jun 2019,LPL,2019.0,Summer Season,Oh My God,Bilibili Gaming,2.86,1.40
09 Jun 2019,LPL,2019.0,Summer Season,EDward Gaming,JD Gaming,1.47,2.59
09 Jun 2019,LPL,2019.0,Summer Season,Suning,LGD Gaming,1.62,2.22
08 Jun 2019,LPL,2019.0,Summer Season,Rogue Warriors,Royal Never Give Up,6.85,1.09
08 Jun 2019,LPL,2019.0,Summer Season,Vici Gaming,Top Esports,7.23,1.08
07 Jun 2019,LPL,2019.0,Summer Season,Invictus Gaming,LNG Esports,1.13,5.49
07 Jun 2019,LPL,2019.0,Summer Season,Bilibili Gaming,FunPlus Phoenix,3.41,1.30
06 Jun 2019,LPL,2019.0,Summer Season,Team WE,Oh My God,1.26,3.64
06 Jun 2019,LPL,2019.0,Summer Season,LGD Gaming,Royal Never Give Up,5.53,1.13
05 Jun 2019,LPL,2019.0,Summer Season,LNG Esports,JD Gaming,3.93,1.23
05 Jun 2019,LPL,2019.0,Summer Season,Bilibili Gaming,Victory Five,1.20,4.30
03 Jun 2019,LPL,2019.0,Summer Season,Invictus Gaming,Dominus Esports,1.21,4.20
03 Jun 2019,LPL,2019.0,Summer Season,Suning,Vici Gaming,1.25,3.79
02 Jun 2019,LPL,2019.0,Summer Season,Team WE,Royal Never Give Up,2.89,1.40
02 Jun 2019,LPL,2019.0,Summer Season,LGD Gaming,Victory Five,1.38,2.92
01 Jun 2019,LPL,2019.0,Summer Season,JD Gaming,FunPlus Phoenix,2.64,1.46
01 Jun 2019,LPL,2019.0,Summer Season,Dominus Esports,EDward Gaming,1.86,1.91
21 Apr 2019,LPL,2019.0,Spring - Play Offs,Invictus Gaming,JD Gaming,1.19,4.50
17 Apr 2019,LPL,2019.0,Spring - Play Offs,FunPlus Phoenix,Top Esports,1.58,2.30
14 Apr 2019,LPL,2019.0,Spring - Play Offs,Invictus Gaming,Top Esports,1.30,3.40
13 Apr 2019,LPL,2019.0,Spring - Play Offs,FunPlus Phoenix,JD Gaming,1.36,3.04
07 Apr 2019,LPL,2019.0,Spring - Play Offs,Dominus Esports,Top Esports,2.62,1.47
06 Apr 2019,LPL,2019.0,Spring - Play Offs,Royal Never Give Up,JD Gaming,1.34,3.12
05 Apr 2019,LPL,2019.0,Spring - Play Offs,Dominus Esports,EDward Gaming,2.68,1.44
04 Apr 2019,LPL,2019.0,Spring - Play Offs,Team WE,JD Gaming,1.37,2.95
31 Mar 2019,LPL,2019.0,Spring Season,JD Gaming,Team WE,1.81,1.95
31 Mar 2019,LPL,2019.0,Spring Season,Oh My God,Vici Gaming,1.58,2.28
31 Mar 2019,LPL,2019.0,Spring Season,Suning,Dominus Esports,2.25,1.60
30 Mar 2019,LPL,2019.0,Spring Season,Invictus Gaming,EDward Gaming,1.43,2.70
30 Mar 2019,LPL,2019.0,Spring Season,Top Esports,Bilibili Gaming,1.56,2.50
30 Mar 2019,LPL,2019.0,Spring Season,FunPlus Phoenix,Victory Five,1.12,5.66
29 Mar 2019,LPL,2019.0,Spring Season,LGD Gaming,LNG Esports,1.88,1.88
29 Mar 2019,LPL,2019.0,Spring Season,Rogue Warriors,Team WE,5.00,1.16
27 Mar 2019,LPL,2019.0,Spring Season,Oh My God,Royal Never Give Up,5.39,1.14
27 Mar 2019,LPL,2019.0,Spring Season,FunPlus Phoenix,Vici Gaming,1.08,7.05
26 Mar 2019,LPL,2019.0,Spring Season,JD Gaming,LGD Gaming,1.24,3.87
26 Mar 2019,LPL,2019.0,Spring Season,Bilibili Gaming,Invictus Gaming,5.05,1.15
25 Mar 2019,LPL,2019.0,Spring Season,Royal Never Give Up,Dominus Esports,1.23,3.94
25 Mar 2019,LPL,2019.0,Spring Season,EDward Gaming,Victory Five,1.14,5.34
24 Mar 2019,LPL,2019.0,Spring Season,Rogue Warriors,Oh My God,1.58,2.30
24 Mar 2019,LPL,2019.0,Spring Season,Vici Gaming,Team WE,3.81,1.24
24 Mar 2019,LPL,2019.0,Spring Season,FunPlus Phoenix,Bilibili Gaming,1.35,3.07
23 Mar 2019,LPL,2019.0,Spring Season,Royal Never Give Up,Invictus Gaming,2.36,1.54
23 Mar 2019,LPL,2019.0,Spring Season,EDward Gaming,Top Esports,2.68,1.44
23 Mar 2019,LPL,2019.0,Spring Season,Suning,Victory Five,1.52,2.46
22 Mar 2019,LPL,2019.0,Spring Season,LNG Esports,Oh My God,1.43,2.71
22 Mar 2019,LPL,2019.0,Spring Season,Dominus Esports,LGD Gaming,1.46,2.65
20 Mar 2019,LPL,2019.0,Spring Season,Royal Never Give Up,JD Gaming,1.45,2.66
20 Mar 2019,LPL,2019.0,Spring Season,EDward Gaming,Bilibili Gaming,1.62,2.25
19 Mar 2019,LPL,2019.0,Spring Season,Team WE,Top Esports,3.76,1.25
19 Mar 2019,LPL,2019.0,Spring Season,Victory Five,Dominus Esports,2.33,1.57
18 Mar 2019,LPL,2019.0,Spring Season,JD Gaming,LNG Esports,1.23,4.02
18 Mar 2019,LPL,2019.0,Spring Season,Rogue Warriors,Vici Gaming,1.63,2.22
17 Mar 2019,LPL,2019.0,Spring Season,FunPlus Phoenix,Dominus Esports,1.14,5.16
17 Mar 2019,LPL,2019.0,Spring Season,Royal Never Give Up,Bilibili Gaming,1.29,3.43
17 Mar 2019,LPL,2019.0,Spring Season,LGD Gaming,Oh My God,1.56,2.35
16 Mar 2019,LPL,2019.0,Spring Season,JD Gaming,Suning,1.55,2.40
16 Mar 2019,LPL,2019.0,Spring Season,Rogue Warriors,Top Esports,7.92,1.07
16 Mar 2019,LPL,2019.0,Spring Season,Victory Five,Team WE,1.89,1.87
15 Mar 2019,LPL,2019.0,Spring Season,Invictus Gaming,Vici Gaming,1.06,8.01
15 Mar 2019,LPL,2019.0,Spring Season,EDward Gaming,FunPlus Phoenix,2.36,1.56
13 Mar 2019,LPL,2019.0,Spring Season,Royal Never Give Up,Rogue Warriors,1.06,8.16
13 Mar 2019,LPL,2019.0,Spring Season,LNG Esports,Victory Five,2.39,1.54
12 Mar 2019,LPL,2019.0,Spring Season,Suning,Top Esports,4.34,1.19
