date,league_name,year,match_type,team_1,team_2,win_odds_home,win_odds_away
23 Mar 2019,LCL,2019.0,Spring Season,M19,Elements Pro Gaming,3.76,1.23
17 Mar 2019,LCL,2019.0,Spring Season,Team Just,RoX,1.96,1.75
17 Mar 2019,LCL,2019.0,Spring Season,Vaevictis eSports,Gambit Esports,7.57,1.05
17 Mar 2019,LCL,2019.0,Spring Season,Elements Pro Gaming,Vega Squadron,1.57,2.25
17 Mar 2019,LCL,2019.0,Spring Season,Dragon Army,M19,1.85,1.85
16 Mar 2019,LCL,2019.0,Spring Season,Vega Squadron,Gambit Esports,2.16,1.62
16 Mar 2019,LCL,2019.0,Spring Season,M19,Vaevictis eSports,1.03,9.59
16 Mar 2019,LCL,2019.0,Spring Season,RoX,Elements Pro Gaming,3.48,1.27
16 Mar 2019,LCL,2019.0,Spring Season,Team Just,Dragon Army,4.05,1.20
03 Mar 2019,LCL,2019.0,Spring Season,RoX,Dragon Army,2.33,1.53
03 Mar 2019,LCL,2019.0,Spring Season,Gambit Esports,M19,1.34,3.03
03 Mar 2019,LCL,2019.0,Spring Season,Elements Pro Gaming,Team Just,1.35,2.94
03 Mar 2019,LCL,2019.0,Spring Season,Vega Squadron,Vaevictis eSports,1.01,14.88
02 Mar 2019,LCL,2019.0,Spring Season,M19,Dragon Army,1.85,1.86
02 Mar 2019,LCL,2019.0,Spring Season,RoX,Gambit Esports,2.99,1.35
02 Mar 2019,LCL,2019.0,Spring Season,Vaevictis eSports,Team Just,10.47,1.02
02 Mar 2019,LCL,2019.0,Spring Season,Vega Squadron,Elements Pro Gaming,1.76,1.96
24 Feb 2019,LCL,2019.0,Spring Season,Vega Squadron,M19,1.54,2.38
24 Feb 2019,LCL,2019.0,Spring Season,Dragon Army,Elements Pro Gaming,1.59,2.27
24 Feb 2019,LCL,2019.0,Spring Season,Gambit Esports,Vega Squadron,1.40,2.81
24 Feb 2019,LCL,2019.0,Spring Season,Gambit Esports,Vaevictis eSports,1.02,10.71
24 Feb 2019,LCL,2019.0,Spring Season,RoX,Team Just,1.63,2.17
23 Feb 2019,LCL,2019.0,Spring Season,Dragon Army,Vega Squadron,1.68,2.05
23 Feb 2019,LCL,2019.0,Spring Season,M19,RoX,1.69,2.04
23 Feb 2019,LCL,2019.0,Spring Season,Team Just,Gambit Esports,2.93,1.35
23 Feb 2019,LCL,2019.0,Spring Season,Elements Pro Gaming,Vaevictis eSports,1.04,8.24
17 Feb 2019,LCL,2019.0,Spring Season,Dragon Army,RoX,1.43,2.60
17 Feb 2019,LCL,2019.0,Spring Season,M19,Gambit Esports,2.50,1.46
17 Feb 2019,LCL,2019.0,Spring Season,Vaevictis eSports,Dragon Army,11.50,1.01
17 Feb 2019,LCL,2019.0,Spring Season,Elements Pro Gaming,Gambit Esports,2.97,1.35
17 Feb 2019,LCL,2019.0,Spring Season,Vaevictis eSports,Vega Squadron,14.00,1.01
17 Feb 2019,LCL,2019.0,Spring Season,Team Just,Elements Pro Gaming,1.54,2.30
16 Feb 2019,LCL,2019.0,Spring Season,RoX,Vega Squadron,2.61,1.46
16 Feb 2019,LCL,2019.0,Spring Season,Elements Pro Gaming,M19,3.78,1.23
16 Feb 2019,LCL,2019.0,Spring Season,Vega Squadron,Team Just,1.52,2.37
16 Feb 2019,LCL,2019.0,Spring Season,RoX,Vaevictis eSports,1.18,4.48
16 Feb 2019,LCL,2019.0,Spring Season,Team Just,M19,2.88,1.33
16 Feb 2019,LCL,2019.0,Spring Season,Gambit Esports,Dragon Army,1.32,2.90
