date,league_name,year,match_type,team_1,team_2,win_odds_home,win_odds_away
02 Sep 2017,CBLOL,2017.0,Summer - Play offs,paiN Gaming,Team oNe eSports,1.71,2.08
20 Aug 2017,CBLOL,2017.0,Summer - Play offs,RED Canids,Team oNe eSports,1.49,2.49
19 Aug 2017,CBLOL,2017.0,Summer - Play offs,INTZ-eSports,paiN Gaming,1.34,3.11
23 Jul 2017,CBLOL,2017.0,Summer Season,INTZ-eSports,Vivo Keyd,1.62,2.20
23 Jul 2017,CBLOL,2017.0,Summer Season,Team oNe eSports,paiN Gaming,2.25,1.60
22 Jul 2017,CBLOL,2017.0,Summer Season,RED Canids,T Show,-,25.00
22 Jul 2017,CBLOL,2017.0,Summer Season,ProGaming e-Sports,CNB e-Sports,1.27,3.54
16 Jul 2017,CBLOL,2017.0,Summer Season,Team oNe eSports,RED Canids,-,-
16 Jul 2017,CBLOL,2017.0,Summer Season,CNB e-Sports,T Show,-,-
15 Jul 2017,CBLOL,2017.0,Summer Season,ProGaming e-Sports,INTZ-eSports,2.31,1.60
15 Jul 2017,CBLOL,2017.0,Summer Season,paiN Gaming,Vivo Keyd,2.73,1.46
02 Jul 2017,CBLOL,2017.0,Summer Season,paiN Gaming,ProGaming e-Sports,-,-
02 Jul 2017,CBLOL,2017.0,Summer Season,INTZ-eSports,T Show,-,-
01 Jul 2017,CBLOL,2017.0,Summer Season,CNB e-Sports,Team oNe eSports,-,-
01 Jul 2017,CBLOL,2017.0,Summer Season,Vivo Keyd,RED Canids,1.80,1.95
25 Jun 2017,CBLOL,2017.0,Summer Season,INTZ-eSports,paiN Gaming,-,-
25 Jun 2017,CBLOL,2017.0,Summer Season,Vivo Keyd,ProGaming e-Sports,-,-
24 Jun 2017,CBLOL,2017.0,Summer Season,RED Canids,CNB e-Sports,1.40,2.80
24 Jun 2017,CBLOL,2017.0,Summer Season,T Show,Team oNe eSports,-,-
18 Jun 2017,CBLOL,2017.0,Summer Season,paiN Gaming,CNB e-Sports,-,-
18 Jun 2017,CBLOL,2017.0,Summer Season,Vivo Keyd,T Show,1.15,5.00
17 Jun 2017,CBLOL,2017.0,Summer Season,RED Canids,INTZ-eSports,2.00,1.75
10 Jun 2017,CBLOL,2017.0,Summer Season,INTZ-eSports,Team oNe eSports,1.37,2.90
10 Jun 2017,CBLOL,2017.0,Summer Season,Vivo Keyd,CNB e-Sports,1.62,2.20
04 Jun 2017,CBLOL,2017.0,Summer Season,CNB e-Sports,INTZ-eSports,-,-
08 Apr 2017,CBLOL,2017.0,Spring - Play Offs,Vivo Keyd,RED Canids,2.16,1.65
26 Mar 2017,CBLOL,2017.0,Spring - Play Offs,RED Canids,paiN Gaming,1.93,1.80
25 Mar 2017,CBLOL,2017.0,Spring - Play Offs,INTZ-eSports,Vivo Keyd,1.62,2.24
12 Mar 2017,CBLOL,2017.0,Spring Season,Vivo Keyd,RED Canids,-,-
11 Mar 2017,CBLOL,2017.0,Spring Season,CNB e-Sports,Operation Kino,1.30,3.30
11 Mar 2017,CBLOL,2017.0,Spring Season,KaBuM! e-Sports,INTZ-eSports,4.00,1.22
05 Mar 2017,CBLOL,2017.0,Spring Season,CNB e-Sports,Vivo Keyd,-,-
05 Mar 2017,CBLOL,2017.0,Spring Season,KaBuM! e-Sports,Remo Brave eSports,-,-
04 Mar 2017,CBLOL,2017.0,Spring Season,INTZ-eSports,Operation Kino,-,-
04 Mar 2017,CBLOL,2017.0,Spring Season,paiN Gaming,RED Canids,-,-
19 Feb 2017,CBLOL,2017.0,Spring Season,paiN Gaming,KaBuM! e-Sports,1.25,3.70
19 Feb 2017,CBLOL,2017.0,Spring Season,Operation Kino,RED Canids,4.50,1.18
18 Feb 2017,CBLOL,2017.0,Spring Season,CNB e-Sports,Remo Brave eSports,1.22,4.00
18 Feb 2017,CBLOL,2017.0,Spring Season,INTZ-eSports,Vivo Keyd,3.20,1.32
12 Feb 2017,CBLOL,2017.0,Spring Season,INTZ-eSports,paiN Gaming,-,-
12 Feb 2017,CBLOL,2017.0,Spring Season,Vivo Keyd,KaBuM! e-Sports,-,-
11 Feb 2017,CBLOL,2017.0,Spring Season,RED Canids,CNB e-Sports,1.90,1.82
11 Feb 2017,CBLOL,2017.0,Spring Season,Operation Kino,Remo Brave eSports,2.10,1.67
05 Feb 2017,CBLOL,2017.0,Spring Season,Vivo Keyd,Operation Kino,1.38,2.90
05 Feb 2017,CBLOL,2017.0,Spring Season,Remo Brave eSports,INTZ-eSports,2.20,1.62
04 Feb 2017,CBLOL,2017.0,Spring Season,RED Canids,KaBuM! e-Sports,1.26,3.60
04 Feb 2017,CBLOL,2017.0,Spring Season,CNB e-Sports,paiN Gaming,1.87,1.87
29 Jan 2017,CBLOL,2017.0,Spring Season,KaBuM! e-Sports,CNB e-Sports,4.61,1.20
21 Jan 2017,CBLOL,2017.0,Spring Season,INTZ-eSports,CNB e-Sports,3.60,1.26
