match_id,set_number,set_match_id,league_id,year,season,date,home_team_id,away_team_id,tiebreaker,match_round,team_1,team_2,league_name,ckpm,game_length
1,1,1,5,2020,spring,2020-01-21,384,407,0,1,Brussels Guardians,RSCA,BL,,
2,1,2,5,2020,spring,2020-01-21,344,433,0,1,Sector One,Timeout Esports,BL,,
3,1,3,5,2020,spring,2020-01-21,384,364,0,1,Brussels Guardians,KV Mechelen,BL,,
4,1,4,5,2020,spring,2020-01-21,344,273,0,1,Sector One,Aethra,BL,,
5,1,5,5,2020,spring,2020-01-28,433,364,0,2,Timeout Esports,KV Mechelen,BL,,
6,1,6,5,2020,spring,2020-01-28,407,273,0,2,RSCA,Aethra,BL,,
7,1,7,5,2020,spring,2020-01-28,433,384,0,2,Timeout Esports,Brussels Guardians,BL,,
8,1,8,5,2020,spring,2020-01-28,407,344,0,2,RSCA,Sector One,BL,,
9,1,9,5,2020,spring,2020-02-04,364,344,0,3,KV Mechelen,Sector One,BL,,
10,1,10,5,2020,spring,2020-02-04,273,384,0,3,Aethra,Brussels Guardians,BL,,
11,1,11,5,2020,spring,2020-02-04,364,407,0,3,KV Mechelen,RSCA,BL,,
12,1,12,5,2020,spring,2020-02-04,273,433,0,3,Aethra,Timeout Esports,BL,,
13,1,13,5,2020,spring,2020-02-11,384,344,0,4,Brussels Guardians,Sector One,BL,,
14,1,14,5,2020,spring,2020-02-11,364,273,0,4,KV Mechelen,Aethra,BL,,
15,1,15,5,2020,spring,2020-02-11,407,433,0,4,RSCA,Timeout Esports,BL,,
16,1,16,5,2020,spring,2020-03-12,344,433,0,5,Sector One,Timeout Esports,BL,,
17,1,17,5,2020,spring,2020-03-12,384,364,0,5,Brussels Guardians,KV Mechelen,BL,,
18,1,18,5,2020,spring,2020-03-12,344,273,0,5,Sector One,Aethra,BL,,
19,1,19,5,2020,spring,2020-03-12,384,407,0,5,Brussels Guardians,RSCA,BL,,
20,1,20,5,2020,spring,2020-02-25,407,344,0,6,RSCA,Sector One,BL,,
21,1,21,5,2020,spring,2020-02-25,433,384,0,6,Timeout Esports,Brussels Guardians,BL,,
22,1,22,5,2020,spring,2020-02-25,407,273,0,6,RSCA,Aethra,BL,,
23,1,23,5,2020,spring,2020-02-25,433,364,0,6,Timeout Esports,KV Mechelen,BL,,
24,1,24,5,2020,spring,2020-03-03,273,433,0,7,Aethra,Timeout Esports,BL,,
25,1,25,5,2020,spring,2020-03-03,364,407,0,7,KV Mechelen,RSCA,BL,,
26,1,26,5,2020,spring,2020-03-03,273,384,0,7,Aethra,Brussels Guardians,BL,,
27,1,27,5,2020,spring,2020-03-03,364,344,0,7,KV Mechelen,Sector One,BL,,
28,1,28,5,2020,spring,2020-03-10,407,433,0,8,RSCA,Timeout Esports,BL,,
29,1,29,5,2020,spring,2020-03-10,364,273,0,8,KV Mechelen,Aethra,BL,,
30,1,30,5,2020,spring,2020-03-10,384,344,0,8,Brussels Guardians,Sector One,BL,,
31,1,31,5,2020,summer,2020-06-02,344,384,0,1,Sector One,Brussels Guardians,BL,,
32,1,32,5,2020,summer,2020-06-02,407,364,0,1,RSCA,KV Mechelen,BL,,
33,1,33,5,2020,summer,2020-06-02,344,273,0,1,Sector One,Aethra,BL,,
34,1,34,5,2020,summer,2020-06-02,407,287,0,1,RSCA,Team 7AM,BL,,
35,1,35,5,2020,summer,2020-06-09,364,273,0,2,KV Mechelen,Aethra,BL,,
36,1,36,5,2020,summer,2020-06-09,384,287,0,2,Brussels Guardians,Team 7AM,BL,,
37,1,37,5,2020,summer,2020-06-09,364,344,0,2,KV Mechelen,Sector One,BL,,
38,1,38,5,2020,summer,2020-06-09,384,407,0,2,Brussels Guardians,RSCA,BL,,
39,1,39,5,2020,summer,2020-06-16,273,407,0,3,Aethra,RSCA,BL,,
40,1,40,5,2020,summer,2020-06-16,287,344,0,3,Team 7AM,Sector One,BL,,
41,1,41,5,2020,summer,2020-06-16,273,384,0,3,Aethra,Brussels Guardians,BL,,
42,1,42,5,2020,summer,2020-06-16,287,364,0,3,Team 7AM,KV Mechelen,BL,,
43,1,43,5,2020,summer,2020-06-23,344,407,0,4,Sector One,RSCA,BL,,
44,1,44,5,2020,summer,2020-06-23,273,287,0,4,Aethra,Team 7AM,BL,,
45,1,45,5,2020,summer,2020-06-23,384,364,0,4,Brussels Guardians,KV Mechelen,BL,,
46,1,46,5,2020,summer,2020-06-30,407,287,0,5,RSCA,Team 7AM,BL,,
47,1,47,5,2020,summer,2020-06-30,344,273,0,5,Sector One,Aethra,BL,,
48,1,48,5,2020,summer,2020-06-30,407,364,0,5,RSCA,KV Mechelen,BL,,
49,1,49,5,2020,summer,2020-06-30,344,384,0,5,Sector One,Brussels Guardians,BL,,
50,1,50,5,2020,summer,2020-07-07,384,287,0,6,Brussels Guardians,Team 7AM,BL,,
51,1,51,5,2020,summer,2020-07-07,364,344,0,6,KV Mechelen,Sector One,BL,,
52,1,52,5,2020,summer,2020-07-07,384,407,0,6,Brussels Guardians,RSCA,BL,,
53,1,53,5,2020,summer,2020-07-07,364,273,0,6,KV Mechelen,Aethra,BL,,
54,1,54,5,2020,summer,2020-07-14,287,364,0,7,Team 7AM,KV Mechelen,BL,,
55,1,55,5,2020,summer,2020-07-14,273,384,0,7,Aethra,Brussels Guardians,BL,,
56,1,56,5,2020,summer,2020-07-14,287,344,0,7,Team 7AM,Sector One,BL,,
57,1,57,5,2020,summer,2020-07-14,273,407,0,7,Aethra,RSCA,BL,,
58,1,58,5,2020,summer,2020-07-21,384,364,0,8,Brussels Guardians,KV Mechelen,BL,,
59,1,59,5,2020,summer,2020-07-21,273,287,0,8,Aethra,Team 7AM,BL,,
60,1,60,5,2020,summer,2020-07-21,344,407,0,8,Sector One,RSCA,BL,,
91,1,121,6,2018,spring,2018-02-20,208,303,0,1,Flamengo,IDM Gaming,BRCC,0.6015,2394.0
91,2,122,6,2018,spring,2018-02-20,208,303,0,1,Flamengo,IDM Gaming,BRCC,0.5917,2231.0
92,1,123,6,2018,spring,2018-02-21,405,345,0,1,Operation Kino,5Fox,BRCC,0.5337,2136.0
92,2,124,6,2018,spring,2018-02-21,405,345,0,1,Operation Kino,5Fox,BRCC,0.4968,2174.0
93,1,125,6,2018,spring,2018-02-21,201,406,0,1,T Show,Iron Hawks,BRCC,0.6842,2017.0
93,2,126,6,2018,spring,2018-02-21,201,406,0,1,T Show,Iron Hawks,BRCC,1.0221,2348.0
94,1,127,6,2018,spring,2018-02-27,406,405,0,2,Iron Hawks,Operation Kino,BRCC,0.5858,2458.0
94,2,128,6,2018,spring,2018-02-27,406,405,0,2,Iron Hawks,Operation Kino,BRCC,0.7972,1430.0
95,1,129,6,2018,spring,2018-02-28,345,303,0,2,5Fox,IDM Gaming,BRCC,0.478,2887.0
95,2,130,6,2018,spring,2018-02-28,345,303,0,2,5Fox,IDM Gaming,BRCC,0.5836,2159.0
96,1,131,6,2018,spring,2018-02-28,201,208,0,2,T Show,Flamengo,BRCC,0.5172,2320.0
96,2,132,6,2018,spring,2018-02-28,201,208,0,2,T Show,Flamengo,BRCC,0.5546,2272.0
97,1,133,6,2018,spring,2018-03-06,345,201,0,3,5Fox,T Show,BRCC,0.6289,2099.0
97,2,134,6,2018,spring,2018-03-06,345,201,0,3,5Fox,T Show,BRCC,0.7299,1973.0
98,1,135,6,2018,spring,2018-03-07,208,406,0,3,Flamengo,Iron Hawks,BRCC,0.4269,2249.0
98,2,136,6,2018,spring,2018-03-07,208,406,0,3,Flamengo,Iron Hawks,BRCC,0.7858,1909.0
99,1,137,6,2018,spring,2018-03-07,303,405,0,3,IDM Gaming,Operation Kino,BRCC,0.3725,2255.0
99,2,138,6,2018,spring,2018-03-07,303,405,0,3,IDM Gaming,Operation Kino,BRCC,0.6677,1887.0
100,1,139,6,2018,spring,2018-03-13,405,208,0,4,Operation Kino,Flamengo,BRCC,0.4714,2291.0
100,2,140,6,2018,spring,2018-03-13,405,208,0,4,Operation Kino,Flamengo,BRCC,0.6598,1455.0
101,1,141,6,2018,spring,2018-03-14,303,201,0,4,IDM Gaming,T Show,BRCC,0.5782,2179.0
101,2,142,6,2018,spring,2018-03-14,303,201,0,4,IDM Gaming,T Show,BRCC,0.7215,1580.0
102,1,143,6,2018,spring,2018-03-14,406,345,0,4,Iron Hawks,5Fox,BRCC,0.6689,1794.0
102,2,144,6,2018,spring,2018-03-14,406,345,0,4,Iron Hawks,5Fox,BRCC,0.7266,2312.0
103,1,145,6,2018,spring,2018-03-20,303,406,0,5,IDM Gaming,Iron Hawks,BRCC,0.6406,1686.0
103,2,146,6,2018,spring,2018-03-20,303,406,0,5,IDM Gaming,Iron Hawks,BRCC,0.761,2050.0
104,1,147,6,2018,spring,2018-03-21,405,201,0,5,Operation Kino,T Show,BRCC,0.5399,2445.0
