year,season,league_name,week,team_1,team_2,set_number,state,game_length,side,team,result,total_golds,total_kills,tower_kills,inhibitor_kills,baron_kills,dragon_kills,rift_kills,ban1,ban2,ban3,ban4,ban5
2020.0,summer,LEC,1,MAD,G2,1.0,AttributeError,,,,,,,,,,,,,,,,
2020.0,summer,LEC,1,Team Vitality,FC Schalke,1.0,OK,45:50,blue,VIT,   VICTORY   ,84.0k,9,  11 ,  3 ,  3 ,  4 ,  2 ,Trundle,Syndra,Karma,MonkeyKing,Ekko
2020.0,summer,LEC,1,Team Vitality,FC Schalke,1.0,OK,45:50,red,S04,   DEFEAT   ,72.7k,3,  3 ,  0 ,  0 ,  3 ,  0 ,Varus,Kalista,Thresh,JarvanIV,Olaf
2020.0,summer,LEC,1,Origen,SK Gaming,1.0,OK,39:36,blue,SK,   VICTORY   ,71.6k,11,  10 ,  2 ,  2 ,  3 ,  2 ,Kalista,Aphelios,Syndra,Corki,Leblanc
2020.0,summer,LEC,1,Origen,SK Gaming,1.0,OK,39:36,red,OG,   DEFEAT   ,64.3k,11,  2 ,  0 ,  0 ,  3 ,  0 ,Graves,Varus,Yuumi,Olaf,Trundle
2020.0,summer,LEC,1,Rogue,Excel Esports,1.0,OK,30:24,blue,RGE,   VICTORY   ,55.9k,8,  9 ,  1 ,  1 ,  3 ,  1 ,Senna,Syndra,Kalista,Vladimir,JarvanIV
2020.0,summer,LEC,1,Rogue,Excel Esports,1.0,OK,30:24,red,XL,   DEFEAT   ,49.8k,0,  5 ,  0 ,  0 ,  1 ,  1 ,Varus,Azir,Graves,Ekko,Kassadin
2020.0,summer,LEC,1,Misfits,Fnatic,1.0,OK,37:40,blue,MSF,   DEFEAT   ,66.9k,15,  9 ,  3 ,  1 ,  1 ,  2 ,Soraka,Yuumi,Trundle,Aatrox,Malphite
2020.0,summer,LEC,1,Misfits,Fnatic,1.0,OK,37:40,red,FNC,   VICTORY   ,73.7k,14,  11 ,  3 ,  1 ,  5 ,  0 ,Varus,Syndra,Graves,MonkeyKing,Thresh
2020.0,summer,LEC,1,FC Schalke,SK Gaming,1.0,OK,29:50,blue,S04,   DEFEAT   ,43.7k,1,  0 ,  0 ,  0 ,  0 ,  0 ,Thresh,Yuumi,Kalista,Leblanc,Azir
