date,league_name,year,season,team_1,team_2,betting_site,special:game_win:home,special:game_win:away,saved_time,over_under:Total Maps Played:3.50:over,over_under:Total Maps Played:3.50:under,handicap:set_handicap:-1.50:home,handicap:set_handicap:+1.50:away,special:3-0,special:3-1,special:3-2,special:0-3,special:1-3,special:2-3
2020-09-01,LVP SuperLiga,2020.0,summer,G2 Artic,Vodafone Giants,unikrn,4.00,1.22,2020-09-01 11:00:00,1.5,2.5,1.57,2.25,G2A 3-0:21.0,G2A 3-1:9.0,G2A 3-2:6.5,GIA 3-0:2.87,GIA 3-1:3.2,GIA 3-2:5.0
2020-09-01,LFL,2020.0,summer,IZI Dream,MCES,unikrn,1.66,2.10,2020-09-01 11:00:00,,,,,,,,,,
2020-09-01,LFL,2020.0,summer,LDLC OL,Solary,unikrn,1.36,3.00,2020-09-01 11:00:00,,,,,,,,,,
2020-09-01,LFL,2020.0,summer,Misfits Premier,gameward,unikrn,1.36,3.00,2020-09-01 11:00:00,,,,,,,,,,
2020-09-01,LFL,2020.0,summer,GamersOrigin,Vitality.Bee,unikrn,1.53,2.37,2020-09-01 11:00:00,,,,,,,,,,
2020-09-02,VCS,2020.0,summer,EVOS Esports,GAM Esports,unikrn,3.75,1.25,2020-09-01 11:00:00,1.44,2.62,1.61,2.2,EVOS 3-0:19.0,EVOS 3-1:9.0,EVOS 3-2:7.0,GAM Esports 3-0:3.0,GAM Esports 3-1:3.2,GAM Esports 3-2:4.5
