date,league_name,year,season,team_1,team_2,betting_site,special:game_win:home,special:game_win:away,saved_time,over_under:Total Maps Played:3.50:over,over_under:Total Maps Played:3.50:under,handicap:set_handicap:-1.50:home,handicap:set_handicap:+1.50:away,special:3-0,special:3-1,special:3-2,special:0-3,special:1-3,special:2-3,handicap:set_handicap:+2.50:home,handicap:set_handicap:-2.50:away,special:Team to Score a Penta Kill:home,special:Team to Score a Penta Kill:away,special:Team to Score a Quadra Kill:home,special:Team to Score a Quadra Kill:away,over_under:Total Maps Played:4.50:over,over_under:Total Maps Played:4.50:under
2020-09-03,VCS,2020.0,summer,EVOS Esports,GAM Esports,unikrn,3.25,1.33,2020-09-03 23:00:00,,,,,,,,,,,,,,,,,,
2020-09-05,LVP SuperLiga,2020.0,summer,G2 Artic,Movistar Riders,unikrn,4.50,1.20,2020-09-03 23:00:00,1.53,2.37,1.5,2.5,G2A 3-0:23.0,G2A 3-1:10.0,G2A 3-2:8.0,MRS 3-0:2.8,MRS 3-1:3.0,MRS 3-2:4.5,,,,,,,,
2020-09-05,LCK,2020.0,summer,DragonX,Damwon,unikrn,3.75,1.25,2020-09-03 23:00:00,1.44,2.62,1.57,2.25,DWG 3-0:3.0,DWG 3-1:3.25,DWG 3-2:4.5,DRX 3-0:15.0,DRX 3-1:9.0,DRX 3-2:7.0,,,,,,,,
2020-09-05,TCL,2020.0,summer,5 Ronin,Papara SuperMassive,unikrn,5.00,1.16,2020-09-03 23:00:00,1.57,2.25,,,5RN 3-0:21.0,5RN 3-1:13.0,5RN 3-2:8.5,Papara SuperMassive 3-0:2.4,Papara SuperMassive 3-1:3.2,Papara SuperMassive 3-2:5.0,1.5,2.5,,,,,,
2020-09-06,LEC,2020.0,summer,Rogue,G2,unikrn,3.50,1.28,2020-09-03 23:00:00,1.4,2.75,1.66,2.1,G2 3-0:3.2,G2 3-1:3.4,G2 3-2:4.33,Rogue 3-0:15.0,Rogue 3-1:8.0,Rogue 3-2:6.5,,,,,,,,
2020-09-06,CBLOL,2020.0,summer,INTZ,PAIN,unikrn,2.62,1.44,2020-09-03 23:00:00,,,2.0,1.72,INTZ 3-0:12.0,INTZ 3-1:7.0,INTZ 3-2:6.0,PAIN 3-0:3.75,PAIN 3-1:3.5,PAIN 3-2:4.33,,,12.0,15.0,2.8,3.6,2.62,1.44
