date,league_name,year,season,team_1,team_2,betting_site,special:game_win:home,special:game_win:away,saved_time,over_under:Total Maps Played:3.50:over,over_under:Total Maps Played:3.50:under,handicap:set_handicap:-1.50:home,handicap:set_handicap:+1.50:away,special:3-0,special:3-1,special:3-2,special:0-3,special:1-3,special:2-3,special:Team to Score a Quadra Kill:home,special:Team to Score a Quadra Kill:away,special:Team to Score a Penta Kill:home,special:Team to Score a Penta Kill:away,over_under:Total Maps Played:2.50:over,over_under:Total Maps Played:2.50:under,over_under:Total Maps Played:4.50:over,over_under:Total Maps Played:4.50:under,handicap:set_handicap:+1.50:home,handicap:set_handicap:-1.50:away
2020-08-29,LOL Development League,2020.0,summer,Invictus Gaming Young,Vici Gaming Potential,unikrn,1.28,3.50,2020-08-29 11:00:00,1.44,2.62,1.61,2.2,IGY 3-0:3.0,IGY 3-1:3.2,IGY 3-2:4.5,VGP 3-0:19.0,VGP 3-1:9.0,VGP 3-2:7.0,,,,,,,,,,
2020-08-29,LPL,2020.0,summer,IG,FPX,unikrn,1.57,2.25,2020-08-29 11:00:00,,,,,,,,,,,2.8,3.25,12.0,15.0,,,,,,
2020-08-29,LOL Development League,2020.0,summer,eStar.Y,LGD.Y,unikrn,1.44,2.62,2020-08-29 11:00:00,,,2.0,1.72,eStar.Y 3-0:3.8,eStar.Y 3-1:3.5,eStar.Y 3-2:4.33,LGD.Y 3-0:12.0,LGD.Y 3-1:6.5,LGD.Y 3-2:6.0,,,,,1.83,1.83,,,,
2020-08-29,VCS,2020.0,summer,Team Flash,GAM Esports,unikrn,3.00,1.36,2020-08-29 11:00:00,,,1.83,1.83,GAM Esports 3-0:3.6,GAM Esports 3-1:3.5,GAM Esports 3-2:4.5,TF 3-0:12.0,TF 3-1:7.0,TF 3-2:6.0,2.8,3.5,12.0,15.0,,,2.75,1.4,,
2020-08-30,LEC,2020.0,summer,Fnatic,G2,unikrn,3.50,1.28,2020-08-29 11:00:00,,,,,Fnatic 3-0:15.0,Fnatic 3-1:7.0,Fnatic 3-2:6.0,G2 3-0:3.5,G2 3-1:3.4,G2 3-2:4.5,3.6,2.8,15.0,12.0,,,2.75,1.4,1.83,1.83
2020-08-30,LLA,2020.0,summer,All Knights,Rainbow7,unikrn,1.57,2.25,2020-08-29 11:00:00,,,2.37,1.53,AK 3-0:5.0,AK 3-1:3.8,AK 3-2:4.33,R7 3-0:8.5,R7 3-1:6.0,R7 3-2:5.0,,,,,,,2.62,1.44,,
2020-08-30,LCS,2020.0,summer,TSM,Cloud9,unikrn,3.25,1.33,2020-08-29 11:00:00,1.4,2.75,,,Cloud9 3-0:3.2,Cloud9 3-1:3.4,Cloud9 3-2:4.33,TSM 3-0:15.0,TSM 3-1:8.0,TSM 3-2:6.5,3.6,2.62,15.0,12.0,,,,,2.0,1.72
2020-08-30,LCK,2020.0,summer,GenG,DragonX,unikrn,1.83,1.83,2020-08-29 11:00:00,,,,,DRX 3-0:6.5,DRX 3-1:4.5,DRX 3-2:4.5,Gen.G 3-0:6.5,Gen.G 3-1:4.5,Gen.G 3-2:5.0,3.0,3.0,12.0,12.0,,,2.5,1.5,1.4,2.75
2020-08-30,VCS,2020.0,summer,Team Secret,EVOS Esports,unikrn,2.25,1.57,2020-08-29 11:00:00,,,,,EVOS 3-0:5.0,EVOS 3-1:3.8,EVOS 3-2:4.33,Team Secret 3-0:8.5,Team Secret 3-1:6.0,Team Secret 3-2:5.0,3.25,2.8,15.0,12.0,,,2.5,1.5,1.57,2.25
2020-08-30,LCL,2020.0,summer,Unicorns Of Love,Gambit,unikrn,1.14,5.50,2020-08-29 11:00:00,1.61,2.2,,,,,,,,,,,,,,,,,,
2020-08-31,LCS,2020.0,summer,TL,FlyQuest,unikrn,1.36,3.00,2020-08-29 11:00:00,,,1.83,1.83,FLY 3-0:15.0,FLY 3-1:7.0,FLY 3-2:6.0,TL 3-0:3.5,TL 3-1:3.4,TL 3-2:4.5,2.8,3.6,12.0,15.0,,,2.62,1.44,,
2020-09-01,LVP SuperLiga,2020.0,summer,Movistar Riders,Cream Real Betis,unikrn,1.12,6.00,2020-08-29 11:00:00,,,,,Cream Real Betis 3-0:21.0,Cream Real Betis 3-1:17.0,Cream Real Betis 3-2:9.0,MRS 3-0:2.37,MRS 3-1:2.87,MRS 3-2:5.0,,,,,,,,,,
