date,league_name,year,season,team_1,team_2,betting_site,special:game_win:home,special:game_win:away,saved_time
2020-09-08,LFL,2020.0,summer,gameward,MCES,unikrn,1.36,3.00,2020-09-08 11:00:00
2020-09-08,LFL,2020.0,summer,Vitality.Bee,IZI Dream,unikrn,1.53,2.37,2020-09-08 11:00:00
2020-09-08,LFL,2020.0,summer,Solary,GamersOrigin,unikrn,3.00,1.36,2020-09-08 11:00:00
2020-09-08,LFL,2020.0,summer,Misfits Premier,LDLC OL,unikrn,1.72,2.00,2020-09-08 11:00:00
2020-09-09,LFL,2020.0,summer,MCES,GamersOrigin,unikrn,5.00,1.16,2020-09-08 11:00:00
2020-09-09,LFL,2020.0,summer,gameward,LDLC OL,unikrn,2.25,1.57,2020-09-08 11:00:00
2020-09-09,LFL,2020.0,summer,Vitality.Bee,Misfits Premier,unikrn,2.37,1.53,2020-09-08 11:00:00
2020-09-09,LFL,2020.0,summer,Solary,IZI Dream,unikrn,1.83,1.83,2020-09-08 11:00:00
2020-09-10,European Masters,2020.0,summer,Team GamerLegion,Movistar Riders,unikrn,2.25,1.57,2020-09-08 11:00:00
2020-09-10,European Masters,2020.0,summer,SuppUp eSports,AGO ROGUE,unikrn,5.00,1.16,2020-09-08 11:00:00
2020-09-10,European Masters,2020.0,summer,Movistar Riders,AGO ROGUE,unikrn,1.83,1.83,2020-09-08 11:00:00
2020-09-10,European Masters,2020.0,summer,Team GamerLegion,SuppUp eSports,unikrn,1.25,3.75,2020-09-08 11:00:00
2020-09-10,European Masters,2020.0,summer,SuppUp eSports,Movistar Riders,unikrn,4.50,1.20,2020-09-08 11:00:00
2020-09-10,European Masters,2020.0,summer,AGO ROGUE,Team GamerLegion,unikrn,1.53,2.37,2020-09-08 11:00:00
2020-09-11,European Masters,2020.0,summer,LDLC OL,S04E,unikrn,2.20,1.61,2020-09-08 11:00:00
2020-09-11,European Masters,2020.0,summer,Morning Stars,K1CK Neosurf,unikrn,3.25,1.33,2020-09-08 11:00:00
2020-09-11,European Masters,2020.0,summer,Morning Stars,LDLC OL,unikrn,3.50,1.28,2020-09-08 11:00:00
2020-09-11,European Masters,2020.0,summer,K1CK Neosurf,S04E,unikrn,2.25,1.57,2020-09-08 11:00:00
2020-09-11,European Masters,2020.0,summer,S04E,Morning Stars,unikrn,1.25,3.75,2020-09-08 11:00:00
2020-09-11,European Masters,2020.0,summer,K1CK Neosurf,LDLC OL,unikrn,2.20,1.61,2020-09-08 11:00:00
2020-09-12,European Masters,2020.0,summer,Misfits Premier,We Love Gaming,unikrn,1.12,6.00,2020-09-08 11:00:00
2020-09-12,European Masters,2020.0,summer,Vodafone Giants,Pompa Team,unikrn,1.25,3.75,2020-09-08 11:00:00
2020-09-12,European Masters,2020.0,summer,Misfits Premier,Vodafone Giants,unikrn,1.53,2.37,2020-09-08 11:00:00
2020-09-12,European Masters,2020.0,summer,Pompa Team,We Love Gaming,unikrn,1.83,1.83,2020-09-08 11:00:00
2020-09-12,European Masters,2020.0,summer,Misfits Premier,Pompa Team,unikrn,1.14,5.50,2020-09-08 11:00:00
2020-09-12,European Masters,2020.0,summer,Vodafone Giants,We Love Gaming,unikrn,1.22,4.00,2020-09-08 11:00:00
2020-09-13,European Masters,2020.0,summer,GamersOrigin,Fnatic Rising,unikrn,1.83,1.83,2020-09-08 11:00:00
2020-09-13,European Masters,2020.0,summer,mousesports,Intrepid Fox,unikrn,1.08,8.00,2020-09-08 11:00:00
2020-09-13,European Masters,2020.0,summer,mousesports,GamersOrigin,unikrn,1.53,2.37,2020-09-08 11:00:00
2020-09-13,European Masters,2020.0,summer,Intrepid Fox,Fnatic Rising,unikrn,6.00,1.12,2020-09-08 11:00:00
2020-09-13,European Masters,2020.0,summer,Intrepid Fox,GamersOrigin,unikrn,6.50,1.11,2020-09-08 11:00:00
2020-09-13,European Masters,2020.0,summer,Fnatic Rising,mousesports,unikrn,2.37,1.53,2020-09-08 11:00:00
