date,league_name,year,season,team_1,team_2,betting_site,special:game_win:home,special:game_win:away,saved_time,over_under:Total Maps Played:4.50:over,over_under:Total Maps Played:4.50:under,handicap:set_handicap:-1.50:home,handicap:set_handicap:+1.50:away,special:Team to Score a Penta Kill:home,special:Team to Score a Penta Kill:away,special:Team to Score a Quadra Kill:home,special:Team to Score a Quadra Kill:away,special:3-0,special:3-1,special:3-2,special:0-3,special:1-3,special:2-3
2020-09-07,LCS,2020.0,summer,FlyQuest,TSM,unikrn,7.00,1.10,2020-09-07 11:00:00,,,,,,,,,,,,,,
2020-09-07,LCK,2020.0,summer,Afreeca,KT,unikrn,1.40,2.75,2020-09-07 11:00:00,2.62,1.44,1.83,1.83,12.0,15.0,2.8,3.6,AF 3-0:3.6,AF 3-1:3.5,AF 3-2:4.5,KT 3-0:12.0,KT 3-1:7.0,KT 3-2:6.0
2020-09-08,LFL,2020.0,summer,gameward,MCES,unikrn,1.36,3.00,2020-09-07 11:00:00,,,,,,,,,,,,,,
2020-09-08,LFL,2020.0,summer,Vitality.Bee,IZI Dream,unikrn,1.53,2.37,2020-09-07 11:00:00,,,,,,,,,,,,,,
2020-09-08,LFL,2020.0,summer,Solary,GamersOrigin,unikrn,3.00,1.36,2020-09-07 11:00:00,,,,,,,,,,,,,,
2020-09-08,LFL,2020.0,summer,Misfits Premier,LDLC OL,unikrn,1.66,2.10,2020-09-07 11:00:00,,,,,,,,,,,,,,
2020-09-09,LFL,2020.0,summer,MCES,GamersOrigin,unikrn,5.00,1.16,2020-09-07 11:00:00,,,,,,,,,,,,,,
2020-09-09,LFL,2020.0,summer,gameward,LDLC OL,unikrn,2.25,1.57,2020-09-07 11:00:00,,,,,,,,,,,,,,
2020-09-09,LFL,2020.0,summer,Vitality.Bee,Misfits Premier,unikrn,2.37,1.53,2020-09-07 11:00:00,,,,,,,,,,,,,,
2020-09-09,LFL,2020.0,summer,Solary,IZI Dream,unikrn,1.83,1.83,2020-09-07 11:00:00,,,,,,,,,,,,,,
2020-09-10,European Masters,2020.0,summer,Team GamerLegion,Movistar Riders,unikrn,2.20,1.61,2020-09-07 11:00:00,,,,,,,,,,,,,,
2020-09-10,European Masters,2020.0,summer,SuppUp eSports,AGO ROGUE,unikrn,5.00,1.16,2020-09-07 11:00:00,,,,,,,,,,,,,,
2020-09-10,European Masters,2020.0,summer,Movistar Riders,AGO ROGUE,unikrn,2.10,1.66,2020-09-07 11:00:00,,,,,,,,,,,,,,
2020-09-10,European Masters,2020.0,summer,SuppUp eSports,Movistar Riders,unikrn,4.50,1.20,2020-09-07 11:00:00,,,,,,,,,,,,,,
2020-09-10,European Masters,2020.0,summer,AGO ROGUE,Team GamerLegion,unikrn,1.50,2.50,2020-09-07 11:00:00,,,,,,,,,,,,,,
