date,league_name,year,season,team_1,team_2,betting_site,saved_time,set_number,both:Teams to Slay a Dragon:yes,both:Teams to Slay a Dragon:no,both:Teams to Slay a Baron:yes,both:Teams to Slay a Baron:no,over_under:Total Towers Destroyed:12.50:over,over_under:Total Towers Destroyed:12.50:under,over_under:Total Dragons Slain:4.50:over,over_under:Total Dragons Slain:4.50:under,over_under:Total Barons Slain:1.50:over,over_under:Total Barons Slain:1.50:under,special:Winner:home,special:Winner:away,special:Team to Destroy the First Tower:home,special:Team to Destroy the First Tower:away,both:Teams to Destroy an Inhibitor:yes,both:Teams to Destroy an Inhibitor:no,over_under:Total Towers Destroyed:11.50:over,over_under:Total Towers Destroyed:11.50:under
2020-09-30,World Championship,2020.0,summer,Papara SuperMassive,Unicorns Of Love,unikrn,2020-09-30 23:00:00,,,,,,,,,,,,,,,,,,,
2020-09-30,World Championship,2020.0,summer,Papara SuperMassive,Unicorns Of Love,unikrn,2020-09-30 23:00:00,2.0,,,6.0,1.12,,,,,,,1.28,3.5,,,,,,
2020-09-30,World Championship,2020.0,summer,Papara SuperMassive,Unicorns Of Love,unikrn,2020-09-30 23:00:00,3.0,1.2,4.5,,,2.25,1.57,1.61,2.2,2.62,1.44,1.72,2.0,,,,,,
2020-10-03,World Championship,2020.0,summer,FlyQuest,TES,unikrn,2020-09-30 23:00:00,1.0,,,,,,,1.72,2.0,3.5,1.28,,,2.62,1.44,10.0,1.06,1.72,2.0
2020-10-03,World Championship,2020.0,summer,FlyQuest,TES,unikrn,2020-09-30 23:00:00,,,,,,,,,,,,,,,,,,,
2020-10-03,World Championship,2020.0,summer,FlyQuest,TES,unikrn,2020-09-30 23:00:00,,,,,,,,,,,,,,,,,,,
2020-10-03,World Championship,2020.0,summer,Damwon,JDG,unikrn,2020-09-30 23:00:00,1.0,,,,,,,1.5,2.5,2.5,1.5,,,1.66,2.1,7.0,1.1,1.61,2.2
2020-10-03,World Championship,2020.0,summer,Damwon,JDG,unikrn,2020-09-30 23:00:00,,,,,,,,,,,,,,,,,,,
2020-10-03,World Championship,2020.0,summer,Damwon,JDG,unikrn,2020-09-30 23:00:00,,,,,,,,,,,,,,,,,,,
2020-10-03,World Championship,2020.0,summer,TSM,Fnatic,unikrn,2020-09-30 23:00:00,1.0,,,,,2.2,1.61,1.5,2.5,2.5,1.5,,,2.0,1.72,8.0,1.08,,
2020-10-03,World Championship,2020.0,summer,TSM,Fnatic,unikrn,2020-09-30 23:00:00,,,,,,,,,,,,,,,,,,,
2020-10-03,World Championship,2020.0,summer,TSM,Fnatic,unikrn,2020-09-30 23:00:00,,,,,,,,,,,,,,,,,,,
2020-10-04,World Championship,2020.0,summer,G2,Suning,unikrn,2020-09-30 23:00:00,1.0,,,,,2.0,1.72,1.5,2.5,2.5,1.5,,,1.72,2.0,7.0,1.1,,
2020-10-04,World Championship,2020.0,summer,G2,Suning,unikrn,2020-09-30 23:00:00,,,,,,,,,,,,,,,,,,,
2020-10-04,World Championship,2020.0,summer,G2,Suning,unikrn,2020-09-30 23:00:00,,,,,,,,,,,,,,,,,,,
2020-10-04,World Championship,2020.0,summer,Damwon,Rogue,unikrn,2020-09-30 23:00:00,1.0,,,,,,,1.72,2.0,3.25,1.33,,,2.5,1.5,10.0,1.06,1.83,1.83
2020-10-04,World Championship,2020.0,summer,Damwon,Rogue,unikrn,2020-09-30 23:00:00,,,,,,,,,,,,,,,,,,,
